,validDate,stoxxId,currency,adjustedOpenPrice,adjustedOpenNet,adjustedOpenGross,adjustmentFactor,closePrice,freeFloat,shares,Capfactor
66,20240229,601004,JPY,3507.0,3507.0,3507.0,,3556.0,0.9465,67590664.0,1.0
67,20240229,CN0RE4,CNY,6.75,6.75,6.75,,6.9,0.4039,6425307185.0,
68,20240229,KR30BP,KRW,70900.0,70900.0,70900.0,,63200.0,0.7791,66762279.0,1.0
69,20240229,NG20MR,NGN,970.0,970.0,970.0,,990.0,0.3382,792656252.0,
70,20240229,JP406I,JPY,147700.0,147700.0,147700.0,,146400.0,0.5953,1440000.0,1.0
71,20240229,CN02DE,CNY,12.66,12.66,12.66,,12.87,0.32,416934000.0,
72,20240229,IN11U1,INR,2827.2,2827.2,2827.2,,2854.85,0.3556,110498261.0,1.0
73,20240229,445573,EUR,101.05,101.05,101.05,,99.8,0.3974,233992536.0,1.0
74,20240229,MA3021,MAD,1732.0,1732.0,1732.0,,1725.0,0.3057,14436004.0,
75,20240229,SE10IP,SEK,261.1,261.1,261.1,,262.6,0.246,592239552.0,1.0
76,20240229,KR11JW,KRW,79500.0,79500.0,79500.0,,78200.0,0.6013,23830901.0,1.0
77,20240229,CE,USD,149.42,149.42,149.42,,151.97,1.0,108852226.0,1.0
78,20240229,MY21SF,MYR,17.94,17.94,17.94,,17.9,0.4007,60745780.0,
79,20240229,CN1CT5,CNY,2.13,2.13,2.13,,2.34,0.67,1970420857.0,
80,20240229,MY215S,MYR,2.5,2.5,2.5,,2.46,0.2314,2266473214.0,1.0
81,20240229,CN1H3K,CNY,9.06,9.06,9.06,,9.33,0.5177,1334550300.0,
82,20240229,778763,TRY,100.5,100.5,100.5,,104.2,0.3293,98980000.0,1.0
83,20240229,EXPD,USD,118.77,118.77,118.77,,119.6,1.0,145386000.0,1.0
84,20240229,JP30FQ,JPY,7940.0,7940.0,7940.0,,7860.0,0.7256,15673885.0,
85,20240229,TH22HV,THB,61.75,61.75,61.75,,61.5,0.4664,330000000.0,
86,20240229,SIGYY,USD,102.93,102.93,102.93,,101.76,1.0,44886176.0,1.0
