,validDate,stoxxId,currency,closePrice,freeFloat,shares,Capfactor
95,20240531,CN17U1,CNY,5.29,0.4368,1067324206.0,
96,20240531,CN19JS,CNY,8.73,0.8385,344083828.0,
97,20240531,TW01D3,TWD,18.35,0.8758,1656815857.0,1.0
98,20240531,CN1CLX,CNY,9.41,0.8588,1706325581.0,
99,20240531,649586,JPY,1478.0,0.9164,40479724.0,1.0
100,20240531,CN05AE,CNY,3.03,0.271,12396089106.0,
101,20240531,MA5023,MAD,194.2,0.476,94487143.0,
102,20240531,CLB,USD,18.74,1.0,46664413.0,1.0
103,20240531,COF,USD,137.63,1.0,380400000.0,1.0
104,20240531,681630,AUD,1.08,0.9244,177831508.0,1.0
105,20240531,TW00NC,TWD,80.0,0.95,5682015421.0,1.0
106,20240531,US31D3,USD,211.45,1.0,209572098.0,1.0
107,20240531,US4190,USD,61.65,1.0,29868766.0,1.0
108,20240531,VN21CX,VND,87200.0,0.102,5589091262.0,
109,20240531,ES2019,EUR,6.62,1.0,261425110.0,1.0
110,20240531,CN0NDZ,CNY,1.9,0.5347,1992829038.0,
111,20240531,MY20OA,MYR,0.31,0.54,1000000000.0,1.0
112,20240531,ZA00LU,ZAR,181.43,0.5425,349305092.0,1.0
113,20240531,525824,NOK,193.8,0.767,304294272.0,1.0
114,20240531,CL01A8,CLP,22.4,0.6394,18017579131.0,
115,20240531,CN0X73,CNY,1.65,0.7372,1105700000.0,
116,20240531,AR4027,ARS,430.0,0.2432,701988378.0,
117,20240531,CN11GH,CNY,3.92,0.871,2058036276.0,
118,20240531,PH1018,PHP,25.2,0.3749,2884232615.0,1.0
119,20240531,TW01C2,TWD,23.0,0.5681,1684664600.0,1.0
120,20240531,CA209X,CAD,10.67,1.0,597969748.0,1.0
121,20240531,TJX,USD,103.1,1.0,1139676816.0,1.0
122,20240531,ZA20JU,ZAR,27.36,0.865,380399133.0,1.0
123,20240531,B010YD,PLN,5.58,0.3739,574255122.0,
124,20240531,659760,JPY,1440.5,1.0,2810633721.0,1.0
125,20240531,B03MWH,TRY,30.9,0.221,563875937.0,1.0
126,20240531,668757,JPY,2573.5,1.0,121064099.0,1.0
127,20240531,624226,SGD,25.74,0.2197,395236288.0,1.0
128,20240531,TW02WN,TWD,27.15,1.0,1855827941.0,1.0
129,20240531,KR20V8,KRW,3915.0,0.49,34500000.0,1.0
130,20240531,B0R80X,CHF,36.56,0.712,152614251.0,1.0
131,20240531,TPD.A,CAD,101.47,1.0,14555546.0,1.0
132,20240531,733945,EUR,12.94,0.4389,159191703.0,1.0
133,20240531,691653,SGD,1.79,0.1259,1432667362.0,
134,20240531,KR14BR,KRW,23450.0,0.6755,17200000.0,1.0
135,20240531,EG401Z,EGP,0.55,0.6829,1349029177.0,1.0
136,20240531,MY213Q,MYR,1.5,0.4777,774888294.0,1.0
137,20240531,473821,CHF,144.05,1.0,537582089.0,1.0
138,20240531,IN0308,INR,389.15,0.4516,416207852.0,1.0
139,20240531,CA30PE,CAD,6.3,0.9168,194485498.0,1.0
140,20240531,622098,HKD,1.48,0.5191,3821183118.0,1.0
141,20240531,AR0078,ARS,437.0,0.6402,760623155.0,
142,20240531,US5371,USD,20.54,1.0,71035053.0,1.0
143,20240531,DCI,USD,73.68,1.0,120135723.0,1.0
144,20240531,B18XCB,RON,33.0,0.3483,73303142.0,
145,20240531,KR11HU,KRW,58100.0,0.2132,23533928.0,1.0
146,20240531,026256,GBP,8.478,1.0,1366880208.0,1.0
147,20240531,TH20Q2,THB,14.8,0.7008,425193894.0,0.6992009
148,20240531,762084,EUR,0.694,0.8731,662996646.0,
149,20240531,MY21AX,MYR,0.045,0.4956,18375942267.0,1.0
150,20240531,655116,AUD,0.28,0.5573,2154985818.0,1.0
151,20240531,680458,JPY,5855.0,1.0,2001691765.0,1.0
152,20240531,US5393,USD,106.57,0.8423,60681218.0,1.0
153,20240531,689664,JPY,891.0,0.8755,87074993.0,1.0
154,20240531,492752,EUR,12.28,0.7686,2641318800.0,1.0
155,20240531,ID20A7,IDR,1100.0,0.4669,18450388228.0,1.0
156,20240531,NG20TY,NGN,45.0,0.2775,12146878241.0,
157,20240531,KR12CQ,KRW,12020.0,0.6261,19308690.0,1.0
158,20240531,557955,EUR,14.015,0.4874,897264465.0,1.0
159,20240531,US10YL,USD,178.08,0.8709,3184790415.0,1.0
160,20240531,CN1GFV,CNY,1.54,0.5733,2965298080.0,
161,20240531,US51UM,USD,15.1,0.7362,164180377.0,1.0
162,20240531,690059,JPY,2290.0,0.5935,187665738.0,1.0
163,20240531,072769,GBP,44.52,1.0,736535179.0,1.0
164,20240531,ID30GE,IDR,500.0,0.4836,14974591382.0,1.0
165,20240531,CN1DT6,CNY,9.6,0.699,733941062.0,
166,20240531,IL3039,ILS,10.9,0.866,33242189.0,1.0
167,20240531,KR15K1,KRW,6590.0,0.6487,52420851.0,1.0
168,20240531,IN0B8O,INR,22.99,0.6101,28761574292.0,1.0
169,20240531,677062,JPY,9042.0,0.7098,1469995230.0,1.0
170,20240531,CN12BD,CNY,9.97,0.8527,872016108.0,
171,20240531,US02PD,USD,80.13,1.0,36163370.0,1.0
172,20240531,CN24PU,USD,0.183,0.8013,800806500.0,1.0
173,20240531,CN1H4L,CNY,24.08,0.5032,949024050.0,
174,20240531,775125,NOK,324.9,0.6379,254725627.0,1.0
175,20240531,IBM,USD,166.85,1.0,913118581.0,1.0
176,20240531,B01NXQ,CAD,9.37,1.0,215497133.0,1.0
177,20240531,CN0S6X,CNY,6.65,0.293,2859187743.0,
178,20240531,PK20HS,PKR,66.0,0.7604,150000000.0,
179,20240531,CN0RA0,CNY,10.86,0.4863,1495879748.0,
180,20240531,243979,CAD,30.75,1.0,294903763.0,1.0
181,20240531,CN0U70,CNY,3.96,0.8065,1793901141.0,
182,20240531,664035,JPY,1637.0,1.0,21939933.0,1.0
183,20240531,SE50MX,SEK,121.3,1.0,35251329.0,1.0
184,20240531,KR109L,KRW,36550.0,0.4014,46448520.0,1.0
185,20240531,US30XM,USD,9.98,1.0,155844358.0,1.0
186,20240531,IL20W1,ILS,35.85,0.6879,253193312.0,1.0
187,20240531,IN00AF,INR,3667.4,0.7482,1374629658.0,0.6549051
188,20240531,JP50N0,JPY,6779.0,0.5928,76557545.0,1.0
189,20240531,B0Z6X0,JPY,226.1,0.8193,2331998610.0,1.0
190,20240531,TW14RL,TWD,64.0,1.0,178009961.0,1.0
191,20240531,KR00KV,KRW,155000.0,0.7635,74693696.0,1.0
192,20240531,PSC,USD,37.73,0.9181,273300000.0,1.0
193,20240531,689518,JPY,3600.0,0.5491,73844545.0,1.0
194,20240531,B1FN8X,EUR,11.19,0.7733,828972440.0,1.0
195,20240531,UFC,USD,77.67,1.0,42249509.0,1.0
196,20240531,648891,JPY,875.0,0.4994,77912716.0,1.0
197,20240531,B0N8QD,GBP,9.655,0.9464,249478964.0,1.0
198,20240531,610989,HKD,19.52,0.7605,2850000000.0,1.0
199,20240531,B02ZJ5,SGD,1.28,0.3432,1731651443.0,1.0
200,20240531,HK50W2,HKD,0.81,0.4062,2974225233.0,
201,20240531,CL00HE,CLP,3300.0,0.224,1662759593.0,1.0
202,20240531,PK218K,PKR,1599.99,0.2144,78600000.0,
203,20240531,SYNA,USD,93.71,1.0,39303612.0,1.0
204,20240531,689355,JPY,388.0,0.9449,109608000.0,1.0
205,20240531,547700,CAD,2.35,0.7114,184314130.0,1.0
206,20240531,629005,HKD,26.5,0.2546,6217197282.0,1.0
207,20240531,US112Q,USD,176.61,1.0,379697277.0,1.0
208,20240531,MCHP,USD,97.23,1.0,540387949.0,1.0
209,20240531,VN20FZ,VND,15500.0,0.7589,27558066.0,
210,20240531,EO1,EUR,17.32,0.7301,126948028.0,
211,20240531,TH401F,THB,41.25,0.7463,1172021596.0,0.358033
212,20240531,IN10W2,INR,122.0,0.44,231999969.0,1.0
213,20240531,CN01WW,CNY,4.31,0.6441,1093332092.0,
214,20240531,716083,PLN,59.2,0.0402,19115000.0,1.0
215,20240531,619277,JPY,2268.0,0.6616,34239312.0,1.0
216,20240531,FFIV,USD,168.97,1.0,58799108.0,1.0
217,20240531,CN0QNC,CNY,6.9,0.3763,22119857984.0,
218,20240531,249231,CAD,11.07,1.0,1227820677.0,1.0
219,20240531,CN1AW6,HKD,1.57,0.8928,2924482000.0,1.0
220,20240531,664058,JPY,5080.0,1.0,28747667.0,1.0
221,20240531,IN067I,INR,130.4,0.4395,1101182463.0,1.0
222,20240531,CN1A2C,CNY,4.12,0.8724,566956280.0,
223,20240531,210762,CAD,11.99,0.8764,78141440.0,1.0
224,20240531,KR11YB,KRW,1442.0,0.6954,87826844.0,1.0
225,20240531,642886,JPY,1027.0,0.8621,32732800.0,1.0
226,20240531,IN605G,INR,299.75,0.4129,92150355.0,1.0
227,20240531,KR61WE,KRW,160200.0,0.5364,22000000.0,1.0
228,20240531,KR11XA,KRW,3365.0,0.7518,60911106.0,1.0
229,20240531,648348,JPY,2837.0,0.9273,938733028.0,1.0
230,20240531,US417Y,USD,54.24,0.9498,18233629.0,1.0
231,20240531,TW13B4,TWD,20.7,0.5137,572000800.0,1.0
232,20240531,CN40IL,HKD,2.51,0.2445,12678735500.0,1.0
233,20240531,ID102Y,IDR,67.0,0.481,70898018369.0,1.0
234,20240531,442031,EUR,83.12,0.9139,178162875.0,1.0
235,20240531,KR619R,KRW,95900.0,0.5449,2320000.0,
236,20240531,VN601P,VND,38000.0,0.35,57167993.0,
237,20240531,KR62EX,KRW,11970.0,0.6427,22066331.0,1.0
238,20240531,TW402V,TWD,59.4,1.0,279517513.0,1.0
239,20240531,HUM,USD,358.12,1.0,120653315.0,1.0
240,20240531,IN01V1,INR,1361.25,0.25,256046535.0,1.0
241,20240531,KR11BO,KRW,3560.0,0.4701,77237981.0,1.0
242,20240531,KR04R6,KRW,4305.0,0.4534,534569512.0,1.0
243,20240531,PJ050,JPY,514.0,0.3835,179749700.0,1.0
244,20240531,CN0LI2,CNY,12.07,0.7327,599237935.0,
245,20240531,TH216J,THB,40.5,0.8052,885366660.0,1.0
246,20240531,409830,EUR,50.2,0.8691,37606372.0,1.0
247,20240531,CN079F,CNY,8.78,0.4879,457093849.0,
248,20240531,CN1GK0,CNY,9.18,0.5197,1623324614.0,
249,20240531,CN00CB,HKD,20.4,0.9285,2775300000.0,1.0
250,20240531,SE10CJ,SEK,248.0,1.0,259908240.0,1.0
251,20240531,B0PB4M,HKD,32.8,1.0,2572563613.0,1.0
252,20240531,422060,EUR,62.24,0.54,200005983.0,1.0
253,20240531,IN09ES,INR,246.35,0.3625,465799010.0,1.0
254,20240531,TW04WP,TWD,221.5,0.4192,127403238.0,1.0
