closeDay;nextTradingDay;indexSymbol;indexName;indexType;indexCurrency;indexClose;indexComponentCount;indexMcapUnits;indexDivisor;internalNumber;isin;sedol;ric;cusip;name;country;currency;currencyNextDay;exchange;icb5;sharesClose;freeFloatClose;capFactorCf;weightFactorWf;closeUnadjustedLocal;fxLocalToIndexCurrencyClose;mcapUnitsLocal;mcapUnitsIndexCurrency;indexComponentCountNextDay;indexDivisorNextDay;sharesNextDay;freeFloatNextDay;capFactorNextDaycf;weightFactorNextDayWf;adjustedLocal;adjustedMcapUnitsLocal;adjustedMcapUnitsIndexCurrency;weight
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;EG0060;EGS48031C016;B0S6009;ETEL.CA;;TELECOM EGYPT;EG;EGP;EGP;0;15102015;1707071600;0.2;1;341414320;10.8;0.0637762;3687274656;235160380;1375;1018830191;1707071600;0.2;1;341414320;10.8;3687274656;235160380;0.00016961
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;ZA20Q1;ZAE000145892;B4K90R1;LHCJ.J;;LIFE HEALTHCARE GP.HDG.;ZA;ZAR;ZAR;0;20101010;1467349162;0.8446;1;1239323102;20.04;0.0676935;24836034964;1681238083;1375;1018830191;1467349162;0.8446;1;1239323102;20.04;24836034964;1681238083;0.001212595
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;KR067O;KR7069960003;6568610;069960.KS;;Hyundai Dept;KR;KRW;KRW;0;40401010;23402441;0.7086;1;16582970;88100;0.0008898;1.46096E+12;1299961903;1375;1018830191;23402441;0.7086;1;16582970;88100;1.46096E+12;1299961903;0.000937599
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;KR03IW;KR7010120004;6378217;010120.KS;;LS ELECTRIC;KR;KRW;KRW;0;50202010;30000000;0.54;1;16200000;59800;0.0008898;9.6876E+11;862002648;1375;1018830191;30000000;0.54;1;16200000;59800;9.6876E+11;862002648;0.00062172
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;KR00P0;KR7010060002;6497004;010060.KS;;OCI Co Ltd;KR;KRW;KRW;0;55201000;23849371;0.8953;1;21352342;120000;0.0008898;2.56228E+12;2279917669;1375;1018830191;23849371;0.8953;1;21352342;120000;2.56228E+12;2279917669;0.001644393
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN50W6;INE387A01021;6730895;SNFS.BO;;SUNDRAM FASTENERS;IN;INR;INR;0;40101025;210128368;0.5047;1;106051787;764;0.013787;81023565268;1117071894;1375;1018830191;210128368;0.5047;1;106051787;764;81023565268;1117071894;0.000805689
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW090Y;TW0006592009;BYQKH22;6592.TW;;HOTAI FINANCE;TW;TWD;TWD;0;30201020;515000407;0.3165;1;162997629;82.7;0.0353345;13479903918;476305673;1375;1018830191;515000407;0.3165;1;162997629;82.7;13479903918;476305673;0.000343536
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;MX702S;MX41BB000000;BYSX0F3;BBAJIOO.MX;;BNC.DEL BAJIO IDBC. MTPL.;MX;MXN;MXN;0;30101010;1189931687;0.782;1;930526579;26.2;0.0489141;24379796370;1192515779;1375;1018830191;1189931687;0.782;1;930526579;26.2;24379796370;1192515779;0.000860103
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW04YR;TW0002812005;6869971;2812.TW;;Taichung Comm Bk;TW;TWD;TWD;0;30101010;3887066837;0.7198;1;2797910709;11.4;0.0353345;31896182083;1127035646;1375;1018830191;3887066837;0.7198;1;2797910709;11.4;31896182083;1127035646;0.000812876
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;KR00V6;KR7000060004;B0YCFG2;000060.KS;;Meritz Fire Ins;KR;KRW;KRW;0;30302025;113680000;0.466;1;52974880;18000;0.0008898;9.53548E+11;848466868;1375;1018830191;113680000;0.466;1;52974880;18000;9.53548E+11;848466868;0.000611958
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;CL00EB;CL0001880955;B83J214;AESGENER.SN;;AES Gener SA;CL;CLP;CLP;0;65101015;8400318891;0.333;1;2797306191;125.7;0.00139;3.51621E+11;488753730;1375;1018830191;8400318891;0.333;1;2797306191;125.7;3.51621E+11;488753730;0.000352514
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW1EVZ;TW0006147002;6432801;6147.TWO;;CHIPBOND TECH.;TW;TWD;TWD;0;10102010;671523040;1;1;671523040;77.899994;0.0353345;52311640787;1848405646;1375;1018830191;671523040;1;1;671523040;76;51035751040;1803322745;0.001333164
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;KR021E;KR7003000007;6123268;003000.KS;;BUKWANG PHARM;KR;KRW;KRW;0;20103015;71321775;0.6997;1;49903846;24450;0.0008898;1.22015E+12;1085688611;1375;1018830191;71321775;0.6997;1;49903846;24450;1.22015E+12;1085688611;0.000783054
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;597895;PLSOFTB00016;5978953;ACPP.WA;;ASSECO POLAND;PL;PLN;PLN;0;10101015;83000303;0.6731;1;55867504;68.2;0.258184;3810163773;983723324;1375;1018830191;83000303;0.6731;1;55867504;68.2;3810163773;983723324;0.000709511
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;CN8FM8;KYG539641053;BK8Y0F8;3709.HK;;EEKA FASHION HOLDINGS;CN;HKD;HKD;0;40401020;685050080;0.3;1;205515024;10.16;0.1287895;2088032644;268916676;1375;1018830191;685050080;0.3;1;205515024;9.5;1952392728;251447694;0.000193956
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TH00AK;TH0148A10Z06;BJFHBV6;BANPU.BK;;Banpu PCL;TH;THB;THB;0;60101040;5074581515;0.4;0.4236839;2029832606;11.3;0.0324386;9718083564;315241043;1375;1018830191;5074581515;0.4;0.4236839;2029832606;11.3;9718083564;315241043;0.000227368
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;HK525D;KYG3997H1048;BKDT6F0;1282.HK;;GLORY SUN FINANCIAL GROUP;CN;HKD;HKD;0;10102030;31387535360;0.33;1;10357886669;0.295;0.1287895;3055576567;393526152;1375;1018830191;31387535360;0.33;1;10357886669;0.295;3055576567;393526152;0.000283831
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW03TL;TW0003714002;BK80TL5;3714.TW;;ENNOSTAR;TW;TWD;TWD;0;10102010;685952710;1;1;685952710;85.7;0.0353345;58786147247;2077179086;1375;1018830191;685952710;1;1;685952710;85.7;58786147247;2077179086;0.001498167
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;MY225T;MYL4731OO005;B1VZ5G1;STIK.KL;;SCIENTEX;MY;MYR;MYR;0;50203015;1545784416;0.5589;1;863938910;4;0.2432186;3455755640;840504049;1375;1018830191;1545784416;0.5589;1;863938910;4;3455755640;840504049;0.000606214
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;ZA104E;ZAE000269890;BK9S758;MTMJ.J;;MOMENTUM METROPOLITAN HOLDINGS;ZA;ZAR;ZAR;0;30301010;1497475356;0.603;1;902977640;18.37;0.0676935;16587699247;1122879423;1375;1018830191;1497475356;0.603;1;902977640;18.37;16587699247;1122879423;0.000809878
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;CN8FTF;KYG7306T1058;BSXNPQ2;1478.HK;;Q TECHNOLOGY (GROUP);CN;HKD;HKD;0;10102020;1172250880;0.36;1;422010317;15.020001;0.1287895;6338595383;816344522;1375;1018830191;1172250880;0.36;1;422010317;15.02;6338594961;816344480;0.000588789
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;KR02R4;KR7005250006;6497134;005250.KS;;Green Cross Hldg;KR;KRW;KRW;0;20103010;47028210;0.7805;1;36705518;36900;0.0008898;1.35443E+12;1205175030;1375;1018830191;47028210;0.7805;1;36705518;36900;1.35443E+12;1205175030;0.000869234
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;CN89YE;HK0405033157;B0TLGM7;0405.HK;;YUEXIU REAL ESTATE INV. TST.;CN;HKD;HKD;0;35102030;3233856551;0.6114;1;1977179895;4.06;0.1287895;8027350374;1033838500;1375;1018830191;3233856551;0.6114;1;1977179895;4.06;8027350374;1033838500;0.000745657
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TH70AR;TH7534010007;BYNGF85;TPIPP.BK;;TPI POLENE POWER;TH;THB;THB;0;65101015;8400000000;0.2976;1;2499840000;4.3;0.0324386;10749312000;348692682;1375;1018830191;8400000000;0.2976;1;2499840000;4.3;10749312000;348692682;0.000251495
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;PH04JT;PHY2088F1004;6272483;DMC.PS;;DMCI Holdings Inc;PH;PHP;PHP;0;50203000;13277470000;0.3057;1;4058922579;5.2;0.0205402;21106397411;433529462;1375;1018830191;13277470000;0.3057;1;4058922579;5.2;21106397411;433529462;0.000312684
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;BR05X4;BRLWSAACNOR8;BL3W4C9;LWSA3.SA;;LOCAWEB SERVICO DE INTERNET ON;BR;BRL;BRL;0;10101010;503561184;0.59;1;297101099;23.86;0.1805356;7088832222;1279786574;1375;1018830191;503561184;0.59;1;297101099;23.86;7088832222;1279786574;0.000923047
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN008D;INE257A01026;B6SNRV2;BHEL.BO;;Bharat Heavy Electricals Ltd;IN;INR;INR;0;50202010;3482063281;0.24;1;835695187;52.1;0.013787;43539719243;600282109;1375;1018830191;3482063281;0.24;1;835695187;52.1;43539719243;600282109;0.000432954
