RIC;Name;Country;ISO;Weight
3714.TW;ENNOSTAR INC ORD;TAIWAN;TW;0.00083
003530.KS;HANWHA INVESTMENT&SECURITIES CO LTD ORD;KOREA;KR;0.000204
053800.KQ;AHNLAB INC ORD;KOREA;KR;0.00028
001740.KS;SKNETWORKSCOLTD ORD;KOREA;KR;0.000374
001720.KS;SHINYOUNG SECURITIES CO LTD ORD;KOREA;KR;0.000115
009450.KS;KYUNG DONG NAVIEN CO LTD ORD;KOREA;KR;0.000191
069260.KS;TKG HUCHEMS CO LTD ORD;KOREA;KR;0.000287
069620.KS;DAEWOONG PHARMA ORD;KOREA;KR;0.000349
017800.KS;HYUNDAI ELEVATOR CO LTD ORD;KOREA;KR;0.000709
023590.KS;DAOU TECHNOLOGY INC ORD;KOREA;KR;0.00033
001060.KS;JW PHARMACEUTICAL CORP ORD;KOREA;KR;0.000391
3023.TW;SINBON ELECTRONICS CO LTD ORD;TAIWAN;TW;0.001905
019170.KS;SHINPOONG PHARMACEUTICAL CO LTD ORD;KOREA;KR;0.00035
6010.SE;NATIONAL AGRICULTURAL DEVELOPMENT COMPANY SJSC ORD;SAUDI ARABIA;SA;0.000979
TIPHn.BK;DHIPAYA GROUP HOLDINGS NVDR;THAILAND;TH;0.000186
RSn.BK;RS NVDR;THAILAND;TH;0.000193
AMATAn.BK;AMATA NVDR;THAILAND;TH;0.00032
3324.TWO;AURAS TECHNOLOGY CO LTD ORD;TAIWAN;TW;0.000624
4050.SE;SAUDI AUTOMOTIVE SERVICES CO SJSC ORD;SAUDI ARABIA;SA;0.000582
GHCH.NS;GHCL LTD ORD;INDIA;IN;0.000433
THANIn.BK;RATCHTHANI LEAS NVDR;THAILAND;TH;0.000064
BEML.NS;BEML LTD ORD;INDIA;IN;0.000558
DPNT.NS;DEEPAK NITRITE LTD ORD;INDIA;IN;0.001589
HIKA.NS;HIKAL LTD ORD;INDIA;IN;0.000074
CHMB.NS;CHAMBAL FERTILISERS AND CHEMICALS LTD ORD;INDIA;IN;0.000667
MYPK3.SA;IOCHPE MAXION SA ORD;BRAZIL;BR;0.000294
SPALIf.BK;SUPALAI PCL ORD;THAILAND;TH;0.000004
003470.KS;YUANTA SECURITIES KOREA CO LTD ORD;KOREA;KR;0.000157
FDC.NS;F D C LTD ORD;INDIA;IN;0.000227
GLAX.NS;GLAXOSMITHKLINE PHARMACEUTICALS LTD ORD;INDIA;IN;0.000711
ZENT.NS;ZENSAR TECHNOLOGIES LTD ORD;INDIA;IN;0.000746
ARTI.NS;AARTI INDUSTRIES LTD ORD;INDIA;IN;0.001234
