,Date,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency,Weight
119541,2019-03-18,TW1IKS,TW0003016002,EPISIL-PRECISION,TW,TWD,10102010.0,1.0,0.39,188534284.0,0.00036672607283661575
121698,2019-03-18,MX505T,MX01GI020004,GRUPO GICSA,MX,MXN,35101010.0,1.0,0.5056,226491260.0,0.0003656642523010873
120162,2019-03-18,TH50M1,TH0833010Y05,SUPER ENERGY CORP,TH,THB,60102010.0,0.803147,0.6101,266460761.0,0.0003656532472514569
119822,2019-03-18,TW12D5,TW0002108008,Nantex Industry,TW,TWD,55201010.0,1.0,0.7301,425743175.0,0.0003656081197645512
119951,2019-03-18,MY20TF,MYL7106OO007,SUPERMAX,MY,MYR,20102015.0,1.0,0.6443,313786901.0,0.00036547938734975355
119873,2019-03-18,ID102Y,ID1000108905,LIPPO KARAWACI,ID,IDR,35101010.0,1.0,0.4015,189931869.0,0.000365336415996292
119868,2019-03-18,ID5088,ID1000127400,SRI REJEKI ISMAN,ID,IDR,40204020.0,1.0,0.4097,198819655.0,0.0003652819769935587
121291,2019-03-18,CN12Y0,CNE100000TW9,CHINA SUNTIEN GRN.EN.'H',CN,CNY,65102020.0,1.0,0.82,464883348.0,0.00036469632257789573
121980,2019-03-18,HU801K,HU0000110226,OPUS GLOBAL,HU,HUF,10101020.0,1.0,0.3511,166255805.0,0.0003642631537748527
119918,2019-03-18,MY303Q,MYL3867OO008,MALAYSIAN PACIFIC INDS.,MY,MYR,10102010.0,1.0,0.4319,222289767.0,0.0003630363175484214
121917,2019-03-18,ZA217J,ZAE000009932,WLSN.BAYLY HOLMES-OVCON,ZA,ZAR,50101015.0,1.0,0.8616,416512706.0,0.0003619699213044013
120418,2019-03-18,IN02RY,INE340A01012,Birla Crp,IN,INR,50101030.0,0.5432322,0.4418,144529467.0,0.0003618174540762353
121968,2019-03-18,ZA203E,ZAE000017745,DATATEC,ZA,ZAR,15101010.0,1.0,0.49,245577834.0,0.0003617250603337353
