,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
175324,2023-12-18,2054,TW015V,TW0001307007,San Fang Chem,TW,TWD,55201010.0,1.0,171461717.0,0.0001967820230445536
175525,2023-12-18,2054,ZA402F,ZAE000177218,ATTACQ ORD,ZA,ZAR,35102000.0,1.0,304313674.0,0.00019561782031018093
177333,2023-12-18,2054,410827,GRS395363005,HELLENIC EXCHANGES HLDG,GR,EUR,30202015.0,1.0,358331940.0,0.00019561744601846707
177235,2023-12-18,2054,TH50M1,TH0833010Y05,SUPER ENERGY CORP,TH,THB,65101010.0,0.662798,138704978.0,0.0001950650500982668
176593,2023-12-18,2054,MY22K8,MYL5012OO009,TA ANN HOLDINGS,MY,MYR,45102010.0,1.0,209191464.0,0.0001948912274504799
174596,2023-12-18,2054,BR165E,BRAMBPACNOR6,AMBIPAR PARTP.E EME.ON,BR,BRL,65103035.0,1.0,190854723.0,0.0001948028633425354
176535,2023-12-18,2054,CL00MJ,CL0000001173,RIPLEY CORPORATION,CL,CLP,40401010.0,1.0,209061696.0,0.00019456110662065932
177222,2023-12-18,2054,TH907Q,TH8794010000,PRARAM 9 HOSPITAL,TH,THB,20101010.0,0.77951,165135005.0,0.00019373581693855522
175265,2023-12-18,2054,TW10XN,TW0001444008,Lealea Ent,TW,TWD,55201010.0,1.0,263709508.0,0.00019353695478749864
174950,2023-12-18,2054,IN80HU,INE398A01010,VENKY'S (INDIA),IN,INR,45102010.0,1.0,161102081.0,0.00019293829917158405
177220,2023-12-18,2054,TH30CP,TH6585010007,NORTH BANGKOK PWR.PLANT BLOCK,TH,THB,65101015.0,0.7875281,169354872.0,0.0001926917427629516
174595,2023-12-18,2054,BR20CG,BRVLIDACNOR5,VALID SOLUCOES,BR,BRL,50205030.0,1.0,208264862.0,0.00019243897187755865
175320,2023-12-18,2054,TW07IE,TW0005531008,Shining Bldg,TW,TWD,35101010.0,1.0,177020668.0,0.00019182112875809723
175272,2023-12-18,2054,TW7084,TW0001515005,REXON INDL.,TW,TWD,40202025.0,1.0,253729564.0,0.000191788844260989
176625,2023-12-18,2054,MY23SH,MYL6599OO004,AEON CO.(M),MY,MYR,40401010.0,1.0,135387102.0,0.00019071801203963224
177243,2023-12-18,2054,TH20R3,TH0828A10Z03,KHON KAEN SUGAR,TH,THB,45102035.0,0.5996103,127023883.0,0.00019016088437355983
177278,2023-12-18,2054,TH22IW,TH0477010Y01,ROJANA INDUSTRIAL PARK,TH,THB,65101015.0,0.5883564,66424647.0,0.0001899576139250371
176907,2023-12-18,2054,KW21DW,KW0EQ0202048,NOOR FINANCIAL INV,KW,KWD,30202010.0,1.0,175303460.0,0.00018979740386010843
175782,2023-12-18,2054,KR1AK6,KR7323990002,VAXCELL BIO THERAPEUTICS,KR,KRW,20103010.0,1.0,257961649.0,0.00018892468103278288
176951,2023-12-18,2054,TR601R,TREKMBH00014,BERA HOLDING A,TR,TRY,50203000.0,1.0,257815670.0,0.00018849509474198013
175004,2023-12-18,2054,US3RYE,US38406L1035,GRACELL BIOTECHNOLOGIES ADR,CN,USD,20103010.0,1.0,148674897.0,0.0001880432669465107
176952,2023-12-18,2054,TR402Q,TREYGMI00012,YENI GIMAT GMYO,TR,TRY,35102045.0,1.0,255750160.0,0.0001865631284836918
174897,2023-12-18,2054,IN305D,INE752H01013,CARE RATINGS,IN,INR,30201030.0,1.0,271252359.0,0.00018654502405728116
