Date,Internal_Number,startDate,endDate,max_difference
2016-03-21 00:00:00.000000,VN20YI,2015-09-21 00:00:00.000000,2019-12-22 00:00:00.000000,0.589800000
2016-03-21 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2016-03-21 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2016-09-19 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2016-09-19 00:00:00.000000,VN20YI,2015-09-21 00:00:00.000000,2019-12-22 00:00:00.000000,0.589800000
2016-09-19 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2016-09-19 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2016-09-19 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2016-09-19 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2016-09-19 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2016-09-19 00:00:00.000000,VN21DY,2015-09-21 00:00:00.000000,2018-12-23 00:00:00.000000,0.690000000
2016-09-19 00:00:00.000000,VN007P,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.573500000
2016-09-19 00:00:00.000000,VN005N,2015-09-21 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2016-09-19 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2016-09-19 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2017-03-20 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2017-03-20 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2017-03-20 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2017-03-20 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2017-03-20 00:00:00.000000,VN20YI,2015-09-21 00:00:00.000000,2019-12-22 00:00:00.000000,0.589800000
2017-03-20 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2017-03-20 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2017-03-20 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2017-03-20 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2017-03-20 00:00:00.000000,VN007P,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.573500000
2017-03-20 00:00:00.000000,VN005N,2015-09-21 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2017-03-20 00:00:00.000000,VN21DY,2015-09-21 00:00:00.000000,2018-12-23 00:00:00.000000,0.690000000
2017-03-20 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2017-09-18 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2017-09-18 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2017-09-18 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2017-09-18 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2017-09-18 00:00:00.000000,VN20YI,2015-09-21 00:00:00.000000,2019-12-22 00:00:00.000000,0.589800000
2017-09-18 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2017-09-18 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2017-09-18 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2017-09-18 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2017-09-18 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2017-09-18 00:00:00.000000,VN007P,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.573500000
2017-09-18 00:00:00.000000,VN005N,2015-09-21 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2017-09-18 00:00:00.000000,VN21DY,2015-09-21 00:00:00.000000,2018-12-23 00:00:00.000000,0.690000000
2017-09-18 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2018-03-19 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2018-03-19 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2018-03-19 00:00:00.000000,VN204O,2012-03-19 00:00:00.000000,2018-06-17 00:00:00.000000,0.510000000
2018-03-19 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2018-03-19 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2018-03-19 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2018-03-19 00:00:00.000000,VN20YI,2015-09-21 00:00:00.000000,2019-12-22 00:00:00.000000,0.589800000
2018-03-19 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2018-03-19 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2018-03-19 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2018-03-19 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2018-03-19 00:00:00.000000,VN21DY,2015-09-21 00:00:00.000000,2018-12-23 00:00:00.000000,0.690000000
2018-03-19 00:00:00.000000,VN70D2,2017-09-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.564800000
2018-03-19 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2018-09-24 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2018-09-24 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2018-09-24 00:00:00.000000,VN707W,2018-06-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.286700000
2018-09-24 00:00:00.000000,VN70D2,2017-09-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.564800000
2018-09-24 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2018-09-24 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2018-09-24 00:00:00.000000,VN20YI,2015-09-21 00:00:00.000000,2019-12-22 00:00:00.000000,0.589800000
2018-09-24 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2018-09-24 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2018-09-24 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2018-09-24 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2018-09-24 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2018-09-24 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2018-09-24 00:00:00.000000,VN21DY,2015-09-21 00:00:00.000000,2018-12-23 00:00:00.000000,0.690000000
2018-09-24 00:00:00.000000,VN806W,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.981600000
2019-03-18 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2019-03-18 00:00:00.000000,VN70D2,2017-09-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.564800000
2019-03-18 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2019-03-18 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2019-03-18 00:00:00.000000,VN806W,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.981600000
2019-03-18 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2019-03-18 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2019-03-18 00:00:00.000000,VN20YI,2015-09-21 00:00:00.000000,2019-12-22 00:00:00.000000,0.589800000
2019-03-18 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2019-03-18 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2019-03-18 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2019-03-18 00:00:00.000000,VN707W,2018-06-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.286700000
2019-03-18 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2019-03-18 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2019-09-23 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2019-09-23 00:00:00.000000,VN70D2,2017-09-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.564800000
2019-09-23 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2019-09-23 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2019-09-23 00:00:00.000000,VN806W,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.981600000
2019-09-23 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2019-09-23 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2019-09-23 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2019-09-23 00:00:00.000000,VN707W,2018-06-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.286700000
2019-09-23 00:00:00.000000,VN20YI,2015-09-21 00:00:00.000000,2019-12-22 00:00:00.000000,0.589800000
2019-09-23 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2019-09-23 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2019-09-23 00:00:00.000000,VN002K,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.225000000
2019-09-23 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2020-03-23 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2020-03-23 00:00:00.000000,VN806W,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.981600000
2020-03-23 00:00:00.000000,VN70D2,2017-09-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.564800000
2020-03-23 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2020-03-23 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2020-03-23 00:00:00.000000,VN406S,2020-03-23 00:00:00.000000,2020-06-21 00:00:00.000000,0.040100000
2020-03-23 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2020-03-23 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2020-03-23 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2020-03-23 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2020-03-23 00:00:00.000000,VN707W,2018-06-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.286700000
2020-03-23 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2020-03-23 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2020-09-21 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2020-09-21 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2020-09-21 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2020-09-21 00:00:00.000000,VN806W,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.981600000
2020-09-21 00:00:00.000000,VN707W,2018-06-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.286700000
2020-09-21 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2020-09-21 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2020-09-21 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2020-09-21 00:00:00.000000,VN70D2,2017-09-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.564800000
2020-09-21 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2020-09-21 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2020-09-21 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2020-09-21 00:00:00.000000,VN102L,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.559200000
2021-03-22 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2021-03-22 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2021-03-22 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2021-03-22 00:00:00.000000,VN806W,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.981600000
2021-03-22 00:00:00.000000,VN707W,2018-06-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.286700000
2021-03-22 00:00:00.000000,VN102L,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.559200000
2021-03-22 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2021-03-22 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
