,Date,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency,Weight
175299,2023-12-18,TW15OJ,TW0002464005,Mirle Auto,TW,TWD,50204000.0,1.0,0.9412,213128071.0,0.0001360296564128166
175327,2023-12-18,TW11MD,TW0002505005,Kuo Yang Const,TW,TWD,35101010.0,1.0,0.653,168061113.0,0.00013579315018800097
176661,2023-12-18,MY24OE,MYL5302OO004,AURELIUS TECHNOLOGIES,MY,MYR,10102015.0,1.0,0.3893,88226589.0,0.00013557019959104612
175307,2023-12-18,TW02F6,TW0002107000,Formosan Rubber,TW,TWD,50203015.0,1.0,0.8472,193510171.0,0.0001353229838516261
175290,2023-12-18,TW16GC,TW0001558005,ZENG HSING INDUSTRIAL,TW,TWD,40202025.0,1.0,1.0,229568673.0,0.00013405917349890614
177287,2023-12-18,TH20DP,TH0409010Z03,LANNA RESOURCES,TH,THB,60101040.0,0.509684,0.4905,55504003.0,0.0001329331148392835
174952,2023-12-18,IN70HT,INE384A01010,RANE HOLDINGS,IN,INR,40101025.0,1.0,0.7013,146715845.0,0.00013292299249141143
175295,2023-12-18,TW04HA,TW0002601002,FIRST STEAMSHIP,TW,TWD,50206030.0,1.0,0.9308,221224644.0,0.00013247354298175537
175331,2023-12-18,TW80A7,TW0006416001,CASWELL,TW,TWD,15101010.0,1.0,0.7273,161053807.0,0.0001324497056940743
174953,2023-12-18,IN60Q1,INE107A01015,TAMIL NADU NWPT.& PAPERS,IN,INR,55101015.0,1.0,0.577,143081849.0,0.00013212435520360273
177395,2023-12-18,ID013Z,ID1000114002,PP (PERSERO),ID,IDR,50101010.0,1.0,0.49,98797770.0,0.0001317579123124523
177272,2023-12-18,TH20LX,TH0748010Z04,UNIVANICH PALM OIL,TH,THB,45102010.0,0.5416601,0.6349,75280278.0,0.00013170092649092706
177396,2023-12-18,ID20TQ,ID1000099500,RAMAYANA LESTARI SENTOSA,ID,IDR,40401010.0,1.0,0.4412,98791920.0,0.00013150982228233947
177131,2023-12-18,B03MY2,TRATIREW91D1,MONDI TURKEY OLUKLU MUKAVVA KAGIT,TR,TRY,55101015.0,1.0,0.1535,28076699.0,0.00013141456660353107
176689,2023-12-18,MY601R,MYL5517OO007,SHANGRI-LA HOTELS (MAL.),MY,MYR,40501025.0,1.0,0.2419,49204586.0,0.0001306516959389909
177091,2023-12-18,B03MV8,TRAKARTN91D4,KARTONSAN,TR,TRY,50203030.0,1.0,0.2187,44310089.0,0.00013051080897706038
177402,2023-12-18,ID3031,ID1000107600,WIJAYA KARYA,ID,IDR,50101010.0,1.0,0.3495,48453275.0,0.00012983180976341405
176536,2023-12-18,CL02HG,CL0000000449,SALFA CORPORATION,CL,CLP,50101015.0,1.0,0.9307,208053032.0,0.0001297079733233422
176659,2023-12-18,MY10PA,MYL5271OO001,PECCA GROUP,MY,MYR,40101010.0,1.0,0.4349,91968366.0,0.00012841894358544902
175418,2023-12-18,PL00MW,PLUNMOT00013,UNIMOT,PL,PLN,65102020.0,1.0,0.3644,86192771.0,0.00012785213015852718
177463,2023-12-18,EG7056,EGS75011C014,MM GRP INDUS.& INTL TRADE,EG,EGP,40203010.0,1.0,0.2586,57446641.0,0.00012782445613849448
177265,2023-12-18,TH10OZ,TH9882010001,NR INSTANT PRODUCE,TH,THB,45102020.0,1.0,0.3936,83253054.0,0.0001273382672563272
176646,2023-12-18,MY30J6,MYL5311OO005,CAPE EMS,MY,MYR,50202040.0,1.0,0.4778,101467928.0,0.00012703749178679638
176670,2023-12-18,MY10DY,MYL7179OO004,LAGENDA PROPERTIES,MY,MYR,35101010.0,1.0,0.3608,76588911.0,0.00012698388347797754
177392,2023-12-18,ID20GD,ID1000108400,ALAM SUTERA REALTY,ID,IDR,35101010.0,1.0,0.5262,107202217.0,0.00012640319763948199
177399,2023-12-18,ID5011,ID1000097207,ADHI KARYA PERSERO,ID,IDR,50101010.0,1.0,0.3567,62574312.0,0.00012619954664189087
174906,2023-12-18,IN18WA,INE754A01055,SUBEX,IN,INR,10101015.0,1.0,1.0,256707823.0,0.00012573558796463033
176908,2023-12-18,KW21RA,KW0EQ0202832,ALIMTIAZ INVESTMENT,KW,KWD,30202010.0,1.0,0.7803,166500503.0,0.00012535601153768386
177255,2023-12-18,TH20Q2,TH0823010002,SOMBOON ADVANCE TECHNOLOGY,TH,THB,40101025.0,0.6992009,0.7008,105370694.0,0.0001248875516711971
177259,2023-12-18,TH22P3,THA490010008,HENG LEASING AND CAPITAL,TH,THB,30201020.0,0.5922379,0.7936,97216565.0,0.00012476983184632636
176644,2023-12-18,MY20G2,MYL5071OO005,COASTAL CONTRACTS,MY,MYR,50206015.0,1.0,0.5504,105321870.0,0.00012348816111827865
174938,2023-12-18,IN81FT,INE231F01020,SASKEN TECHNOLOGIES,IN,INR,10101010.0,1.0,0.7692,183983142.0,0.00012324602652867604
177036,2023-12-18,518610,TRAALGYO91Q5,ALARKO GAYMEN.YATOTA.,TR,TRY,35102000.0,1.0,0.4379,79743819.0,0.00012280790821550292
177031,2023-12-18,TR202O,TRAVKGYO91Q3,VAKIF GAYMEN.YATOTA.,TR,TRY,35102000.0,1.0,0.4623,81661673.0,0.0001226436280664212
177032,2023-12-18,TR30K7,TREBLSM00027,BIRLESIM MUHENDISLIK ISITMA SOGUT,TR,TRY,50101025.0,1.0,0.4804,81395729.0,0.00012253907601572235
175301,2023-12-18,TW19FE,TW0001219004,Fwusow,TW,TWD,45102020.0,1.0,1.0,206087534.0,0.0001223025884181819
177260,2023-12-18,TH012D,TH0818010Z05,UNITED PAPER,TH,THB,50203030.0,1.0,0.444,95657249.0,0.00012179212825327337
176616,2023-12-18,MY90OH,MYL7233OO009,DUFU TECHNOLOGY,MY,MYR,10102030.0,1.0,0.71,150167458.0,0.00012168253753459692
177472,2023-12-18,EG00JD,EGS690C1C010,RAYA HLDG.FOR TECH.& COMMS.,EG,EGP,10101010.0,1.0,0.184,36130230.0,0.00012113270471838412
177015,2023-12-18,TR00CW,TREINDX00019,INDEKS BILGISAYAR SISTEMLERI,TR,TRY,10102030.0,1.0,0.599,100644938.0,0.00012101771051214114
176645,2023-12-18,MY607X,MYL2658OO002,AJINOMOTO,MY,MYR,45102020.0,1.0,0.4962,102189026.0,0.00012087156907158471
177104,2023-12-18,TR12E1,TREAKFG00012,AKFEN GAYMEN.YATOTA.,TR,TRY,35102015.0,1.0,0.4455,38465521.0,0.00012040027321360983
176630,2023-12-18,MY21UH,MYL4383OO005,JAYA TIASA HOLDINGS,MY,MYR,45102010.0,1.0,0.6608,124053507.0,0.00012036806974025282
176649,2023-12-18,MY236V,MYL4324OO009,HENGYUAN REFINING,MY,MYR,60101020.0,1.0,0.4898,97354877.0,0.00012004867106372358
177084,2023-12-18,TR108T,TRAGOODY91E9,GOODYEAR LASTIKLERI,TR,TRY,40101015.0,1.0,0.254,47436916.0,0.00011991867212075537
177085,2023-12-18,TR213Q,TREKNKA00026,KONYA KAGIT SANAYI VE TICARET,TR,TRY,55101015.0,1.0,0.2205,47231203.0,0.000119865160888216
177345,2023-12-18,GR136H,GRS239003007,THRACE PLSTC.HLDG.&. COML.SA,GR,EUR,50203015.0,1.0,0.3648,72454455.0,0.00011803750198307717
177046,2023-12-18,TR80C4,TRACEMTS91G6,CEMTAS CK.MAKINA SANVETC,TR,TRY,55102010.0,1.0,0.4227,74695697.0,0.00011793052401948449
174954,2023-12-18,IN608J,INE049A01027,HIMATSINGKA SEIDE,IN,INR,55101020.0,1.0,0.6687,139704678.0,0.00011732389531328597
176639,2023-12-18,MY30E1,MYL5238OO000,AIRASIA X,MY,MYR,40501010.0,1.0,0.624,114703692.0,0.0001167988498208195
177090,2023-12-18,B07DQ4,TREAKMG00018,AKMERKEZ GAYMEN.YATRIM ORTAKLI,TR,TRY,35102045.0,1.0,0.2615,45404902.0,0.00011642140847190616
175308,2023-12-18,TW05YS,TW0003041000,Ali,TW,TWD,10102010.0,1.0,1.0,192713020.0,0.00011641355961465499
175338,2023-12-18,TW03PH,TW0002417003,AVERMEDIA TECHNOLOGIES,TW,TWD,10102030.0,1.0,0.8157,148290685.0,0.00011607922748548672
177019,2023-12-18,B03MNM,TRAALKIM91E0,ALKIM ALKALI KIMYA,TR,TRY,55201000.0,1.0,0.5335,96661989.0,0.00011576949347462483
177457,2023-12-18,EG2084,EGS38081C013,EGYP.INTL.PHARMS. INDS. SAE,EG,EGP,20103015.0,1.0,0.4482,86070087.0,0.00011571896567351529
176654,2023-12-18,MY90WP,MYL7237OO000,POWER ROOT,MY,MYR,45101020.0,1.0,0.5273,94565498.0,0.0001150076556273405
175333,2023-12-18,TW15ZU,TW0003501003,Well Shin,TW,TWD,50202010.0,1.0,0.8116,158524849.0,0.00011486493075670823
176973,2023-12-18,ET013,TRAKRDMA91G3,KARDEMIR (A),TR,TRY,55102015.0,1.0,1.0,172337989.0,0.00011464243401440753
177049,2023-12-18,490804,TRATRCAS92E6,TURCAS PETROL,TR,TRY,65101015.0,1.0,0.4555,74001251.0,0.00011457512276434583
177285,2023-12-18,TH10S3,THA078010008,KERRY EXPRESS (THAILAND),TH,THB,50206040.0,1.0,0.2743,55914254.0,0.00011455043414091657
177072,2023-12-18,TR10G1,TRAVAKFN91P9,VAKIF FINANSAL KIRALAMA,TR,TRY,30202000.0,1.0,0.3795,56156892.0,0.00011443171266114024
175314,2023-12-18,TW15GB,TW0002405008,SHUTTLE,TW,TWD,10102030.0,1.0,1.0,184322654.0,0.00011391125664627544
174594,2023-12-18,BR05Z6,BRLJQQACNOR5,LOJAS QUERO-QUERO ON,BR,BRL,40401010.0,1.0,1.0,220774960.0,0.00011386942210076353
177044,2023-12-18,TR12J6,TREKZBG00026,KIZILBUK GAYMEN. YATOTA.,TR,TRY,35102015.0,1.0,0.348,75806396.0,0.00011336148801035263
175312,2023-12-18,TW114V,TW0002406006,Gigastorage,TW,TWD,10102010.0,1.0,1.0,184973267.0,0.00011272325115681126
177089,2023-12-18,TR10I3,TREESEN00024,ESENBOGA ELEKTRIK URETIM AS,TR,TRY,65101010.0,1.0,0.303,45843996.0,0.00011258763326286004
176987,2023-12-18,TR00BV,TRECMAS00010,CEMAS DOKUM SANAYI,TR,TRY,55102015.0,1.0,0.8998,136427095.0,0.00011249316535618473
176682,2023-12-18,MY506V,MYL5123TO003,SENTRAL REIT,MY,MYR,35102030.0,1.0,0.3337,59221485.0,0.0001122875627115147
175409,2023-12-18,PL90H0,PLENTER00017,ENTER AIR,PL,PLN,40501010.0,1.0,0.4849,106020390.0,0.00011226368635433387
177023,2023-12-18,B03MPM,TRABAGFS91E2,BANDIRMA GUBRE FABRIKALARI,TR,TRY,55201015.0,1.0,0.5611,90557991.0,0.00011208339280239278
176632,2023-12-18,MY50ZO,MYL5789OO002,LBS BINA GROUP,MY,MYR,35101010.0,1.0,0.6379,121555300.0,0.00011199114945200073
177092,2023-12-18,TR10F0,TRAMAALT91K5,MARMARIS ALTINYUNUS,TR,TRY,40501025.0,1.0,0.2663,42660334.0,0.0001117003228475878
176642,2023-12-18,MY24QG,MYQ0186OO005,PERAK TRANSIT,MY,MYR,50206010.0,1.0,0.5997,108086702.0,0.00011129098131178899
175335,2023-12-18,TW132V,TW0001455004,ZIG SHENG IND,TW,TWD,55101020.0,1.0,0.7987,153982472.0,0.00011116965207787461
175401,2023-12-18,PL00NX,PLVOXEL00014,VOXEL,PL,PLN,20103010.0,1.0,0.6257,138318045.0,0.00011034430908341755
177065,2023-12-18,TR111N,TREKRVG00013,KERVAN GIDA SANAYI VE TICARET,TR,TRY,45102020.0,1.0,0.3912,64684034.0,0.00011024960402575471
175336,2023-12-18,TW0920,TW0001598001,DYACO INTERNATIONAL,TW,TWD,40203050.0,1.0,0.8153,151949352.0,0.0001101291901609172
175428,2023-12-18,PL11MY,PLONDE000018,ONDE,PL,PLN,50101015.0,1.0,0.3285,72859213.0,0.0001095166989665408
