,Date,Index_Symbol,Internal_Number,ISIN,SEDOL,RIC,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Unnamed: 0,Cutoff,Internal_Number_Cutoff,Shares_Cutoff,Close_unadjusted_local_Cutoff,FX_local_to_Index_Currency_Cutoff,Capfactor_Cutoff,Mcap_Units_Index_Currency_Cutoff,InfoCode
1607,2023-09-18,SWESCGV,KR19BW,KR7034310003,6726430,034310.KS,NICE HOLDINGS,KR,KRW,Korea Exchange,50205015,37882300.0,0.4873,1.0,,13270.0,0.0007551,244964797150,184967552.0,0.01724,53,2023-08-31,KR19BW,37882300.0,14040.0,0.0007566,1.0,196094205.0,15944.0
1608,2023-09-18,SWESCGV,KR621K,KR7210980009,BZ0CSR3,210980.KS,SK D&D,KR,KRW,Korea Exchange,35101010,22190164.0,0.4085,1.0,,27000.0,0.0007551,244746414000,184802657.0,0.01723,53,2023-08-31,KR621K,22190164.0,21600.0,0.0007566,1.0,148139620.0,283750.0
1609,2023-09-18,SWESCGV,KR11P2,KR7007690001,6499129,007690.KS,KUKDO CHEMICAL,KR,KRW,Korea Exchange,55201020,9010616.0,0.5246,1.0,,51800.0,0.0007551,244856994200,184886160.0,0.01723,53,2023-08-31,KR11P2,9010616.0,54400.0,0.0007566,1.0,194556870.0,25356.0
1610,2023-09-18,SWESCGV,IN50CM,INE612J01015,B96RL59,RHFL.BO,REPCO HOME FINANCE,IN,INR,Bombay Stock Exchange,30201025,62561362.0,0.6287,1.0,,389.95,0.0120097,15337641304,184200841.0,0.01717,53,2023-08-31,IN50CM,62561362.0,387.6,0.0120793,1.0,184151385.0,266220.0
1611,2023-09-18,SWESCGV,KR118L,KR7004430005,B00GRK6,004430.KS,Songwon Ind,KR,KRW,Korea Exchange,55201000,24000000.0,0.5779,1.0,,17580.0,0.0007551,243827568000,184108857.0,0.01716,53,2023-08-31,KR118L,24000000.0,19490.0,0.0007566,1.0,204522305.0,34777.0
1612,2023-09-18,SWESCGV,TW031T,TW0002349008,6740753,2349.TW,Ritek Corp,TW,TWD,Taiwan Stock Exchange,10102030,693679663.0,1.0,1.0,,8.48,0.0312774,5882403542,183986322.0,0.01715,53,2023-08-31,TW031T,693679663.0,8.45,0.0314007,1.0,184058118.0,41906.0
1613,2023-09-18,SWESCGV,TH212F,TH0297010Z02,6367646,GFPT.BK,GFPT,TH,THB,Stock Exchange of Thailand,45102010,1253821000.0,1.0,0.49,,10.7,0.0279876,6573783503,183984657.0,0.01715,53,2023-08-31,TH212F,1253821000.0,10.9,0.0285572,0.49,191237690.0,26032.0
1614,2023-09-18,SWESCGV,MY24D3,MYL5212TO004,B79YDV3,PREI.KL,PAVILION REIT.TST.,MY,MYR,Bursa Malaysia,35102045,3652338101.0,0.1945,1.0,,1.21,0.2132649,859559511,183313852.0,0.01709,53,2023-08-31,MY24D3,3052809806.0,1.22,0.2155163,1.0,162381148.0,258677.0
1615,2023-09-18,SWESCGV,TW112T,TW0004960000,B60WD20,4960.TW,CHENG MEI MATERIALS TECHNOLOGY,TW,TWD,Taiwan Stock Exchange,50202040,572881780.0,0.8558,1.0,,11.95,0.0312774,5858753113,183246550.0,0.01708,53,2023-08-31,TW112T,572881780.0,12.0,0.0314007,1.0,184738645.0,254884.0
1616,2023-09-18,SWESCGV,MY24PF,MYL5306OO005,BNDMT28,FARM.KL,FARM FRESH,MY,MYR,Bursa Malaysia,45102020,1857954837.0,0.3755,1.0,,1.23,0.2132649,858124310,183007776.0,0.01706,53,2023-08-31,MY24PF,1857954837.0,1.2,0.2155163,1.0,184225056.0,353292.0
1617,2023-09-18,SWESCGV,KW21RA,KW0EQ0202832,B50N7B3,ALIMK.KW,ALIMTIAZ INVESTMENT,KW,KWD,Kuwait Stock Exchange,30202010,1133617350.0,0.7489,1.0,,0.0666,3.2369621,56541138,183021541.0,0.01706,53,2023-08-31,KW21RA,1133617350.0,0.0703,3.2437241,1.0,200572534.0,255497.0
1618,2023-09-18,SWESCGV,TR503S,TRETUMO00011,B8BSM91,TMSN.IS,TUMOSAN MOTOR A,TR,TRY,Istanbul Stock Exchange,40101025,115000000.0,0.3913,1.0,,109.8,0.0370138,4940945100,182883021.0,0.01705,53,2023-08-31,TR503S,115000000.0,108.7,0.0375128,1.0,183492036.0,264589.0
1619,2023-09-18,SWESCGV,KR80J2,KR7056080005,6421876,056080.KQ,YUJIN ROBOT,KR,KRW,Korea Exchange,40203045,37512152.0,0.4872,1.0,,13250.0,0.0007551,242155940000,182846651.0,0.01704,53,2023-08-31,KR80J2,37512152.0,10970.0,0.0007566,1.0,151687848.0,5225.0
1620,2023-09-18,SWESCGV,TH21CP,TH0380010Y07,B014JZ8,THCOM.BK,THAICOM,TH,THB,Stock Exchange of Thailand,15102015,1095993940.0,0.5886,0.6795787,,14.9,0.0279876,6532124254,182818726.0,0.01704,53,2023-08-31,TH21CP,1095993940.0,14.4,0.0285572,0.6794632,180279379.0,29995.0
1621,2023-09-18,SWESCGV,MY507W,MYL5209OO001,B8FL1M2,GASM.KL,GAS MALAYSIA,MY,MYR,Bursa Malaysia,65102020,1284000000.0,0.2207,1.0,,3.02,0.2132649,855803976,182512950.0,0.01701,53,2023-08-31,MY507W,1284000000.0,3.05,0.2155163,1.0,199607193.0,261700.0
1622,2023-09-18,SWESCGV,KR90XH,KR7089980007,B4PZYX8,089980.KQ,SANG-A FRONTEC,KR,KRW,Korea Exchange,50203000,15989037.0,0.6876,1.0,,21950.0,0.0007551,241319660900,182215188.0,0.01699,53,2023-08-31,KR90XH,15989037.0,24100.0,0.0007566,1.0,200465721.0,254281.0
1623,2023-09-18,SWESCGV,IN50JT,INE332A01027,B1XBYT3,THOM.BO,THOMAS COOK INDIA,IN,INR,Bombay Stock Exchange,40501015,470380562.0,0.2669,1.0,,120.75,0.0120097,15159507069,182061499.0,0.01697,53,2023-08-31,IN50JT,470380562.0,114.26,0.0120793,1.0,173274132.0,5624.0
1624,2023-09-18,SWESCGV,KR17GZ,KR7043150002,B1FMQF4,043150.KQ,VALUE ADDED TECHNOLOGY,KR,KRW,Korea Exchange,20102010,14854256.0,0.474,1.0,,34200.0,0.0007551,240799361400,181822333.0,0.01695,53,2023-08-31,KR17GZ,14854256.0,34350.0,0.0007566,1.0,182987275.0,32628.0
1625,2023-09-18,SWESCGV,IN605G,INE873D01024,B89K1V4,INRM.BO,INDOCO REMEDIES,IN,INR,Bombay Stock Exchange,20103015,92150355.0,0.4608,1.0,,356.0,0.0120097,15116786704,181548432.0,0.01692,53,2023-08-31,IN605G,92150355.0,315.55,0.0120793,1.0,161992928.0,24449.0
1626,2023-09-18,SWESCGV,KR612K,KR7026890004,6146469,026890.KS,STIC INVESTMENTS,KR,KRW,Korea Exchange,50202010,41678175.0,0.8685,1.0,,6600.0,0.0007551,238903467000,180390777.0,0.01682,53,2023-08-31,KR612K,41678175.0,7630.0,0.0007566,1.0,208962307.0,43274.0
1627,2023-09-18,SWESCGV,KR03BP,KR7007570005,B17MN40,007570.KS,Ilyang Pharmaceu,KR,KRW,Korea Exchange,20103015,19085664.0,0.7824,1.0,,16000.0,0.0007551,238921984000,180404752.0,0.01682,53,2023-08-31,KR03BP,19085664.0,16010.0,0.0007566,1.0,180880750.0,41543.0
1628,2023-09-18,SWESCGV,KR1JGB,KR7126340009,BBSPWY1,126340.KQ,VINA TECHNOLOGY,KR,KRW,Korea Exchange,10102015,5803397.0,0.7082,1.0,,58100.0,0.0007551,238789024600,180304352.0,0.01681,53,2023-08-31,KR1JGB,5803397.0,55100.0,0.0007566,1.0,171338399.0,268234.0
1629,2023-09-18,SWESCGV,TR11XJ,TREQAGR00022,BKSCRW8,QUAGR.IS,QUA GRANITE HAYL YAPL,TR,TRY,Istanbul Stock Exchange,50101035,2640000000.0,0.2992,1.0,,6.16,0.0370138,4865710080,180098255.0,0.01679,53,2023-08-31,TR11XJ,2640000000.0,6.95,0.0375128,1.0,205935097.0,338119.0
1630,2023-09-18,SWESCGV,TH50M1,TH0833010Y05,BFZLRZ6,SUPER.BK,SUPER ENERGY CORP,TH,THB,Stock Exchange of Thailand,65101010,27349458519.0,0.6376,0.7685069,,0.48,0.0279876,6432592636,180033527.0,0.01678,53,2023-08-31,TH50M1,27349458519.0,0.51,0.0285572,0.7685069,195178262.0,23689.0
1631,2023-09-18,SWESCGV,CN1SIA,US00851L1035,BMVLMK9,API.OQ,AGORA ADR,CN,USD,NASDAQ,10101015,83038164.0,0.8556,1.0,,2.53,1.0,179750056,179750056.0,0.01676,53,2023-08-31,CN1SIA,83038164.0,2.8,1.0,1.0,198932869.0,327045.0
1632,2023-09-18,SWESCGV,IN70FR,INE274G01010,B2QP4C2,DHAE.BO,DHANI SERVICES,IN,INR,Bombay Stock Exchange,30202015,612147910.0,0.6044,1.0,,40.43,0.0120097,14958380225,179646003.0,0.01675,53,2023-08-31,IN70FR,612147910.0,48.53,0.0120793,1.0,216886598.0,149910.0
1633,2023-09-18,SWESCGV,KR902M,KR7008350001,6621030,008350.KS,NAMSUN ALUMINIUM,KR,KRW,Korea Exchange,55102035,129079090.0,0.7616,1.0,,2420.0,0.0007551,237902056700,179634633.0,0.01674,53,2023-08-31,KR902M,129079090.0,2555.0,0.0007566,1.0,190037205.0,25377.0
1634,2023-09-18,SWESCGV,IN10W2,INE224A01026,6135887,GRVL.BO,Greaves Cot,IN,INR,Bombay Stock Exchange,50204030,231999969.0,0.4413,1.0,,145.95,0.0120097,14942592477,179456410.0,0.01673,53,2023-08-31,IN10W2,231648587.0,150.3,0.0120793,1.0,186309035.0,4657.0
1635,2023-09-18,SWESCGV,KR195Q,KR7030520001,B0SQYP2,030520.KQ,HANCOM INC,KR,KRW,Korea Exchange,10101015,25609234.0,0.6454,1.0,,14350.0,0.0007551,237179670000,179089170.0,0.01669,53,2023-08-31,KR195Q,25609234.0,14400.0,0.0007566,1.0,210403482.0,19819.0
1636,2023-09-18,SWESCGV,731398,TRABJKAS91X6,B03MPV8,BJKAS.IS,BESIKTAS,TR,TRY,Istanbul Stock Exchange,40501030,240000000.0,0.4899,1.0,,41.06,0.0370138,4827670560,178690300.0,0.01666,53,2023-08-31,731398,240000000.0,36.0,0.0375128,1.0,158781967.0,6464.0
1637,2023-09-18,SWESCGV,TW00ZO,TW0001201002,6949312,1201.TW,Wei-Chuan Foods,TW,TWD,Taiwan Stock Exchange,45102020,506062900.0,0.5983,1.0,,18.85,0.0312774,5707354612,178511216.0,0.01664,53,2023-08-31,TW00ZO,506062900.0,18.9,0.0314007,1.0,179690262.0,40407.0
1638,2023-09-18,SWESCGV,KR19DY,KR7033500000,6174686,033500.KQ,DONGSUNG FINETEC,KR,KRW,Korea Exchange,55201020,29914347.0,0.6133,1.0,,12870.0,0.0007551,236119056030,178288329.0,0.01662,53,2023-08-31,KR19DY,29764052.0,13690.0,0.0007566,1.0,188458097.0,20216.0
1639,2023-09-18,SWESCGV,HK196H,KYG1146W1134,BLD19W1,1250.HK,Shandong Hi-Speed New Energy,CN,HKD,Stock Exchange of Hong Kong,60102020,2246588726.0,0.25,1.0,,2.48,0.1278756,1392885011,178116013.0,0.0166,53,2023-08-31,HK196H,2246588726.0,2.77,0.1275224,1.0,305686520.0,267637.0
1640,2023-09-18,SWESCGV,IN614G,INE836B01017,BYZP234,SATR.BO,SATIN CREDITCARE NETWORK,IN,INR,Bombay Stock Exchange,30201020,99634381.0,0.6189,1.0,,240.5,0.0120097,14830124179,178105698.0,0.0166,53,2023-08-31,IN614G,85224125.0,213.4,0.0120793,1.0,125725182.0,285338.0
1641,2023-09-18,SWESCGV,ID00UP,ID1000118409,6535670,LSIP.JK,PP LONDON SUMATRA INDONESIA,ID,IDR,Indonesia Stock Exchange,45102010,6822863965.0,0.4052,1.0,,990.0,6.5e-05,2736978234210,177941461.0,0.01659,53,2023-08-31,ID00UP,6822863965.0,1020.0,6.57e-05,1.0,185166254.0,41962.0
1642,2023-09-18,SWESCGV,KR218M,KR7199800004,BNH6Z73,199800.KQ,TOOLGEN,KR,KRW,Korea Exchange,20103010,7913474.0,0.7712,1.0,,38600.0,0.0007551,235570820600,177874372.0,0.01658,53,2023-08-31,KR218M,7913474.0,38100.0,0.0007566,1.0,175923590.0,276663.0
1643,2023-09-18,SWESCGV,KR11V8,KR7000430009,6249636,000430.KS,Daewon Kang Up,KR,KRW,Korea Exchange,40101025,62000000.0,0.5875,1.0,,6440.0,0.0007551,234577000000,177123957.0,0.01651,53,2023-08-31,KR11V8,62000000.0,6210.0,0.0007566,1.0,171141788.0,41554.0
1644,2023-09-18,SWESCGV,TW12C4,TW0002538006,6485292,2538.TW,Kee Tai,TW,TWD,Taiwan Stock Exchange,35101010,438448764.0,1.0,1.0,,12.9,0.0312774,5655989056,176904650.0,0.01649,53,2023-08-31,TW12C4,438448764.0,14.35,0.0314007,1.0,197565013.0,44126.0
1645,2023-09-18,SWESCGV,KR323J,KR7073570004,6723613,073570.KQ,LITHIUM-FOR-EARTH,KR,KRW,Korea Exchange,45201040,28867125.0,0.6679,1.0,,12150.0,0.0007551,234256288950,176881791.0,0.01649,53,2023-08-31,,,,,,,15319.0
1646,2023-09-18,SWESCGV,TW19ZY,TW0002420007,6993427,2420.TW,ZIPPY TECHNOLOGY,TW,TWD,Taiwan Stock Exchange,50202010,152648700.0,0.816,1.0,,45.4,0.0312774,5655084791,176876354.0,0.01649,53,2023-08-31,TW19ZY,152648700.0,45.6,0.0314007,1.0,178355857.0,44432.0
1647,2023-09-18,SWESCGV,TH00Z9,TH9451010002,BKBD1T3,RBF.BK,R & B FOOD SUPPLY,TH,THB,Stock Exchange of Thailand,45102020,2000000000.0,0.2792,1.0,,11.3,0.0279876,6309920000,176599752.0,0.01646,53,2023-08-31,TH00Z9,2000000000.0,11.4,0.0285572,1.0,181983512.0,320246.0
1648,2023-09-18,SWESCGV,TW801Y,KYG8676P1037,BYQH875,6541.TW,TANVEX BIOPHARMA,TW,TWD,Taiwan Stock Exchange,20103010,133665367.0,0.6557,1.0,,64.3,0.0312774,5635533698,176264840.0,0.01643,53,2023-08-31,TW801Y,133665367.0,62.2,0.0314007,1.0,175487845.0,284882.0
1649,2023-09-18,SWESCGV,MY10K5,MYL4758OO008,6031758,ANCM.KL,ANCOM NYLEX,MY,MYR,Bursa Malaysia,55201020,972566411.0,0.7849,1.0,,1.08,0.2132649,824436766,175823431.0,0.01639,53,2023-08-31,MY10K5,972566411.0,1.05,0.2155163,1.0,171687603.0,35289.0
1650,2023-09-18,SWESCGV,PL10FQ,PLMOBRK00013,B3YPG92,MBR.WA,MOBRUK,PL,PLN,Warsaw Stock Exchange,50101035,3512885.0,0.8,1.0,,272.0,0.229865,764403776,175709653.0,0.01638,53,2023-08-31,PL10FQ,3512885.0,284.5,0.2426448,1.0,194002397.0,261531.0
1651,2023-09-18,SWESCGV,CN25GM,CNE0000002N1,6800141,900901.SS,INESA INTEL.TECH. 'B',CN,USD,Shanghai Stock Exchange,10101010,293370465.0,1.0,1.0,,0.599,1.0,175728909,175728909.0,0.01638,53,2023-08-31,CN25GM,293370465.0,0.628,1.0,1.0,184236652.0,27448.0
1652,2023-09-18,SWESCGV,KR221G,KR7200130003,BP9DKY8,200130.KQ,KOLMARBNH,KR,KRW,Korea Exchange,45102020,29543558.0,0.4319,1.0,,18230.0,0.0007551,232612302490,175640452.0,0.01637,53,2023-08-31,KR221G,29543558.0,18500.0,0.0007566,1.0,178600485.0,277267.0
1653,2023-09-18,SWESCGV,KR1JRM,KR7340570001,BN7CD55,340570.KQ,T&L,KR,KRW,Korea Exchange,20102015,8128000.0,0.6585,1.0,,43450.0,0.0007551,232556913600,175598632.0,0.01637,53,2023-08-31,KR1JRM,8128000.0,48400.0,0.0007566,1.0,195997142.0,331853.0
1654,2023-09-18,SWESCGV,KR05HX,KR7041960006,6419008,041960.KQ,KOMIPHARM INT,KR,KRW,Korea Exchange,20103015,70604464.0,0.6034,1.0,,5460.0,0.0007551,232610927640,175639414.0,0.01637,53,2023-08-31,KR05HX,70648713.0,5440.0,0.0007566,1.0,185955319.0,4981.0
