,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,exchange,ICB,Mcap_Units_Index_Currency,InfoCode,closePrice_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Weight
3163,1997-12-22,926,AR4027,,218677,ENEL GENERACION COSTANERA,AR,ARS,0,0,6734973,620.0,2.5499993,0.02,0.02,1.0,6871732.807766116,343586640.3883058,0.02,4.66e-05
3193,1997-12-22,926,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,31820659,27513.0,65.0,0.09,0.09,1.0,35656621.3714932,396184681.90547997,0.09,0.000220286
3313,1997-12-22,926,ID00MH,ID1000096803,617322,KALBE FARMA,ID,IDR,0,0,1522476,25537.0,1350.0,1.0,0.02,1.0,3197802.24,159890112.0,0.02,1.05e-05
3462,1998-03-23,1247,KR1FI9,,658948,HBE ENERGY,KR,KRW,0,0,2437957,44213.0,14200.0,0.07,0.07,1.0,1735391.66878,24791309.553999998,0.07,1.17e-05
3558,1998-03-23,1247,KR01P1,,689645,TONGYANG,KR,KRW,0,0,2769017,24884.0,6700.0,0.06,0.06,1.0,2110192.7272799998,35169878.787999995,0.06,1.33e-05
3597,1998-03-23,1247,KR01AM,,645098,HYUNDAI ENGR.& CON.,KR,KRW,0,0,53904791,40500.0,10900.0,0.32,0.13,1.0,47295530.446449995,363811772.66499996,0.13,0.000258657
3629,1998-03-23,1247,KR91M7,,624514,NEXT SCIENCE,KR,KRW,0,0,2330559,25201.0,21000.0,0.09,0.09,1.0,2314758.6,25719540.000000004,0.09,1.12e-05
3740,1998-03-23,1247,MY21XK,,687060,YTL LAND & DEVELOPMENT,MY,MYR,0,0,2255488,34423.0,1.0699997,0.1,0.09,1.0,2519942.1696417998,27999357.440464444,0.09,1.08e-05
3743,1998-03-23,1247,MY140P,,651259,LEONG HUP HOLDINGS,MY,MYR,0,0,5051125,35990.0,1.139999,0.57,0.13,1.0,6112209.048433106,47016992.68025466,0.13,2.42e-05
3817,1998-03-23,1247,MY11CY,,650200,KONSORTIUM LOGISTIK,MY,MYR,0,0,27111861,41806.0,4.04,0.13,0.13,1.0,25293072.0157393,194562092.42876384,0.13,0.000130094
4281,1998-03-23,1247,ID00MH,ID1000096803,617322,KALBE FARMA,ID,IDR,0,0,906984,25537.0,1050.0,0.02,0.02,1.0,1025081.568,51254078.4,0.02,4.35e-06
4347,1998-03-23,1247,CN8BAS,,667363,SILK ROAD LOGISTICS HOLDINGS,CN,HKD,0,0,48367218,30058.0,0.41999996,0.1,0.1,1.0,52798370.094541125,527983700.9454112,0.1,0.000232086
4527,1998-03-23,1247,PH04MW,,674472,ROBINSONS LAND,PH,PHP,0,0,10943051,35099.0,2.4799996,0.09,0.09,1.0,10069176.675138984,111879740.83487761,0.09,5.25e-05
4588,1998-03-23,1247,AR4027,,218677,ENEL GENERACION COSTANERA,AR,ARS,0,0,9052709,620.0,3.1199999,0.02,0.02,1.0,8408610.603723409,420430530.1861704,0.02,4.34e-05
4610,1998-03-23,1247,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,37661262,27513.0,63.009995,0.09,0.09,1.0,33631001.39946629,373677793.32740325,0.09,0.000180714
4645,1998-06-22,1246,PH04MW,,674472,ROBINSONS LAND,PH,PHP,0,0,8051157,35099.0,2.0999995,0.09,0.09,1.0,8734273.329010617,97047481.43345131,0.09,4.68e-05
4713,1998-06-22,1246,KR1FI9,,658948,HBE ENERGY,KR,KRW,0,0,1202046,44213.0,9450.0,0.07,0.07,1.0,1339920.16452,19141716.636,0.07,6.99e-06
4752,1998-06-22,1246,KR1DNC,,610925,COMTEC SYSTEMS,KR,KRW,0,0,823790,44473.0,2600.0,0.03,0.03,1.0,942096.48,31403216.0,0.03,4.79e-06
4757,1998-06-22,1246,KR00R2,,649504,KOREA EXCHANGE BANK,KR,KRW,0,0,31769229,31825.0,2900.0,0.09,0.09,1.0,30596821.19999999,339964679.99999994,0.09,0.00018482
4800,1998-06-22,1246,KR91M7,,624514,NEXT SCIENCE,KR,KRW,0,0,1311603,25201.0,10600.0,0.09,0.09,1.0,1355595.8399999999,15062175.999999998,0.09,7.63e-06
4815,1998-06-22,1246,KR135K,,611352,SAM YOUNG ELTN.,KR,KRW,0,0,732258,25452.0,10100.0,0.01,0.01,1.0,861101.76,86110176.0,0.01,4.26e-06
4821,1998-06-22,1246,KR01P1,,689645,TONGYANG,KR,KRW,0,0,1011691,24884.0,3120.0,0.06,0.06,1.0,1140091.909632,19001531.8272,0.06,5.89e-06
4890,1998-06-22,1246,KR1G91,,649678,KOREA FIRST BANK,KR,KRW,0,0,39145651,75504.0,3445.0,0.06,0.06,1.0,46993989.12,783233152.0,0.06,0.000227734
4966,1998-06-22,1246,IN13MV,,646257,INDIAN PETROCHEM.,IN,INR,0,0,28834898,5164.0,65.299988,0.4,0.4,0.24,37337701.923211336,388934395.03345144,0.1,0.00016775
5323,1998-06-22,1246,CN8BAS,,667363,SILK ROAD LOGISTICS HOLDINGS,CN,HKD,0,0,18350143,30058.0,0.18299997,0.1,0.1,1.0,22985704.27925519,229857042.79255188,0.1,0.000106754
5379,1998-06-22,1246,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,29019779,27513.0,62.5,0.09,0.09,1.0,32970181.925430004,366335354.72700006,0.09,0.000168825
5392,1998-06-22,1246,MY140P,,651259,LEONG HUP HOLDINGS,MY,MYR,0,0,2489241,35990.0,0.58,0.13,0.13,1.0,2975713.4430971164,22890103.408439357,0.13,1.45e-05
5394,1998-06-22,1246,MY21XK,,687060,YTL LAND & DEVELOPMENT,MY,MYR,0,0,546701,34423.0,0.51499999,0.05,0.05,1.0,644779.1985941059,12895583.971882118,0.05,3.18e-06
5621,1998-06-22,1246,ID10ZV,,667565,PIONEERINDO GMT.INTL.,ID,IDR,0,0,16938,31869.0,375.0,0.01,0.01,1.0,41152.5,4115250.0,0.01,9.85e-08
5623,1998-06-22,1246,ID00MH,ID1000096803,617322,KALBE FARMA,ID,IDR,0,0,250798,25537.0,550.0,0.02,0.02,1.0,420552.0,21027600.0,0.02,1.46e-06
5667,1998-06-22,1246,TH204G,,607498,BANGCHAK CORPORATION ORS,TH,THB,0,0,5563089,2206.0,7.6999999,0.2,0.2,0.3676471,7317821.207473372,99522357.27513385,0.07,3.24e-05
6321,1998-09-21,821,KR1G91,,649678,KOREA FIRST BANK,KR,KRW,0,0,22749408,75504.0,1490.0,0.06,0.06,1.0,21183251.327999998,353054188.79999995,0.06,0.000176122
6340,1998-09-21,821,KR135K,,611352,SAM YOUNG ELTN.,KR,KRW,0,0,7403898,25452.0,7380.0,0.12,0.12,1.0,7869080.275199999,65575668.95999999,0.12,5.73e-05
6367,1998-09-21,821,KR03M0,,645106,HYUNDAI MIPO DOCKYARD,KR,KRW,0,0,4065690,41559.0,13600.0,0.05,0.05,1.0,4335783.853680001,86715677.07360001,0.05,3.15e-05
6579,1998-09-21,821,IL119E,,638133,GRANITE,IL,ILS,0,0,28739463,23919.0,7.5,0.11,0.11,1.0,30202615.585584745,274569232.59622496,0.11,0.000222496
6615,1998-09-21,821,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,15897561,27513.0,37.75,0.09,0.09,1.0,19168244.916418526,212980499.07131696,0.09,0.000123076
6624,1998-09-21,821,HU105H,,525923,LINAMAR HUNGARY,HU,HUF,0,0,7006713,45370.0,4200.0,0.4,0.08,1.0,11874156.440832,148426955.5104,0.08,5.42e-05
6670,1998-12-21,818,TR103O,,508577,BOYNER BUYUK MAGAZACILIK LTD.,TR,TRY,0,0,610570,42280.0,13.75,1.0,0.01,1.0,747528.8303174999,74752883.03175,0.01,4.34e-06
6799,1998-12-21,818,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,19134635,27513.0,47.0,0.09,0.09,1.0,24104796.155387636,267831068.39319596,0.09,0.000136138
6905,1998-12-21,818,MY11UG,,650245,IOI PROPERTIES,MY,MYR,0,0,10230796,35184.0,3.0,0.11,0.11,1.0,7829692.91992074,71179026.544734,0.11,7.28e-05
7257,1998-12-21,818,BR04DJ,,266777,CMPBRA.DE DISTB. PN,BR,BRL,0,0,48616150,42262.0,0.0235,1.0,0.11,1.0,60379130.871543,548901189.7413,0.11,0.000345891
7301,1998-12-21,818,KR03M0,,645106,HYUNDAI MIPO DOCKYARD,KR,KRW,0,0,5949663,41559.0,15900.0,0.05,0.05,1.0,5494175.873160001,109883517.46320002,0.05,4.23e-05
7341,1998-12-21,818,KR135K,,611352,SAM YOUNG ELTN.,KR,KRW,0,0,11469060,25452.0,9120.0,0.12,0.12,1.0,10539965.0304,87833041.92,0.12,8.16e-05
7353,1998-12-21,818,KR1G91,,649678,KOREA FIRST BANK,KR,KRW,0,0,60139200,75504.0,5670.0,0.06,0.06,1.0,87370762.752,1456179379.2,0.06,0.000427874
7360,1998-12-21,818,KR1G1T,,683735,SSANGYONG PAPER,KR,KRW,0,0,5295044,92084.0,12700.0,0.05,0.05,1.0,5461202.36688,109224047.3376,0.05,3.77e-05
7402,1998-12-21,818,IL119E,,638133,GRANITE,IL,ILS,0,0,17103218,23919.0,7.2599993,0.11,0.11,1.0,26471961.054645654,240654191.40586957,0.11,0.000121685
7455,1998-12-21,818,TH203F,,647533,JASMINE INTERNATIONAL,TH,THB,0,0,5628896,2187.0,10.0,0.15,0.15,0.49,6792134.674248001,92409995.568,0.07,4e-05
7493,1999-03-22,903,KR15K1,,649933,KWANG DONG PHARM.,KR,KRW,0,0,9490860,25362.0,13100.0,1.0,0.12,1.0,7121038.9987584,59341991.65632,0.12,5.21e-05
