,frm_currency,to_currency,cutoff_date,exchange_rate
0,CNY,USD,1997-10-31,0.12072338
0,INR,USD,1997-10-31,0.027498988
0,ARS,USD,1997-10-31,1.0006003903
0,BRL,USD,1997-10-31,0.907029478
0,PLN,USD,1997-10-31,0.286944071
0,GRD,USD,1997-10-31,0.0036658235
0,CZK,USD,1997-10-31,0.030307626
0,MAD,USD,1997-10-31,0.1059266108
0,AUD,USD,1997-10-31,0.7008
0,RUB,USD,1997-10-31,0.169577769
0,COP,USD,1997-10-31,0.000777923
0,SGD,USD,1997-10-31,0.6359300477
0,JOD,USD,1997-10-31,1.4074597534
0,JPY,USD,1997-10-31,0.0083028894
0,GBP,USD,1997-10-31,1.6744809109
0,PKR,USD,1997-10-31,0.022724176
0,SAR,USD,1997-10-31,0.26655305109416827
0,KWD,USD,1997-10-31,3.3025099075297226
0,QAR,USD,1997-10-31,0.2761466451901843
0,AED,USD,1997-10-31,0.2722645492253352
0,KRW,USD,1998-02-27,0.00061237
0,MYR,USD,1998-02-27,0.272108969
0,HKD,USD,1998-02-27,0.1291655903
0,TWD,USD,1998-02-27,0.031175968
0,ILS,USD,1998-02-27,0.279041347
0,EUR,USD,1998-02-27,1.078654133
0,PHP,USD,1998-02-27,0.02506267
0,THB,USD,1998-02-27,0.023201861
0,USD,USD,1998-02-27,1.0
0,CLP,USD,1998-02-27,0.002223952
0,MXN,USD,1998-02-27,0.117322715
0,ZAR,USD,1998-02-27,0.20236771
0,EGP,USD,1998-02-27,0.29378945
0,HUF,USD,1998-02-27,0.004791682
0,TRY,USD,1998-02-27,4.331348883
0,IDR,USD,1998-02-27,0.000112994
0,CNY,USD,1998-02-27,0.120789005
0,INR,USD,1998-02-27,0.025412976
0,ARS,USD,1998-02-27,1.0005002701
0,BRL,USD,1998-02-27,0.884799542
0,PLN,USD,1998-02-27,0.287562904
0,GRD,USD,1998-02-27,0.0034768097
0,CZK,USD,1998-02-27,0.029414364
0,MAD,USD,1998-02-27,0.1019181184
0,AUD,USD,1998-02-27,0.6785
0,RUB,USD,1998-02-27,0.165330269
0,COP,USD,1998-02-27,0.000744518
0,SGD,USD,1998-02-27,0.6180469716
0,JOD,USD,1998-02-27,1.4064698202
0,JPY,USD,1998-02-27,0.0079302141
0,GBP,USD,1998-02-27,1.6436554898
0,PKR,USD,1998-02-27,0.022724176
0,SAR,USD,1998-02-27,0.2666099107488664
0,KWD,USD,1998-02-27,3.279763857002296
0,QAR,USD,1998-02-27,0.27453111957403875
0,AED,USD,1998-02-27,0.2722645492253352
0,KRW,USD,1998-04-30,0.000748223
0,MYR,USD,1998-04-30,0.267379693
0,HKD,USD,1998-04-30,0.1290738948
0,TWD,USD,1998-04-30,0.030326475
0,ILS,USD,1998-04-30,0.2699858
0,EUR,USD,1998-04-30,1.090912967
0,PHP,USD,1998-04-30,0.024906613
0,THB,USD,1998-04-30,0.025856504
0,USD,USD,1998-04-30,1.0
0,CLP,USD,1998-04-30,0.002208724
0,MXN,USD,1998-04-30,0.117792592
0,ZAR,USD,1998-04-30,0.197765272
0,EGP,USD,1998-04-30,0.293255141
0,HUF,USD,1998-04-30,0.004740348
0,TRY,USD,1998-04-30,3.99960036
0,IDR,USD,1998-04-30,0.000123839
0,CNY,USD,1998-04-30,0.120803588
0,INR,USD,1998-04-30,0.025179405
0,ARS,USD,1998-04-30,1.00010002
0,BRL,USD,1998-04-30,0.874126562
0,PLN,USD,1998-04-30,0.294420753
0,GRD,USD,1998-04-30,0.0031862355
0,CZK,USD,1998-04-30,0.030425199
0,MAD,USD,1998-04-30,0.1028140366
0,AUD,USD,1998-04-30,0.6482
0,RUB,USD,1998-04-30,0.163145457
0,COP,USD,1998-04-30,0.00073295
0,SGD,USD,1998-04-30,0.6319115324
0,JOD,USD,1998-04-30,1.4054813971
0,JPY,USD,1998-04-30,0.0075318219
0,GBP,USD,1998-04-30,1.6722408027
0,PKR,USD,1998-04-30,0.022691185
0,SAR,USD,1998-04-30,0.2666454345795292
0,KWD,USD,1998-04-30,3.2743946659325034
0,QAR,USD,1998-04-30,0.2747289511873894
0,AED,USD,1998-04-30,0.2722645492253352
0,KRW,USD,1998-08-31,0.000740466
0,MYR,USD,1998-08-31,0.238931504
0,HKD,USD,1998-08-31,0.1290572369
0,TWD,USD,1998-08-31,0.028690292
0,ILS,USD,1998-08-31,0.26348381
0,EUR,USD,1998-08-31,1.109827152
0,PHP,USD,1998-08-31,0.022831056
0,THB,USD,1998-08-31,0.023866352
0,USD,USD,1998-08-31,1.0
0,CLP,USD,1998-08-31,0.002115731
0,MXN,USD,1998-08-31,0.100305937
0,ZAR,USD,1998-08-31,0.155634764
0,EGP,USD,1998-08-31,0.293169296
0,HUF,USD,1998-08-31,0.004458712
0,TRY,USD,1998-08-31,3.602435506
0,IDR,USD,1998-08-31,8.93e-05
0,CNY,USD,1998-08-31,0.12077295
0,INR,USD,1998-08-31,0.02351835
0,ARS,USD,1998-08-31,1.00020007
0,BRL,USD,1998-08-31,0.849689863
0,PLN,USD,1998-08-31,0.268456484
0,GRD,USD,1998-08-31,0.0032973918
0,CZK,USD,1998-08-31,0.030762615
0,MAD,USD,1998-08-31,0.1040550438
0,AUD,USD,1998-08-31,0.5676
0,RUB,USD,1998-08-31,0.100502514
0,COP,USD,1998-08-31,0.000693313
0,SGD,USD,1998-08-31,0.5635390251
0,JOD,USD,1998-08-31,1.4044944609
0,JPY,USD,1998-08-31,0.0070826551
0,GBP,USD,1998-08-31,1.6806722689
0,PKR,USD,1998-08-31,0.01999701
0,SAR,USD,1998-08-31,0.2665601634418973
0,KWD,USD,1998-08-31,3.2690423843767493
0,QAR,USD,1998-08-31,0.27467037023059426
0,AED,USD,1998-08-31,0.2722645492253352
0,KRW,USD,1998-10-30,0.000757863
0,MYR,USD,1998-10-30,0.184162117
0,HKD,USD,1998-10-30,0.1291088904
0,TWD,USD,1998-10-30,0.030803361
0,ILS,USD,1998-10-30,0.23369955
0,EUR,USD,1998-10-30,1.180830646
0,PHP,USD,1998-10-30,0.024783162
0,THB,USD,1998-10-30,0.02721459
0,USD,USD,1998-10-30,1.0
0,CLP,USD,1998-10-30,0.002161695
0,MXN,USD,1998-10-30,0.098784945
0,ZAR,USD,1998-10-30,0.178253129
0,EGP,USD,1998-10-30,0.291545326
0,HUF,USD,1998-10-30,0.004610207
0,TRY,USD,1998-10-30,3.472161942
0,IDR,USD,1998-10-30,0.000131579
0,CNY,USD,1998-10-30,0.120805049
0,INR,USD,1998-10-30,0.023607184
0,ARS,USD,1998-10-30,1.0003001301
0,BRL,USD,1998-10-30,0.838293376
0,PLN,USD,1998-10-30,0.290233764
0,GRD,USD,1998-10-30,0.0035574529
0,CZK,USD,1998-10-30,0.034478005
0,MAD,USD,1998-10-30,0.1085104967
0,AUD,USD,1998-10-30,0.6229
0,RUB,USD,1998-10-30,0.05988025
0,COP,USD,1998-10-30,0.000634719
0,SGD,USD,1998-10-30,0.6169031462
0,JOD,USD,1998-10-30,1.4044944609
0,JPY,USD,1998-10-30,0.0086244071
0,GBP,USD,1998-10-30,1.6756032172
0,PKR,USD,1998-10-30,0.019648299
0,SAR,USD,1998-10-30,0.2666168981790066
0,KWD,USD,1998-10-30,3.315650087244701
0,QAR,USD,1998-10-30,0.27442852787517236
0,AED,USD,1998-10-30,0.2722645492253352
0,KRW,USD,1999-02-26,0.0008173273395995096
0,MYR,USD,1999-02-26,0.18416211688018178
0,HKD,USD,1999-02-26,0.1290822254
0,TWD,USD,1999-02-26,0.030229757950025794
0,ILS,USD,1999-02-26,0.2471577110388246
0,EUR,USD,1999-02-26,1.101
0,PHP,USD,1999-02-26,0.025673942927389698
0,THB,USD,1999-02-26,0.026795289055922388
0,USD,USD,1999-02-26,1.0
0,CLP,USD,1999-02-26,0.00199203187250996
0,MXN,USD,1999-02-26,0.10045203415369161
0,ZAR,USD,1999-02-26,0.161420508220525
0,EGP,USD,1999-02-26,0.2925004208349805
0,HUF,USD,1999-02-26,0.004341219882787063
0,TRY,USD,1999-02-26,2.8199598336201137
0,IDR,USD,1999-02-26,0.00011315417256011315
0,CNY,USD,1999-02-26,0.12078754348019399
0,INR,USD,1999-02-26,0.023432929846400895
0,ARS,USD,1999-02-26,1.0004001600640255
0,BRL,USD,1999-02-26,0.4819277340688065
0,PLN,USD,1999-02-26,0.2534854438645458
0,GRD,USD,1999-02-26,0.003424423
0,CZK,USD,1999-02-26,0.029034329523438936
0,MAD,USD,1999-02-26,0.10339230354723071
0,AUD,USD,1999-02-26,0.6185
0,RUB,USD,1999-02-26,0.043280682671401456
0,COP,USD,1999-02-26,0.0006384676775738228
0,SGD,USD,1999-02-26,0.5807538185
0,JOD,USD,1999-02-26,1.405481397125529
0,JPY,USD,1999-02-26,0.0084033613
0,GBP,USD,1999-02-26,1.6033349367
0,PKR,USD,1999-02-26,0.019919133100205114
0,SAR,USD,1999-02-26,0.26648903573500715
0,KWD,USD,1999-02-26,3.279763857002296
0,QAR,USD,1999-02-26,0.2746498365641218
0,AED,USD,1999-02-26,0.2722496280797831
0,KRW,USD,1999-04-30,0.0008413967185527977
0,MYR,USD,1999-04-30,0.21052631578947367
0,HKD,USD,1999-04-30,0.1290322581
0,TWD,USD,1999-04-30,0.030581042560951913
0,ILS,USD,1999-04-30,0.24061028006459134
0,EUR,USD,1999-04-30,1.058
0,PHP,USD,1999-04-30,0.026298502360777107
0,THB,USD,1999-04-30,0.02694329091983344
0,USD,USD,1999-04-30,1.0
0,CLP,USD,1999-04-30,0.002066756824110686
0,MXN,USD,1999-04-30,0.10822511056764308
0,ZAR,USD,1999-04-30,0.16381358282928302
0,EGP,USD,1999-04-30,0.2904867084465953
0,HUF,USD,1999-04-30,0.004226364237621581
0,TRY,USD,1999-04-30,2.5537566411399113
0,IDR,USD,1999-04-30,0.00012368583797155226
0,CNY,USD,1999-04-30,0.12078754348019399
0,INR,USD,1999-04-30,0.023375409616068484
0,ARS,USD,1999-04-30,1.0004001600640255
0,BRL,USD,1999-04-30,0.6027729363390405
0,PLN,USD,1999-04-30,0.25303645645519657
0,GRD,USD,1999-04-30,0.0032459102
0,CZK,USD,1999-04-30,0.02814048043004057
0,MAD,USD,1999-04-30,0.1013818344029117
0,AUD,USD,1999-04-30,0.6612
0,RUB,USD,1999-04-30,0.04047765740576994
0,COP,USD,1999-04-30,0.0006190992106485065
0,SGD,USD,1999-04-30,0.5899705015
0,JOD,USD,1999-04-30,1.405481397125529
0,JPY,USD,1999-04-30,0.0083766125
0,GBP,USD,1999-04-30,1.609787508
0,PKR,USD,1999-04-30,0.02008233798739508
0,SAR,USD,1999-04-30,0.266631130069651
0,KWD,USD,1999-04-30,3.2733226365514
0,QAR,USD,1999-04-30,0.2739502213819134
0,AED,USD,1999-04-30,0.27225712180388856
0,KRW,USD,1999-08-31,0.0008470986869970351
0,MYR,USD,1999-08-31,0.26315801246542664
0,HKD,USD,1999-08-31,0.1287863177
0,TWD,USD,1999-08-31,0.031404570351089595
0,ILS,USD,1999-08-31,0.23574349467005176
0,EUR,USD,1999-08-31,1.0562
0,PHP,USD,1999-08-31,0.025204796533271793
0,THB,USD,1999-08-31,0.026072222768580136
0,USD,USD,1999-08-31,1.0
0,CLP,USD,1999-08-31,0.001931434089811685
0,MXN,USD,1999-08-31,0.10662117723896315
0,ZAR,USD,1999-08-31,0.16441960422293997
0,EGP,USD,1999-08-31,0.292842944785312
0,HUF,USD,1999-08-31,0.00416181122024305
0,TRY,USD,1999-08-31,2.2441652712821036
0,IDR,USD,1999-08-31,0.0001302931596091205
0,CNY,USD,1999-08-31,0.12081672833253161
0,INR,USD,1999-08-31,0.023005694438504504
0,ARS,USD,1999-08-31,1.0001000200030006
0,BRL,USD,1999-08-31,0.5202913631633715
0,PLN,USD,1999-08-31,0.2511301799837443
0,GRD,USD,1999-08-31,0.0032384468
0,CZK,USD,1999-08-31,0.028840056392692666
0,MAD,USD,1999-08-31,0.10179671507497476
0,AUD,USD,1999-08-31,0.6392
0,RUB,USD,1999-08-31,0.03986447354657319
0,COP,USD,1999-08-31,0.0005142710208279763
0,SGD,USD,1999-08-31,0.5938947618
0,JOD,USD,1999-08-31,1.4064698202448587
