,frm_currency,to_currency,date,exchange_rate,cutoff_date
0,CZK,USD,1997-08-28,0.029788508,1997-08-29
0,MAD,USD,1997-08-28,0.1023017934,1997-08-29
0,AUD,USD,1997-08-28,0.7367,1997-08-29
0,RUB,USD,1997-08-28,0.171423674,1997-08-29
0,COP,USD,1997-08-28,0.000854884,1997-08-29
0,SGD,USD,1997-08-28,0.653381248,1997-08-29
0,JOD,USD,1997-08-28,1.4104372355,1997-08-29
0,JPY,USD,1997-08-28,0.0084111363,1997-08-29
0,GBP,USD,1997-08-28,1.6199578811,1997-08-29
0,PKR,USD,1997-08-28,0.024703876,1997-08-29
0,SAR,USD,1997-08-28,0.2666240139344109,1997-08-29
0,KWD,USD,1997-08-28,3.2819170701564913,1997-08-29
0,QAR,USD,1997-08-28,0.27561437019847684,1997-08-29
0,AED,USD,1997-08-28,0.27227196963884376,1997-08-29
0,KRW,USD,1997-11-27,0.000893256,1997-11-28
0,MYR,USD,1997-11-27,0.285306843,1997-11-28
0,HKD,USD,1997-11-27,0.1293794959,1997-11-28
0,TWD,USD,1997-11-27,0.031176932,1997-11-28
0,ILS,USD,1997-11-27,0.282565728,1997-11-28
0,EUR,USD,1997-11-27,1.11310602,1997-11-28
0,PHP,USD,1997-11-27,0.028860046,1997-11-28
0,THB,USD,1997-11-27,0.025094109,1997-11-28
0,USD,USD,1997-11-27,1.0,1997-11-28
0,CLP,USD,1997-11-27,0.002296211,1997-11-28
0,MXN,USD,1997-11-27,0.121802706,1997-11-28
0,ZAR,USD,1997-11-27,0.206164347,1997-11-28
0,EGP,USD,1997-11-27,0.294074539,1997-11-28
0,HUF,USD,1997-11-27,0.005016177,1997-11-28
0,TRY,USD,1997-11-27,5.140596338,1997-11-28
0,IDR,USD,1997-11-27,0.000273598,1997-11-28
0,CNY,USD,1997-11-27,0.12077149,1997-11-28
0,INR,USD,1997-11-27,0.025928912,1997-11-28
0,ARS,USD,1997-11-27,1.00010002,1997-11-28
0,BRL,USD,1997-11-27,0.902527157,1997-11-28
0,PLN,USD,1997-11-27,0.282925585,1997-11-28
0,GRD,USD,1997-11-27,0.0036140224,1997-11-28
0,CZK,USD,1997-11-27,0.029112515,1997-11-28
0,MAD,USD,1997-11-27,0.1042589967,1997-11-28
0,AUD,USD,1997-11-27,0.6765,1997-11-28
0,RUB,USD,1997-11-27,0.168776391,1997-11-28
0,COP,USD,1997-11-27,0.000766342,1997-11-28
0,SGD,USD,1997-11-27,0.6268806419,1997-11-28
0,JOD,USD,1997-11-27,1.4098407079,1997-11-28
0,JPY,USD,1997-11-27,0.0078864353,1997-11-28
0,GBP,USD,1997-11-27,1.6725204884,1997-11-28
0,PKR,USD,1997-11-27,0.022724176,1997-11-28
0,SAR,USD,1997-11-27,0.2666240139344109,1997-11-28
0,KWD,USD,1997-11-27,3.290557295035546,1997-11-28
0,QAR,USD,1997-11-27,0.27541118513177676,1997-11-28
0,AED,USD,1997-11-27,0.2722792495983881,1997-11-28
0,KRW,USD,1998-02-26,0.000604412,1998-02-27
0,MYR,USD,1998-02-26,0.269273348,1998-02-27
0,HKD,USD,1998-02-26,0.1291739327,1998-02-27
0,TWD,USD,1998-02-26,0.031046281,1998-02-27
0,ILS,USD,1998-02-26,0.27893238,1998-02-27
0,EUR,USD,1998-02-26,1.080231225,1998-02-27
0,PHP,USD,1998-02-26,0.024922118,1998-02-27
0,THB,USD,1998-02-26,0.023337228,1998-02-27
0,USD,USD,1998-02-26,1.0,1998-02-27
0,CLP,USD,1998-02-26,0.002212146,1998-02-27
0,MXN,USD,1998-02-26,0.116931736,1998-02-27
0,ZAR,USD,1998-02-26,0.202110041,1998-02-27
0,EGP,USD,1998-02-26,0.29378945,1998-02-27
0,HUF,USD,1998-02-26,0.004796738,1998-02-27
0,TRY,USD,1998-02-26,4.356634254,1998-02-27
0,IDR,USD,1998-02-26,0.000108401,1998-02-27
0,CNY,USD,1998-02-26,0.120787543,1998-02-27
0,INR,USD,1998-02-26,0.025455015,1998-02-27
0,ARS,USD,1998-02-26,1.00020007,1998-02-27
0,BRL,USD,1998-02-26,0.885426439,1998-02-27
0,PLN,USD,1998-02-26,0.286615199,1998-02-27
0,GRD,USD,1998-02-26,0.0034772933,1998-02-27
0,CZK,USD,1998-02-26,0.029413507,1998-02-27
0,MAD,USD,1998-02-26,0.1020356104,1998-02-27
0,AUD,USD,1998-02-26,0.6726,1998-02-27
0,RUB,USD,1998-02-26,0.165016515,1998-02-27
0,COP,USD,1998-02-26,0.000744879,1998-02-27
0,SGD,USD,1998-02-26,0.6170934897,1998-02-27
0,JOD,USD,1998-02-26,1.4064698202,1998-02-27
0,JPY,USD,1998-02-26,0.0078647267,1998-02-27
0,GBP,USD,1998-02-26,1.6447368421,1998-02-27
0,PKR,USD,1998-02-26,0.022724176,1998-02-27
0,SAR,USD,1998-02-26,0.266631130069651,1998-02-27
0,KWD,USD,1998-02-26,3.278689707068419,1998-02-27
0,QAR,USD,1998-02-26,0.2759764421018244,1998-02-27
0,AED,USD,1998-02-26,0.27225712180388856,1998-02-27
0,KRW,USD,1998-05-28,0.000713267,1998-05-29
0,MYR,USD,1998-05-28,0.258732226,1998-05-29
0,HKD,USD,1998-05-28,0.129090557,1998-05-29
0,TWD,USD,1998-05-28,0.029537738,1998-05-29
0,ILS,USD,1998-05-28,0.273972625,1998-05-29
0,EUR,USD,1998-05-28,1.10153027,1998-05-29
0,PHP,USD,1998-05-28,0.025608202,1998-05-29
0,THB,USD,1998-05-28,0.024937661,1998-05-29
0,USD,USD,1998-05-28,1.0,1998-05-29
0,CLP,USD,1998-05-28,0.002200947,1998-05-29
0,MXN,USD,1998-05-28,0.113960118,1998-05-29
0,ZAR,USD,1998-05-28,0.193442328,1998-05-29
0,EGP,USD,1998-05-28,0.293143394,1998-05-29
0,HUF,USD,1998-05-28,0.004667554,1998-05-29
0,TRY,USD,1998-05-28,3.89241414,1998-05-29
0,IDR,USD,1998-05-28,8.77e-05,1998-05-29
0,CNY,USD,1998-05-28,0.120780253,1998-05-29
0,INR,USD,1998-05-28,0.024157513,1998-05-29
0,ARS,USD,1998-05-28,1.00020007,1998-05-29
0,BRL,USD,1998-05-28,0.869792649,1998-05-29
0,PLN,USD,1998-05-28,0.285592028,1998-05-29
0,GRD,USD,1998-05-28,0.0032773991,1998-05-29
0,CZK,USD,1998-05-28,0.030344421,1998-05-29
0,MAD,USD,1998-05-28,0.1032258065,1998-05-29
0,AUD,USD,1998-05-28,0.6231,1998-05-29
0,RUB,USD,1998-05-28,0.162561982,1998-05-29
0,COP,USD,1998-05-28,0.000715845,1998-05-29
0,SGD,USD,1998-05-28,0.5966587112,1998-05-29
0,JOD,USD,1998-05-28,1.4064698202,1998-05-29
0,JPY,USD,1998-05-28,0.0072155278,1998-05-29
0,GBP,USD,1998-05-28,1.62707452,1998-05-29
0,PKR,USD,1998-05-28,0.022487077,1998-05-29
0,SAR,USD,1998-05-28,0.2666168981790066,1998-05-29
0,KWD,USD,1998-05-28,3.266906666698029,1998-05-29
0,QAR,USD,1998-05-28,0.27436213922504055,1998-05-29
0,AED,USD,1998-05-28,0.27225712180388856,1998-05-29
0,KRW,USD,1998-08-30,0.000748223,1998-08-31
0,MYR,USD,1998-08-30,0.238095244,1998-08-31
0,HKD,USD,1998-08-30,0.1290489095,1998-08-31
0,TWD,USD,1998-08-30,0.028715006,1998-08-31
0,ILS,USD,1998-08-30,0.258825979,1998-08-31
0,EUR,USD,1998-08-30,1.101317474,1998-08-31
0,PHP,USD,1998-08-30,0.022624436,1998-08-31
0,THB,USD,1998-08-30,0.023738872,1998-08-31
0,USD,USD,1998-08-30,1.0,1998-08-31
0,CLP,USD,1998-08-30,0.002109038,1998-08-31
0,MXN,USD,1998-08-30,0.099750623,1998-08-31
0,ZAR,USD,1998-08-30,0.15455952,1998-08-31
0,EGP,USD,1998-08-30,0.291010816,1998-08-31
0,HUF,USD,1998-08-30,0.004447607,1998-08-31
0,TRY,USD,1998-08-30,3.587122489,1998-08-31
0,IDR,USD,1998-08-30,8.93e-05,1998-08-31
0,CNY,USD,1998-08-30,0.12077295,1998-08-31
0,INR,USD,1998-08-30,0.023510057,1998-08-31
0,ARS,USD,1998-08-30,1.0006003903,1998-08-31
0,BRL,USD,1998-08-30,0.850195545,1998-08-31
0,PLN,USD,1998-08-30,0.2628122,1998-08-31
0,GRD,USD,1998-08-30,0.0033115872,1998-08-31
0,CZK,USD,1998-08-30,0.030516194,1998-08-31
0,MAD,USD,1998-08-30,0.1034886007,1998-08-31
0,AUD,USD,1998-08-30,0.5659,1998-08-31
0,RUB,USD,1998-08-30,0.086956522,1998-08-31
0,COP,USD,1998-08-30,0.000693938,1998-08-31
0,SGD,USD,1998-08-30,0.5633802817,1998-08-31
0,JOD,USD,1998-08-30,1.4044944609,1998-08-31
0,JPY,USD,1998-08-30,0.0070611496,1998-08-31
0,GBP,USD,1998-08-30,1.6826518593,1998-08-31
0,PKR,USD,1998-08-30,0.019977028,1998-08-31
0,SAR,USD,1998-08-30,0.2662053576277312,1998-08-31
0,KWD,USD,1998-08-30,3.252033683654326,1998-08-31
0,QAR,USD,1998-08-30,0.275383135551402,1998-08-31
0,AED,USD,1998-08-30,0.27223479009254836,1998-08-31
0,KRW,USD,1998-11-29,0.000804829,1998-11-30
0,MYR,USD,1998-11-29,0.184162117,1998-11-30
0,HKD,USD,1998-11-29,0.1291655903,1998-11-30
0,TWD,USD,1998-11-29,0.030845158,1998-11-30
0,ILS,USD,1998-11-29,0.237569294,1998-11-30
0,EUR,USD,1998-11-29,1.144873284,1998-11-30
0,PHP,USD,1998-11-29,0.025380724,1998-11-30
0,THB,USD,1998-11-29,0.027677838,1998-11-30
0,USD,USD,1998-11-29,1.0,1998-11-30
0,CLP,USD,1998-11-29,0.002141557,1998-11-30
0,MXN,USD,1998-11-29,0.100290845,1998-11-30
0,ZAR,USD,1998-11-29,0.175361702,1998-11-30
0,EGP,USD,1998-11-29,0.293255141,1998-11-30
0,HUF,USD,1998-11-29,0.004523045,1998-11-30
0,TRY,USD,1998-11-29,3.284719809,1998-11-30
0,IDR,USD,1998-11-29,0.000136054,1998-11-30
