,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
175289,2023-12-18,2034,TW064Z,TW0003062006,CyberTAN,TW,TWD,15101010.0,1.0,232623564.0,0.00013935498858985725
177245,2023-12-18,2034,TH109K,TH8798010006,NORTH EAST RUBBERS,TH,THB,40101015.0,0.6743738,121075981.0,0.00013910622577357508
177281,2023-12-18,2034,TH10R2,THA054010006,SAKSIAM LEASING,TH,THB,30201020.0,1.0,62507251.0,0.00013858263861382526
175291,2023-12-18,2034,TW042V,TW0002485000,Zinwell Corp,TW,TWD,15101010.0,1.0,226837247.0,0.00013816687085220603
176621,2023-12-18,2034,MY222Q,MYL2852OO001,CAHYA MATA SARAWAK,MY,MYR,50101030.0,1.0,143070629.0,0.00013805408974994424
175321,2023-12-18,2034,TW0762,TW0005203004,CYBERLINK,TW,TWD,10101015.0,1.0,175581402.0,0.00013791295148343654
177263,2023-12-18,2034,TH12S5,TH8127010008,TRIPLE I LOGISTICS,TH,THB,50206040.0,0.4738267,83547928.0,0.00013748273593605433
176606,2023-12-18,2034,MY10K5,MYL4758OO008,ANCOM NYLEX,MY,MYR,55201020.0,1.0,189734900.0,0.0001369884243056514
177341,2023-12-18,2034,434777,GRS096003009,FOURLIS HLDG,GR,EUR,40401010.0,1.0,189012909.0,0.00013589927007267474
175303,2023-12-18,2034,TW12UM,TW0001701001,China Chem Pharm,TW,TWD,20103015.0,1.0,203253499.0,0.00013568163999215315
175311,2023-12-18,2034,TW11TK,TW0001447001,Li Peng Ent,TW,TWD,55101020.0,1.0,186703350.0,0.00013566356400667066
175300,2023-12-18,2034,TW13SL,TW0002478005,TA-I TECHNOLOGY,TW,TWD,10102015.0,1.0,211061095.0,0.00013549272682531903
175292,2023-12-18,2034,TW12C4,TW0002538006,Kee Tai,TW,TWD,35101010.0,1.0,225516999.0,0.00013533912125089854
175306,2023-12-18,2034,TW19ZY,TW0002420007,ZIPPY TECHNOLOGY,TW,TWD,50202010.0,1.0,193597929.0,0.0001350280631811057
175294,2023-12-18,2034,TW1AUU,TW0003138004,AUDEN TECHNO,TW,TWD,15101010.0,1.0,222492619.0,0.000134287021046147
176656,2023-12-18,2034,MY109U,MYL5293OO005,AME ELITE CONSORTIUM,MY,MYR,50101010.0,1.0,93573214.0,0.0001321942023964446
176613,2023-12-18,2034,MY308V,MYL7022OO006,GLOBETRONICS TECHNOLOGY,MY,MYR,10102010.0,1.0,163806961.0,0.00013217451089741065
175337,2023-12-18,2034,TW503X,TW0002228004,IRON FORCE INDUSTRIAL,TW,TWD,40101025.0,1.0,149589796.0,0.00013211040944460285
174996,2023-12-18,2034,CN2517,CNE000000941,SHANGHAI JINQIAO EX PR.Z.D.'B',CN,USD,35101010.0,1.0,214474838.0,0.00013193583605219673
175299,2023-12-18,2034,TW15OJ,TW0002464005,Mirle Auto,TW,TWD,50204000.0,1.0,213128071.0,0.00013188241752391523
175327,2023-12-18,2034,TW11MD,TW0002505005,Kuo Yang Const,TW,TWD,35101010.0,1.0,168061113.0,0.00013165312184302723
176661,2023-12-18,2034,MY24OE,MYL5302OO004,AURELIUS TECHNOLOGIES,MY,MYR,10102015.0,1.0,88226589.0,0.00013143696850933376
175307,2023-12-18,2034,TW02F6,TW0002107000,Formosan Rubber,TW,TWD,50203015.0,1.0,193510171.0,0.00013119728982290284
175290,2023-12-18,2034,TW16GC,TW0001558005,ZENG HSING INDUSTRIAL,TW,TWD,40202025.0,1.0,229568673.0,0.00012997201021106112
177287,2023-12-18,2034,TH20DP,TH0409010Z03,LANNA RESOURCES,TH,THB,60101040.0,0.509684,55504003.0,0.0001288802825523946
174952,2023-12-18,2034,IN70HT,INE384A01010,RANE HOLDINGS,IN,INR,40101025.0,1.0,146715845.0,0.0001288704688121883
175295,2023-12-18,2034,TW04HA,TW0002601002,FIRST STEAMSHIP,TW,TWD,50206030.0,1.0,221224644.0,0.00012843472200923752
