,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB,Mcap_Units_Index_Currency,InfoCode,shares_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Source
50784,2023-12-18,1148,CN91T2,US88557W1018,BFMV9Y2,QIFU TECHNOLOGY ADR,CN,USD,30201020.0,2031781070.0,314059.0,160901509.0,0.8609,0.8763,1.0,2199568680.45252,2510063540.4,0.8763,MID Cap Index
51110,2023-12-18,1148,CN2N9X,CNE000001DG5,BTFRHD0,Gaochun Ceram 'A' (CCS),CN,CNY,50201020.0,141145213.0,310776.0,1241857840.0,0.3781,0.3781,0.1586882,150362031.44296193,2506033505.702664,0.06000000842,MID Cap Index
51470,2023-12-18,1148,CN2CR4,HK0000658531,BNHQ5S4,SIMCERE PHARMACEUTICAL GROUP,CN,HKD,20103015.0,898193674.0,331070.0,2664045618.0,0.3984,0.4082,1.0,1021983616.5430759,2503634533.422528,0.4082,MID Cap Index
51222,2023-12-18,1148,CN75R2,CNE000001642,BDC41N0,CHINA PETROLEUM ENGINEERING A (CCS),CN,CNY,60101030.0,133187329.0,362054.0,5583147471.0,0.278,0.278,0.2,138866909.3269967,2497606282.859653,0.05560000000000001,MID Cap Index
51115,2023-12-18,1148,CN2KH2,CNE000000Q29,BP3R8X1,CHINA MEHECO GROUP 'A' (CCS),CN,CNY,20103015.0,142708052.0,309709.0,1495879748.0,0.4863,0.4863,0.1233806,149400738.69198757,2490012901.666184,0.05999998578000001,MID Cap Index
51230,2023-12-18,1148,CN4CCR,CNE100005857,BLC7SD4,SHENZHEN KTC TECHNOLOGY 'A' (CCS),CN,CNY,10102030.0,124603623.0,359979.0,680203875.0,0.2512,0.254,0.2,126327540.55338445,2486762609.3185916,0.050800000000000005,MID Cap Index
51492,2023-12-18,1148,CN91LU,HK0000056256,6971779,CHINA TRADITIONAL CHI MEDICINE,CN,HKD,20103015.0,1424287344.0,26497.0,5035801852.0,0.5554,0.5554,1.0,1378695805.372354,2482347506.9721894,0.5554,MID Cap Index
51150,2023-12-18,1148,CN33RW,CNE0000014Z0,BFY8G62,SICHUAN NEW ENERGY POWER 'A' (CCS),CN,CNY,60102020.0,157194470.0,310016.0,1475926818.0,0.541,0.541,0.1109057,148401420.3599752,2473357677.9284225,0.0599999837,MID Cap Index
51129,2023-12-18,1148,CN2Y21,CNE000000XP6,BD5CL31,ANHUI ZHONGDING SEALING PART A (CCS),CN,CNY,40101025.0,136004955.0,311169.0,1316489747.0,0.5954,0.5954,0.1007726,148321308.46833423,2472021558.9554,0.060000006040000005,MID Cap Index
51107,2023-12-18,1148,CN36EM,CNE000001BG9,BMVB2W1,Pharm Glass 'A' (CCS),CN,CNY,20102015.0,140464097.0,326646.0,663614113.0,0.805,0.805,0.0745342,148079453.82923955,2467989622.026021,0.060000031,MID Cap Index
51227,2023-12-18,1148,CN95DQ,CNE100004P08,BQWR9T2,ZHEJIANG PUBLISHIN 'A' (CCS),CN,CNY,40301030.0,123961497.0,364884.0,2222222223.0,0.2305,0.2305,0.2,113349500.551503,2458774415.433904,0.0461,MID Cap Index
51125,2023-12-18,1148,CN2SJC,CNE100001JZ1,BD5CHY4,HEFEI MEIYA OT.TECH.'A' (CCS),CN,CNY,50202025.0,135105189.0,310781.0,882392700.0,0.3909,0.3909,0.1534919,147376332.9088115,2456272882.024946,0.059999983709999996,MID Cap Index
51108,2023-12-18,1148,CN2FK0,CNE1000023Q8,BYZW4H3,LBX PHMCY.CHAIN 'A' (CCS),CN,CNY,45201015.0,140653053.0,311264.0,585194076.0,0.5181,0.5181,0.1158078,147321831.65484363,2455362994.1709237,0.06000002118,MID Cap Index
51048,2023-12-18,1148,CN2WPM,CNE100005154,BP91NB0,QILU BANK 'A' (CCS),CN,CNY,30101010.0,68899977.0,349034.0,4580948442.0,0.7157,0.7157,0.0383324,67324012.39085983,2453990983.255679,0.027434498680000002,MID Cap Index
51472,2023-12-18,1148,CN2CU7,KYG2006G1156,BMD9CV2,CENTRAL NEW ENERGY HOLDING GROUP,CN,HKD,50101015.0,827897203.0,305230.0,1056000000.0,0.3157,0.3157,1.0,774299535.8770854,2452643445.9204483,0.3157,MID Cap Index
51117,2023-12-18,1148,CN2QZQ,CNE1000020C4,BD5CM38,CHENGDU KANGHONG PHARM. 'A' (CCS),CN,CNY,20103015.0,143952699.0,310339.0,919463954.0,0.3692,0.3692,0.1625135,146218338.3519184,2436972947.6015162,0.059999984199999995,MID Cap Index
51134,2023-12-18,1148,CN395G,CNE100004BQ1,BQ3RWS1,CHINA NAT. GOLD GRP JEWEL 'A' (CCS),CN,CNY,40204030.0,138931815.0,355412.0,1680000000.0,0.499,0.499,0.1202405,144607370.95228827,2410122467.602081,0.0600000095,MID Cap Index
51131,2023-12-18,1148,CN2HHZ,CNE000000GH8,BD5LVS3,Fenghua Adv 'A' (CCS),CN,CNY,50202010.0,136271501.0,310235.0,1157013211.0,0.7002,0.7681,0.0781148,144567295.87502468,2409455819.5364566,0.05999997788,MID Cap Index
51217,2023-12-18,1148,CN2VHD,CNE100002XN6,BK947T0,CHINA KINGS RESOURCES GP.'A' (CCS),CN,CNY,55102000.0,130727293.0,319409.0,607338017.0,0.4945,0.494,0.1214575,144464705.99093363,2407744899.203486,0.060000004999999995,MID Cap Index
51443,2023-12-18,1148,635425,BMG2442N1048,6354251,COSCO SHIPPING PORTS,CN,HKD,50206060.0,971235524.0,2451.0,3500810248.0,0.4099,0.3897,1.0,938007863.6988443,2406999906.848459,0.3897,MID Cap Index
51128,2023-12-18,1148,CN35OV,CNE100004355,BQ3RWY7,SHAI.HUAFON ACP.'A' (CCS),CN,CNY,55102035.0,139866730.0,355423.0,998530600.0,0.3284,0.3284,0.182704,144089025.01266402,2401484006.3693604,0.05999999360000001,MID Cap Index
51162,2023-12-18,1148,CN33V0,CNE100003670,BFY8GP1,FORYOU 'A' (CCS),CN,CNY,50202010.0,150106788.0,311501.0,477305800.0,0.3705,0.4304,0.1394052,144016558.75320265,2400276056.0288777,0.059999998080000005,MID Cap Index
51467,2023-12-18,1148,CN2CAN,CNE100004QP1,BMX6SZ9,SHANGHAI MICROPORT MEDBOT 'H',CN,HKD,20102010.0,707737625.0,345985.0,951994240.0,0.2442,0.3023,1.0,725154886.9631771,2398792216.2195735,0.3023,MID Cap Index
51454,2023-12-18,1148,BM1075,BMG4404N1149,BMDMJ87,CHINA RUYI HOLDINGS,CN,HKD,40301010.0,1233601492.0,45622.0,10698397545.0,0.6318,0.4586,1.0,1099319792.3327324,2397121221.8332586,0.4586,MID Cap Index
51154,2023-12-18,1148,CN2KCX,CNE000000B83,BP3R7J0,Sh Tunnel Eng 'A' (CCS),CN,CNY,50101010.0,147594127.0,309616.0,3144096094.0,0.6212,0.6212,0.0965873,143648570.8366461,2394141619.8808317,0.060000030759999996,MID Cap Index
51113,2023-12-18,1148,CN2URM,CNE0000004H9,BD5CMQ1,Northeast Secs 'A' (CCS),CN,CNY,30202015.0,140387426.0,310502.0,2340452915.0,0.5739,0.574,0.1045296,143362862.7168389,2389381427.581677,0.059999990399999995,MID Cap Index
51221,2023-12-18,1148,CN2G0H,CNE000001PP0,BD5CB97,XINJIANG ZHONGTAI CHEMICAL 'A' (CCS),CN,CNY,55201000.0,133132204.0,310403.0,2590019517.0,0.7596,0.754,0.0795756,142959275.88032195,2382654502.699186,0.060000002399999995,MID Cap Index
51474,2023-12-18,1148,CN887M,BMG653181005,B0WC2B8,NINE DRAGONS PAPER HDG.,CN,HKD,55101015.0,843898610.0,29254.0,4692220811.0,0.3623,0.3623,1.0,857583098.7521026,2367052439.2826457,0.3623,MID Cap Index
51136,2023-12-18,1148,CN2I6P,CNE1000010M4,BP3R5N0,BBMG 'A' (CCS),CN,CNY,50101030.0,136098991.0,310047.0,8339006264.0,0.4247,0.4247,0.1412762,141733049.44757852,2362217406.5405545,0.06000000214,MID Cap Index
51174,2023-12-18,1148,CN96AO,CNE100000B65,BD57ZV2,HONGBO 'A' (CCS),CN,CNY,50205030.0,133320059.0,310545.0,498344263.0,0.7799,0.7817,0.0767558,141558975.6443885,2359315912.3474917,0.060000008859999995,MID Cap Index
51173,2023-12-18,1148,CN2QXO,CNE000000FS7,BD5CLW0,Zhongjin 'A' (CCS),CN,CNY,55102050.0,133949073.0,310004.0,3737544918.0,0.651,0.651,0.0921659,141515622.88955104,2358593679.4469457,0.060000000899999996,MID Cap Index
51133,2023-12-18,1148,CN3226,CNE000000D24,BD5LTX4,INNER MONGOLIA XINGYE SILVER TIN MINING.'A' (CCS),CN,CNY,55102000.0,138948249.0,310171.0,1837192219.0,0.5717,0.639,0.0938967,141288292.43403244,2354805215.347297,0.0599999913,MID Cap Index
51214,2023-12-18,1148,CN309B,CNE100001X35,BFCCQJ9,NANJING ESTUN ATMTN.'A' (CCS),CN,CNY,50204000.0,130502573.0,310468.0,869531453.0,0.5804,0.5804,0.103377,141058041.63678777,2350966937.4390807,0.0600000108,MID Cap Index
51109,2023-12-18,1148,CN33QV,CNE100002QJ8,BFCCQP5,CHOW TAI SENG JEWELLERY 'A' (CCS),CN,CNY,40204030.0,141062530.0,310757.0,1095926265.0,0.3724,0.3724,0.1611171,140991952.6339063,2349865562.3497863,0.060000008040000004,MID Cap Index
51132,2023-12-18,1148,CN7D2L,CNE0000017Z3,BP3RD47,China Railway 'A' (CCS),CN,CNY,50206025.0,137553944.0,309697.0,2221551588.0,0.5088,0.5087,0.1179477,140752717.63436386,2345878823.1202793,0.059999994990000007,MID Cap Index
51186,2023-12-18,1148,CN37PY,CNE100002W27,BK94819,JOINN LABORATORIES CHINA 'A' (CCS),CN,CNY,20103010.0,122657688.0,319399.0,630893493.0,0.6166,0.6166,0.0973078,140512629.00585827,2341877560.7068367,0.05999998948,MID Cap Index
51122,2023-12-18,1148,CN2QI9,CNE000000HN4,BD5CJV5,XINGRONG ENVIRONMENT 'A' (CCS),CN,CNY,65102030.0,140403347.0,310224.0,2985566321.0,0.4557,0.4557,0.1316656,139671263.39903176,2327853849.9217696,0.06000001392,MID Cap Index
51127,2023-12-18,1148,CN2R0S,CNE100001104,BD5CM83,ZHEJIANG SEMIR GRMT.A (CCS),CN,CNY,40204020.0,135761890.0,311442.0,2694090160.0,0.341,0.341,0.1759531,139636300.91850188,2327271406.5812483,0.0600000071,MID Cap Index
51055,2023-12-18,1148,CN33UZ,CNE1000032W7,BFY8GN9,DOUBLE MEDICAL TECHNOLOGY 'A' (CCS),CN,CNY,20102010.0,72628364.0,310984.0,414019506.0,0.1478,0.1678,0.2,77997833.72471997,2324130921.475565,0.03356,MID Cap Index
51124,2023-12-18,1148,CN95FS,CNE100005Z88,BNC3K41,SHENZHEN CECPORT TECHNOLOGIES 'A' (CCS),CN,CNY,10102010.0,135081165.0,364265.0,759900097.0,0.3706,0.3706,0.1618996,139385751.25531656,2323096173.293817,0.059999991759999996,MID Cap Index
51226,2023-12-18,1148,CN2F1H,CNE000000B00,BP3RGN7,WUXI TAIJI IND. 'A' (CCS),CN,CNY,50101015.0,126867265.0,309794.0,2106190178.0,0.6958,0.6958,0.0862317,138760198.83865172,2312669330.7841134,0.06000001685999999,MID Cap Index
51187,2023-12-18,1148,CN38BL,CNE100000Z75,BMTCVM9,ANHUI HONGLU STL.CON. GP 'A' (CCS),CN,CNY,55102010.0,122657609.0,326652.0,690011220.0,0.5303,0.5303,0.1131435,138642348.78263828,2310705888.141913,0.059999998049999996,MID Cap Index
51486,2023-12-18,1148,CN8FVH,KYG8875G1029,BY9D3L9,3SBIO,CN,HKD,20103010.0,1751723284.0,283521.0,2438920412.0,0.8045,0.8045,1.0,1846478401.814188,2295187572.174255,0.8045,MID Cap Index
51238,2023-12-18,1148,CN2IQ9,CNE000001BJ3,BP3RC62,WOLONG ELECTRIC DRIVE GRP 'A' (CCS),CN,CNY,50202010.0,126417044.0,309914.0,1311366126.0,0.6776,0.6776,0.0885478,137482484.60249752,2291375152.7673197,0.05999998927999999,MID Cap Index
51183,2023-12-18,1148,CN4BM0,CNE000001DW2,BP3RBQ5,SHUANGLIANG ECO-ENERGY SYS. A (CCS),CN,CNY,50204000.0,122122538.0,309853.0,1870661251.0,0.5693,0.5633,0.1065152,137408920.6738773,2290148213.7612505,0.060000012160000005,MID Cap Index
51240,2023-12-18,1148,CN35MT,CNE100000VV7,BQ3RQ89,DAJIN HEAVY INDUSTRY 'A' (CCS),CN,CNY,60102020.0,126619567.0,355456.0,637749349.0,0.6189,0.6107,0.0982479,137371101.7665933,2289518647.8216267,0.059999992530000004,MID Cap Index
51218,2023-12-18,1148,CN2J9T,CNE0000008P3,BS7K3V0,SHANGHAI WANYE ENTS. 'A' (CCS),CN,CNY,35101010.0,131295271.0,310715.0,930629920.0,0.6216,0.6277,0.0955871,137188189.06313685,2286468953.814761,0.06000002267,MID Cap Index
51202,2023-12-18,1148,CN34RX,CNE100002W68,BKM3FC3,CHINA PUBLISHING & MEDIA HDG A (CCS),CN,CNY,40301030.0,117775891.0,322482.0,1903968054.0,0.2396,0.2293,0.2,104692125.77081156,2282863623.4367976,0.045860000000000005,MID Cap Index
