,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight,SEDOL
33403,2023-12-18,2034,KW260O,KW0EQ0607022,BOURSA KUWAIT SECURITIES COMPA,KW,KWD,30202015.0,1.0,556888884.0,0.00040295842919536374,BL5GYK7
33404,2023-12-18,2034,TW03SK,TW0002441003,Greatek Eltrs,TW,TWD,10102010.0,1.0,653626772.0,0.0004729568588859751,6293989
33405,2023-12-18,2034,IN203A,INE548A01028,HFCL,IN,INR,15101010.0,1.0,860912261.0,0.0006229462686987105,6208411
33406,2023-12-18,2034,BR70AJ,BRTAEEACNPR6,TSMS.ALIANCA ENELA. PN,BR,BRL,65101015.0,1.0,1112945752.0,0.0008053148211260989,B1GB4Z6
33407,2023-12-18,2034,TW1987,TW0004961008,FITIPOWER INTEGRATED TECH.,TW,TWD,10102010.0,1.0,822889248.0,0.0005954332512333539,B61YST7
33408,2023-12-18,2034,KR04CR,KR7018670000,SK Gas,KR,KRW,65102020.0,1.0,303829641.0,0.0002198476543488544,6036021
33409,2023-12-18,2034,CN1OSG,CNE1000048G6,REMEGEN 'H',CN,HKD,20103010.0,1.0,763850874.0,0.0005527137588304702,BMC6XV1
33410,2023-12-18,2034,SA23Z6,SA15J1S23H17,RETAL URBAN DEVELOPMENT,SA,SAR,35101010.0,1.0,372867362.0,0.000269802559912004,BMF4WT3
33411,2023-12-18,2034,TW05JD,TW0002903002,Far East Dept,TW,TWD,40401010.0,1.0,711971318.0,0.0005151743052810384,6331373
33412,2023-12-18,2034,MY22XL,MYL1171OO007,MALAYSIA BUILDING SOC.,MY,MYR,30101010.0,1.0,367637091.0,0.0002660179956174399,6556789
33413,2023-12-18,2034,412162,TRABTCIM91F5,BATICIM BATI ADCT.SYI.,TR,TRY,50101030.0,1.0,384603811.0,0.0002782949202180709,B03MPQ3
33414,2023-12-18,2034,KR10GS,KR7108320003,LX SEMICON,KR,KRW,10102010.0,1.0,723618299.0,0.0005236019275652503,B53YZC0
33415,2023-12-18,2034,IN07MY,INE870H01013,Network 18 Media,IN,INR,40301035.0,1.0,312373126.0,0.00022602962241172233,B1JRSG0
