Version,Count,NotInV20,"In V20, not in New Version",Indian Securities,Indian Securities Weight EOM,OneWayTurnover
V1,2034,15,8,1,0.24483483311780252,0.006955737940679483
V2,1822,27,232,220,0.13858526579754624,0.129745244458367
V3,2054,35,8,1,0.24468375446288118,0.013536641101395377
V4,2034,239,232,1,0.24418554413236615,0.03867943852648181
V5,1927,193,293,1,0.248196685190247,0.03507084273372701
