Date;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Open_Quotation;Index_Settlement_Value;Index_Value_high;Index_Value_low;Index_Close;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Internal_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;648003;SG1H97877952;6205133;SCMN.SI;;SembCorp Marine Ltd.;SG;SGD;SingaporeExchange;573;2089760107;0.393;1;;;3.71;0.6179134;3046932929;1882740674;0.95848
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH20T5;TH0528010Z00;6418920;DELTA.BK;;DELTA ELECTRONICS;TH;THB;TheStockExchangeof;2733;1247380000;0.9446;1;;;61.25;0.0243326;72169352815;1756068053;0.89399
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;ID0094;ID1000058407;6230845;UNTR.JK;;United Tractors Tbk PT;ID;IDR;IndonesiaStockExcha;2753;3730134818;0.405;1;;;17250;0.0000654;2.60597E+13;1704301396;0.86764
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH00MW;TH0143010Z08;6581907;LH.BK;;Land and Houses PCL;TH;THB;TheStockExchangeof;3728;10798197212;0.5775;1;;;9.65;0.0243326;60177003289;1464263013;0.74544
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;PS042;SG1U76934819;B1VT035;YAZG.SI;;YANGZIJIANG SHIPBUILDING;SG;SGD;SingaporeExchange;2753;3837077000;0.5547;1;;;1.11;0.6179134;2362553539;1459853546;0.74319
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;685346;SG1R31002210;6853468;KLAN.SI;;Keppel Land Ltd.;SG;SGD;SingaporeExchange;8633;1545913168;0.4535;1;;;3.21;0.6179134;2250439907;1390576964;0.70793
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;PH04JT;PHY2088F1004;6272483;DMC.PS;;DMCI Holdings Inc;PH;PHP;ThePhilippineStock;1771;13277470000;0.3686;1;;;15.02;0.0175587;73509013139;1290722836;0.65709
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;MY244U;MYL2488OO004;6556938;ALFG.KL;;ALLIANCE FINANCIAL GP.;MY;MYR;BursaMalaysia;8355;1548106000;0.7094;1;;;4.82;0.2407522;5293451229;1274410025;0.64879
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;PH047H;PHY0005M1090;B1Z9Q99;AP.PS;;Aboitiz Power Corp;PH;PHP;ThePhilippineStock;7537;7358604000;0.2317;1;;;39.95;0.0175587;68114292453;1195998487;0.60887
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH207J;TH0465010005;6304632;EGCO.BK;;ELECTRICITY GENERATING;TH;THB;TheStockExchangeof;7535;526464900;0.5065;1;;;169.5;0.0243326;45197933004;1099783225;0.55989
