,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight,Mcap_Units_Index_Currency_Open,SEDOL
32751,2023-12-18,2027,BR906H,BRALOSACNOR5,ALLOS,BR,BRL,35101010.0,0.0018325385818692415,2534280479.0,BMHVKZ4
32752,2023-12-18,2027,IN30EM,INE031B01049,AJANTA PHARMA,IN,INR,20103015.0,0.0007529725103929058,1041311519.0,BWFGD74
32753,2023-12-18,2027,QA20MO,QA0007227695,QATAR NAVIGATION,QA,QAR,50206030.0,0.0019298274393668236,2668824578.0,6148205
32754,2023-12-18,2027,KR22S7,KR7403870009,HPSP,KR,KRW,10102020.0,0.000847518906464104,1172062974.0,BPDWY61
32755,2023-12-18,2027,IN0B9P,INE256A01028,Zee Entrtainment,IN,INR,40301035.0,0.0022021224770389187,3045390728.0,6188535
32756,2023-12-18,2027,IN041A,INE302A01020,Exide Industries,IN,INR,50205010.0,0.001181706363313343,1634222274.0,B1D3ZC9
32757,2023-12-18,2027,IN025C,INE462A01022,BayerCrop,IN,INR,55201015.0,0.0006781059189270714,937775941.0,6716992
32758,2023-12-18,2027,QA20UW,QA000A0KD6J5,BARWA REAL ESTATE,QA,QAR,35101010.0,0.0011561171992092935,1598834141.0,B0YTG26
32759,2023-12-18,2027,MX109T,US92837L1098,VISTA ENERGY ADR,MX,USD,60101010.0,0.0018563353419651354,2567189835.0,BJ84772
32760,2023-12-18,2027,MX302O,MXP001391012,ALSEA,MX,MXN,40501040.0,0.0013090173901244865,1810285061.0,2563017
32761,2023-12-18,2027,BR10X0,BRGMATACNOR7,GRUPO MATEUS ON,BR,BRL,40401010.0,0.00045235782028257864,625581150.0,BN7JD67
32762,2023-12-18,2027,MX204P,MX01R0000006,REGIONAL S.A.B. DE C.V.,MX,MXN,30101010.0,0.0008928363684385423,1234734047.0,BG1Z6X0
32763,2023-12-18,2027,IN07NZ,INE589A01014,NLC INDIA,IN,INR,65101015.0,0.0005186425789632793,717248617.0,6374895
32764,2023-12-18,2027,IN07GS,INE331A01037,RAMCO CEMENTS,IN,INR,50101030.0,0.0011811884052332698,1633505972.0,6698153
32765,2023-12-18,2027,IN70O0,INE913H01037,ENDURANCE TECHNOLOGIES,IN,INR,40101025.0,0.0005333971098579097,737653164.0,BYZ02R3
