,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB
51443,2023-12-18,1148,635425,BMG2442N1048,6354251,COSCO SHIPPING PORTS,CN,HKD,50206060.0
51128,2023-12-18,1148,CN35OV,CNE100004355,BQ3RWY7,SHAI.HUAFON ACP.'A' (CCS),CN,CNY,55102035.0
51162,2023-12-18,1148,CN33V0,CNE100003670,BFY8GP1,FORYOU 'A' (CCS),CN,CNY,50202010.0
51467,2023-12-18,1148,CN2CAN,CNE100004QP1,BMX6SZ9,SHANGHAI MICROPORT MEDBOT 'H',CN,HKD,20102010.0
51454,2023-12-18,1148,BM1075,BMG4404N1149,BMDMJ87,CHINA RUYI HOLDINGS,CN,HKD,40301010.0
51154,2023-12-18,1148,CN2KCX,CNE000000B83,BP3R7J0,Sh Tunnel Eng 'A' (CCS),CN,CNY,50101010.0
51113,2023-12-18,1148,CN2URM,CNE0000004H9,BD5CMQ1,Northeast Secs 'A' (CCS),CN,CNY,30202015.0
51221,2023-12-18,1148,CN2G0H,CNE000001PP0,BD5CB97,XINJIANG ZHONGTAI CHEMICAL 'A' (CCS),CN,CNY,55201000.0
51474,2023-12-18,1148,CN887M,BMG653181005,B0WC2B8,NINE DRAGONS PAPER HDG.,CN,HKD,55101015.0
51136,2023-12-18,1148,CN2I6P,CNE1000010M4,BP3R5N0,BBMG 'A' (CCS),CN,CNY,50101030.0
51174,2023-12-18,1148,CN96AO,CNE100000B65,BD57ZV2,HONGBO 'A' (CCS),CN,CNY,50205030.0
51173,2023-12-18,1148,CN2QXO,CNE000000FS7,BD5CLW0,Zhongjin 'A' (CCS),CN,CNY,55102050.0
51133,2023-12-18,1148,CN3226,CNE000000D24,BD5LTX4,INNER MONGOLIA XINGYE SILVER TIN MINING.'A' (CCS),CN,CNY,55102000.0
51214,2023-12-18,1148,CN309B,CNE100001X35,BFCCQJ9,NANJING ESTUN ATMTN.'A' (CCS),CN,CNY,50204000.0
51109,2023-12-18,1148,CN33QV,CNE100002QJ8,BFCCQP5,CHOW TAI SENG JEWELLERY 'A' (CCS),CN,CNY,40204030.0
51132,2023-12-18,1148,CN7D2L,CNE0000017Z3,BP3RD47,China Railway 'A' (CCS),CN,CNY,50206025.0
51186,2023-12-18,1148,CN37PY,CNE100002W27,BK94819,JOINN LABORATORIES CHINA 'A' (CCS),CN,CNY,20103010.0
51122,2023-12-18,1148,CN2QI9,CNE000000HN4,BD5CJV5,XINGRONG ENVIRONMENT 'A' (CCS),CN,CNY,65102030.0
51127,2023-12-18,1148,CN2R0S,CNE100001104,BD5CM83,ZHEJIANG SEMIR GRMT.A (CCS),CN,CNY,40204020.0
51055,2023-12-18,1148,CN33UZ,CNE1000032W7,BFY8GN9,DOUBLE MEDICAL TECHNOLOGY 'A' (CCS),CN,CNY,20102010.0
51124,2023-12-18,1148,CN95FS,CNE100005Z88,BNC3K41,SHENZHEN CECPORT TECHNOLOGIES 'A' (CCS),CN,CNY,10102010.0
51226,2023-12-18,1148,CN2F1H,CNE000000B00,BP3RGN7,WUXI TAIJI IND. 'A' (CCS),CN,CNY,50101015.0
51187,2023-12-18,1148,CN38BL,CNE100000Z75,BMTCVM9,ANHUI HONGLU STL.CON. GP 'A' (CCS),CN,CNY,55102010.0
