,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight
173781,2023-12-18,2027,EG20YU,EGS38381C017,EGYPTIAN FINL.& INDL.,EG,EGP,55201015,7.729164432516775e-05
177362,2023-12-18,2027,MY011M,MYL6483OO001,KENANGA INVESTMENT BANK,MY,MYR,30202015,7.685105477522686e-05
177608,2023-12-18,2027,ID80FI,ID1000119902,SURYA SEMESTA INTERNUSA,ID,IDR,50101010,7.677869057273316e-05
177082,2023-12-18,2027,BR167G,BRCASHACNOR8,MELIUZ ON,BR,BRL,10101020,7.6310958781155e-05
176914,2023-12-18,2027,ET016,TRAYASAS91E0,DYO BOYA FKI.SANVETC.,TR,TRY,50203010,7.609216123964843e-05
177202,2023-12-18,2027,PL907Q,PLPKBEX00072,PEKABEX,PL,PLN,50101035,7.548629887113611e-05
177520,2023-12-18,2027,CN1SD5,US44975P1030,I MAB ADR,CN,USD,20103010,7.52020206626544e-05
175216,2023-12-18,2027,TH22M0,TH0305B10Z04,NUSASIRI,TH,THB,35101010,7.51079120781584e-05
173785,2023-12-18,2027,EG20IE,EGS02051C018,CAIRO POULTRY,EG,EGP,45102010,7.496135288806526e-05
176812,2023-12-18,2027,TR802U,TRAKLBMO91C0,Doganlar Mobilya Grubu Imalat,TR,TRY,40202015,7.428997847344624e-05
176890,2023-12-18,2027,599914,TRAAKENR91L9,AKENERJI ELEKTRIK URETIM,TR,TRY,65101015,7.41728990693123e-05
173767,2023-12-18,2027,EG101W,EGS73541C012,QALA FOR FINANCIAL INVESTMENTS,EG,EGP,30202010,7.398360090364012e-05
177458,2023-12-18,2027,MY23RG,MYL6556OO004,ANN JOO RESOURCES,MY,MYR,55102010,7.389149812716198e-05
177132,2023-12-18,2027,PL10MX,PLANSWR00019,ANSWEAR COM,PL,PLN,40401020,7.367788493262618e-05
177337,2023-12-18,2027,MY24SI,MYL7246OO001,SIGN,MY,MYR,40202015,7.363316613649469e-05
175289,2023-12-18,2027,TH21DQ,TH0374010Z09,SAMART,TH,THB,15101010,7.339492604058114e-05
177158,2023-12-18,2027,PL50BQ,PLTORPL00016,TORPOL,PL,PLN,50101010,7.300097315568363e-05
176435,2023-12-18,2027,CN2D8M,KYG5322R1039,KWG LIVING GROUP HOLDINGS,CN,HKD,35101015,7.268020130263216e-05
177240,2023-12-18,2027,PL11R3,PLVOTUM00016,VOTUM SA,PL,PLN,30202000,7.24520087448997e-05
177172,2023-12-18,2027,561831,PLAGORA00067,AGORA,PL,PLN,40301030,7.216458851326267e-05
176830,2023-12-18,2027,TR10TE,TRADARDL91A3,DARDANEL,TR,TRY,45102020,7.135609783116534e-05
175274,2023-12-18,2027,TH51BR,TH0154010Y06,TIPCO FOODS,TH,THB,45101020,7.13311302080306e-05
177238,2023-12-18,2027,PL308L,PLSCPFL00018,SCOPE FLUIDICS,PL,PLN,20103010,7.104284323668506e-05
176864,2023-12-18,2027,TR00FZ,TRAALCTL91H9,ALCATEL LUCENT TLT.TKS.,TR,TRY,15101010,7.001709825398723e-05
177187,2023-12-18,2027,PL20BN,PLWTCHN00030,WITTCHEN,PL,PLN,40401020,6.91176022439263e-05
176883,2023-12-18,2027,TR215S,TRENTGZ00014,NATURELGAZ SANAYI VE TICARET,TR,TRY,65102020,6.889944957720587e-05
173760,2023-12-18,2027,EG5010,EGS3C0O1C016,ARABIAN CEMENT,EG,EGP,50101030,6.854743084322712e-05
175239,2023-12-18,2027,TH519P,TH0890A10Z06,TRC CONSTRUCTION,TH,THB,50101015,6.770573162751869e-05
177211,2023-12-18,2027,PL30CP,PLSPRSF00011,SPYROSOFT,PL,PLN,10101010,6.739457735584667e-05
177343,2023-12-18,2027,MY90D6,MYL5280TO001,KIP REAL ESTATE INVEST TRUST,MY,MYR,35102045,6.728910473225611e-05
176409,2023-12-18,2027,CN25MS,CNE0000009M8,CHINA NAT.ACCORD MDC.'B',CN,HKD,45201015,6.718718616554243e-05
175220,2023-12-18,2027,TH301E,TH0136010Z02,UNIVENTURES,TH,THB,35101010,6.594138985450168e-05
176991,2023-12-18,2027,468921,TRAPNSUT91A5,PINAR SUT,TR,TRY,45102020,6.593314656782975e-05
176354,2023-12-18,2027,CN2D7L,KYG5273B1077,KINTOR PHARMACEUTICAL,CN,HKD,20103010,6.521148098962204e-05
177457,2023-12-18,2027,MY21J6,MYL5703OO003,MUHIBBAH ENGINEERING (M),MY,MYR,50204020,6.456020403841471e-05
176943,2023-12-18,2027,TR12I5,TREKTSR00046,KUTAHYA SEKER FABRIKASI,TR,TRY,45102035,6.447809452412315e-05
177534,2023-12-18,2027,CN25CI,CNE000000LZ0,EASTERN COMMS. 'B',CN,USD,15101010,6.430239278956743e-05
173737,2023-12-18,2027,EG6055,EGS30031C016,ARABIAN FOOD INDS.,EG,EGP,45102020,6.425310040144058e-05
177385,2023-12-18,2027,MY21ZM,MYL1589OO000,ISKANDAR WATERFRONT CITY,MY,MYR,35101010,6.395861635344265e-05
176920,2023-12-18,2027,B07C9M,TRETRBZ00016,TRABZONSPOR SPORTIF YATIR,TR,TRY,40301010,6.367712440581106e-05
175165,2023-12-18,2027,TH22S6,TH8601010003,TEAM CNSL.ENGR.&. MAN.,TH,THB,50101015,6.32480869037639e-05
175310,2023-12-18,2027,TH12Q3,TH0963A10Z08,ASPHERE INNOVATIONS,TH,THB,40203040,6.324792052378925e-05
176948,2023-12-18,2027,B03MX2,TRAPETUN91A5,PETUN ET VE UN,TR,TRY,45102020,6.321566049033526e-05
177188,2023-12-18,2027,PL00DN,PLMRCTR00015,MERCATOR MEDICAL,PL,PLN,20102015,6.314327495441796e-05
173731,2023-12-18,2027,EG1162,EGS597R1C017,TAALEEM MANAGEMENT SERV. CMPY.,EG,EGP,40201010,6.294300673711992e-05
