,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight
176447,2023-12-18,2027,TW028Z,TW0002034006,Yeun Chyang,TW,TWD,55102010,0.00022341206331247615
175306,2023-12-18,2027,TH20FR,TH0671010Z08,MAJOR CINEPLEX GROUP,TH,THB,40301010,0.00022329745560063435
176370,2023-12-18,2027,CN2D3H,KYG4987A1094,JACOBIO PHARMACEUTICALS GROUP,CN,HKD,20103010,0.00022306416086266404
175921,2023-12-18,2027,KR1BE1,KR7299900001,WYSIWYG STUDIOS,KR,KRW,40301010,0.00022290134536754187
176657,2023-12-18,2027,TW153Y,TW0004746003,FORMOSA LABORATORIES,TW,TWD,20103015,0.00022239638794671203
175244,2023-12-18,2027,TH212F,TH0297010Z02,GFPT,TH,THB,45102010,0.00022239596102785383
177392,2023-12-18,2027,MY21TG,MYL3395OO000,BERJAYA,MY,MYR,40401010,0.00022179129443865195
176608,2023-12-18,2027,TW13TM,TW0009927004,Thye Ming Indu,TW,TWD,55102050,0.00022155327898598767
177505,2023-12-18,2027,CN2DES,US25445D1019,DINGDONG CAYMAN 2 ADR 2:3,CN,USD,45201010,0.00022145809573307103
175217,2023-12-18,2027,TH21CP,TH0380010Y07,THAICOM,TH,THB,15102015,0.00022140165604551482
174869,2023-12-18,2027,IN026D,INE032A01023,Bombay Dyeing,IN,INR,55101020,0.00022113659965322557
176602,2023-12-18,2027,TW11OF,TW0008213000,Taiwan PCB Tech,TW,TWD,10102015,0.00022096563722084504
176675,2023-12-18,2027,TW60KF,TW0004438007,QUANG VIET ENTERPRISE,TW,TWD,40204020,0.00022091771028332052
177592,2023-12-18,2027,ID20EB,ID1000106206,MEDIA NUSNT.CITRA,ID,IDR,40301035,0.00022090753757285947
175009,2023-12-18,2027,IN1118,INE683C01011,MAITHAN ALLOYS,IN,INR,55102010,0.00022010380549345403
175977,2023-12-18,2027,KR21U8,KR7079370003,ZEUS,KR,KRW,10102020,0.0002196919824608067
176618,2023-12-18,2027,TW02QH,TW0002323003,CMC Magnetics,TW,TWD,10102030,0.00021959091988283294
174890,2023-12-18,2027,IN611D,INE659A01023,SUDARSHAN CHEMICALS,IN,INR,55201020,0.00021910327966010929
174931,2023-12-18,2027,IN125D,INE933K01021,BAJAJ CONSUMER CARE,IN,INR,45201020,0.00021886212024613673
177649,2023-12-18,2027,CL00TQ,CL0000001934,Sonda SA,CL,CLP,10101010,0.00021795737343179586
176861,2023-12-18,2027,TR603T,TREPOHO00012,POLISAN HOLDING,TR,TRY,55201020,0.0002179534807128743
177133,2023-12-18,2027,PL20FR,CY1000031710,ASBISC ENTERPRISES (DI),PL,PLN,10102030,0.0002179293874549825
175690,2023-12-18,2027,KR516N,KR7068240001,DAWONSYS,KR,KRW,50202010,0.00021788068174124486
174962,2023-12-18,2027,IN50HR,INE790G01031,SHILPA MEDICARE LIMITED,IN,INR,20103015,0.00021786914282239623
176371,2023-12-18,2027,CN635D,CNE100002342,CHINA REINSURANCE (GP.) 'H',CN,HKD,30302020,0.00021739842846909207
176256,2023-12-18,2027,ZA502G,ZAE000248506,Fortress REIT Ltd,ZA,ZAR,35101010,0.00021730795382714555
175118,2023-12-18,2027,IN124C,INE060A01024,NAVNEET EDUCATION,IN,INR,40301030,0.00021658287731648784
175140,2023-12-18,2027,IN825K,INE999B01013,SANGHI INDUSTRIES,IN,INR,50101030,0.00021654674434916897
175232,2023-12-18,2027,TH218L,TH0363010Z02,PRECIOUS SHIPPING,TH,THB,50206030,0.0002163957205928342
177102,2023-12-18,2027,BR10GJ,BRMYPKACNOR7,IOCHPE MAXION S.A.,BR,BRL,40101025,0.0002151703346844028
176376,2023-12-18,2027,PH233,KYG720051047,POWERLONG RLST.HOLDINGS,CN,HKD,35101010,0.00021439064969689913
175295,2023-12-18,2027,TH20JV,TH0747A10Z01,SC ASSET,TH,THB,35101010,0.00021412208912270755
175783,2023-12-18,2027,KR911M,KR7179900006,UTI,KR,KRW,10102015,0.0002137004184997974
175133,2023-12-18,2027,IN50V5,INE807F01027,SEQUENT SCIENTIFIC,IN,INR,20103015,0.00021360260635385536
176404,2023-12-18,2027,HK20VY,KYG2762W1069,DINGDANG HEALTH TECHNOLOGY GRO,CN,HKD,45201015,0.00021334651266969993
177405,2023-12-18,2027,MY203P,MYL5983OO001,MBM RESOURCES,MY,MYR,40101020,0.0002132533192361273
176731,2023-12-18,2027,TW19ON,TW0009942003,NAK Sealing Tech,TW,TWD,40101025,0.00021300615455284964
176709,2023-12-18,2027,TW9064,TW0003563003,MACHVISION,TW,TWD,10102020,0.0002129158001114881
176906,2023-12-18,2027,TR505U,TRECUHE00018,AGESA HAYAT EMEKLILIK,TR,TRY,30301010,0.00021283778468847976
177605,2023-12-18,2027,ID80GJ,ID1000121601,ERAJAYA SWASEMBADA,ID,IDR,40401030,0.00021272946750564372
177627,2023-12-18,2027,KW262Q,KW0EQ0608889,INTEGRATED HOLDING COMPANY,KW,KWD,50203000,0.00021255063930661957
176985,2023-12-18,2027,TR11N9,TREBION00012,BIOTREND CEVRE VE ENERJI,TR,TRY,65101010,0.00021225708135270353
175044,2023-12-18,2027,IN10W2,INE224A01026,Greaves Cot,IN,INR,50204030,0.00021223866322086834
176846,2023-12-18,2027,TR11TF,TREKREL00019,KAREL ELEKTRONIK,TR,TRY,15101010,0.0002117207948857129
175214,2023-12-18,2027,TH50N2,TH0889010Y07,SPCG,TH,THB,65101010,0.00021154607681623207
175178,2023-12-18,2027,TH80I0,TH8646010000,SCG CERAMICSORD,TH,THB,50101035,0.00021152347573666767
175372,2023-12-18,2027,KR308M,KR7032500001,KMW,KR,KRW,15101010,0.00021113588070129755
175697,2023-12-18,2027,KR1AN9,KR7357120005,KORAMCO LIFE INFRA REIT,KR,KRW,35102070,0.000210526314767671
176574,2023-12-18,2027,TW18WU,TW0003003000,KS TERMINALS,TW,TWD,50202010,0.0002101390371023617
175458,2023-12-18,2027,KR22XC,KR7394280002,OPENEDGES TECHNOLOGY,KR,KRW,10102010,0.00021008527104497156
175186,2023-12-18,2027,TH805N,TH8170010004,PRIMA MARINE,TH,THB,50206030,0.00020940053430637204
176279,2023-12-18,2027,ZA201C,ZAE000029757,ASTRAL FOODS,ZA,ZAR,45102010,0.00020917905504277393
175234,2023-12-18,2027,TH606M,TH6927010004,TAOKAENOI FOOD & MKTG.,TH,THB,45102020,0.0002085136614551921
176185,2023-12-18,2027,KR80H0,KR7041190000,WOORI TECHNOLOGY INV.,KR,KRW,30202010,0.00020839558148005172
176788,2023-12-18,2027,PH30BK,PHY1234G1032,CEBU AIR,PH,PHP,40501010,0.00020769812437397035
176760,2023-12-18,2027,TW01QG,TW0001711000,Everlight Chem,TW,TWD,55201000,0.0002071565036231841
177293,2023-12-18,2027,MY60A0,MYL7100OO000,UCHI TECHS.,MY,MYR,10102015,0.00020710321365010662
177022,2023-12-18,2027,TR504T,TRAIPMAT92D2,IPEK MATBAACILIK SANVETC.,TR,TRY,60101010,0.00020599966681464292
176094,2023-12-18,2027,KR214I,KR7054450002,TELECHIPS,KR,KRW,10102010,0.00020576098772010653
177333,2023-12-18,2027,MY90E7,MYL5286OO009,MI TECHNOVATION,MY,MYR,10102020,0.00020532957252124891
176479,2023-12-18,2027,TW07YU,TW0006197007,Jess Link,TW,TWD,10102030,0.00020500875230518393
176652,2023-12-18,2027,TW01KA,TW0001582005,Syncmold,TW,TWD,10102030,0.00020455913437911137
177178,2023-12-18,2027,PL10NY,PLCNTSL00014,COGNOR HOLDING,PL,PLN,55102015,0.00020426602400888994
176507,2023-12-18,2027,TW1P9O,TW0002636008,T3EX GLOBAL HOLDINGS,TW,TWD,50206030,0.0002041899788680906
176826,2023-12-18,2027,TR20I4,TREPSFK00023,PASIFIK GAYRIMENKUL YATIRIM,TR,TRY,30203000,0.0002039349891396786
176700,2023-12-18,2027,TW15YT,TW0001604007,Sampo Corp,TW,TWD,40202020,0.0002039202552932812
176654,2023-12-18,2027,TW150V,TW0002402005,Ichia,TW,TWD,10102010,0.00020389519108633683
177645,2023-12-18,2027,KW20UC,KW0EQ0200786,AAYAN LSG& INV,KW,KWD,50206050,0.00020376654098929546
177173,2023-12-18,2027,EW060,PLARTPR00012,ARCTIC PAPER,PL,PLN,55101015,0.00020365066529688946
176567,2023-12-18,2027,TW062X,TW0003059002,Altek,TW,TWD,40203060,0.0002028890711839775
176665,2023-12-18,2027,TW17TQ,TW0001537009,Kung Long,TW,TWD,50202010,0.0002026092450306185
176486,2023-12-18,2027,TW126Y,TW0002010006,Chun Yuan Steel,TW,TWD,55102010,0.0002024192436392283
177204,2023-12-18,2027,PL802K,PL11BTS00015,11 BIT STUDIOS,PL,PLN,40203040,0.00020158955175385654
176841,2023-12-18,2027,ET012,TREALBK00011,ALBARAKA TURK,TR,TRY,30101010,0.00020074313590196722
176015,2023-12-18,2027,KR1AZL,KR7064290000,INTEKPLUS,KR,KRW,10102010,0.00020002127825616644
175500,2023-12-18,2027,KR310F,KR7358570000,GI INNOVATION,KR,KRW,20103010,0.0001999426767682582
175055,2023-12-18,2027,IN80FS,INE355A01028,SOMANY CERAMICS,IN,INR,50101035,0.00019946057150609203
176492,2023-12-18,2027,TW015V,TW0001307007,San Fang Chem,TW,TWD,55201010,0.00019937695871644404
176282,2023-12-18,2027,ZA402F,ZAE000177218,ATTACQ ORD,ZA,ZAR,35102000,0.00019819740381139033
177664,2023-12-18,2027,410827,GRS395363005,HELLENIC EXCHANGES HLDG,GR,EUR,30202015,0.00019819702458394656
175175,2023-12-18,2027,TH50M1,TH0833010Y05,SUPER ENERGY CORP,TH,THB,65101010,0.00019763734429977767
177412,2023-12-18,2027,MY22K8,MYL5012OO009,TA ANN HOLDINGS,MY,MYR,45102010,0.00019746122947823252
177061,2023-12-18,2027,BR165E,BRAMBPACNOR6,AMBIPAR PARTP.E EME.ON,BR,BRL,65103035,0.0001973717001257587
177654,2023-12-18,2027,CL00MJ,CL0000001173,RIPLEY CORPORATION,CL,CLP,40401010,0.00019712675539345457
175268,2023-12-18,2027,TH907Q,TH8794010000,PRARAM 9 HOSPITAL,TH,THB,20101010,0.00019629058273737447
176666,2023-12-18,2027,TW10XN,TW0001444008,Lealea Ent,TW,TWD,55201010,0.00019608909822030305
175110,2023-12-18,2027,IN80HU,INE398A01010,VENKY'S (INDIA),IN,INR,45102010,0.0001954825482205983
177106,2023-12-18,2027,BR20CG,BRVLIDACNOR5,VALID SOLUCOES,BR,BRL,50205030,0.00019497663637079305
176740,2023-12-18,2027,TW07IE,TW0005531008,Shining Bldg,TW,TWD,35101010,0.00019435064584474683
176750,2023-12-18,2027,TW7084,TW0001515005,REXON INDL.,TW,TWD,40202025,0.00019431793561671104
177365,2023-12-18,2027,MY23SH,MYL6599OO004,AEON CO.(M),MY,MYR,40401010,0.00019323298248793188
175181,2023-12-18,2027,TH20R3,TH0828A10Z03,KHON KAEN SUGAR,TH,THB,45102035,0.00019266850806105214
175303,2023-12-18,2027,TH22IW,TH0477010Y01,ROJANA INDUSTRIAL PARK,TH,THB,65101015,0.00019246255711494252
177631,2023-12-18,2027,KW21DW,KW0EQ0202048,NOOR FINANCIAL INV,KW,KWD,30202010,0.00019230023438338888
175622,2023-12-18,2027,KR1AK6,KR7323990002,VAXCELL BIO THERAPEUTICS,KR,KRW,20103010,0.0001914160030881593
176965,2023-12-18,2027,TR601R,TREKMBH00014,BERA HOLDING A,TR,TRY,50203000,0.00019098075190595584
177493,2023-12-18,2027,US3RYE,US38406L1035,GRACELL BIOTECHNOLOGIES ADR,CN,USD,20103010,0.00019052296592362628
176837,2023-12-18,2027,TR402Q,TREYGMI00012,YENI GIMAT GMYO,TR,TRY,35102045,0.00018902330909202004
175047,2023-12-18,2027,IN305D,INE752H01013,CARE RATINGS,IN,INR,30201030,0.00018900496592519407
176924,2023-12-18,2027,595889,TRAISGEN91P9,IS FINANSAL KIRALAMA,TR,TRY,40201040,0.00018879474157981345
176586,2023-12-18,2027,TW142W,TW0004532007,Rechi,TW,TWD,50204000,0.00018862134683076328
177079,2023-12-18,2027,BR1115,BRANIMACNOR6,GAEC EDUCACAO ON,BR,BRL,40201010,0.00018780885186321606
177088,2023-12-18,2027,BR804E,BRZAMPACNOR5,ZAMP,BR,BRL,40501040,0.00018771626230468217
176758,2023-12-18,2027,TW20C3,TW0004164009,CHC HEALTHCARE,TW,TWD,20102010,0.0001876262762407309
177307,2023-12-18,2027,MY22PD,MYL5180TO003,CAPITALAND MALAYSIA TRUST,MY,MYR,35102045,0.00018734304491837016
174849,2023-12-18,2027,IN08IV,INE603A01013,PRAKASH INDUSTRIES,IN,INR,55102010,0.0001870281747597817
176835,2023-12-18,2027,TR701S,TREAIGY00017,AKYP GMYO,TR,TRY,35102000,0.0001860193027020953
176566,2023-12-18,2027,TW14TN,TW0001709004,Formosan Union,TW,TWD,55201000,0.00018393329977275567
176481,2023-12-18,2027,TW20KB,TW0001760007,PANION & BF BIOTECH.,TW,TWD,20103015,0.00018393212056259345
176872,2023-12-18,2027,401207,TRAAKGRT91O5,AKSIGORTA,TR,TRY,30302025,0.00018366805491979013
176249,2023-12-18,2027,ZA701H,ZAE000171963,KAP LIMITED,ZA,ZAR,50203000,0.0001835152111212906
175987,2023-12-18,2027,KR11GT,KR7011930005,SHINSUNG E&G,KR,KRW,60102020,0.0001830735783409353
174840,2023-12-18,2027,IN822H,INE883N01014,PARAG MILK FOODS,IN,INR,45102020,0.0001821075505835809
175776,2023-12-18,2027,KR62L4,KR7052020005,STCUBE,KR,KRW,10102015,0.00018195888001886488
177027,2023-12-18,2027,TR11VH,TRENATU00026,NATUREL ENERJI,TR,TRY,60102020,0.00018188529567895697
176942,2023-12-18,2027,TR20F1,TRETEZL00021,EUROPAP TEZOL KAGI,TR,TRY,55101015,0.00018185225566157666
176295,2023-12-18,2027,HK11HK,BMG9908J1053,ZHUGUANG HOLDINGS GROUP,CN,HKD,35101010,0.0001817272218365265
175787,2023-12-18,2027,KR804N,KR7001820000,SAMWHA CAPACITOR,KR,KRW,50202010,0.00018154678251229234
176497,2023-12-18,2027,TW802Z,TW0004739008,COREMAX,TW,TWD,55201000,0.00018147728356259076
176814,2023-12-18,2027,TR209V,TREATTP00023,ATP YAZILIM VE TEKNOLOJI,TR,TRY,10101010,0.00018115691347761695
176669,2023-12-18,2027,TW00ZO,TW0001201002,Wei-Chuan Foods,TW,TWD,45102020,0.000181095049399319
175485,2023-12-18,2027,KR51HY,KR7095700001,GENEXINE,KR,KRW,20103010,0.00018068606867230533
177229,2023-12-18,2027,PL008I,PLR220000018,Cyber Folks,PL,PLN,10101020,0.0001806724911915181
177105,2023-12-18,2027,BR16Y7,BRCSEDACNOR9,CRUZEIRO DO SUL EDUCACIONAL ON,BR,BRL,40201010,0.00018057527450765425
176477,2023-12-18,2027,TW14IC,TW0006277007,Aten Intl,TW,TWD,10102030,0.00017940735375535438
176708,2023-12-18,2027,TW111S,TW0002534005,Hung Sheng Const,TW,TWD,35101010,0.00017847306727592296
176606,2023-12-18,2027,TW14A4,TW0006206006,Flytech Tech,TW,TWD,10102030,0.00017805798274854998
176463,2023-12-18,2027,TW04C5,TW0002536000,Hung Poo,TW,TWD,35101010,0.000177566698583952
177465,2023-12-18,2027,MY228W,MYL5138OO002,HAP SENG PLTNS.HDG.,MY,MYR,45102010,0.00017748565596554912
176706,2023-12-18,2027,TW9042,KYG0407M1033,APEX INTERNATIONAL,TW,TWD,10102015,0.00017738803392941354
176359,2023-12-18,2027,CN8BUC,KYG532241042,KWG GROUP HOLDINGS,CN,HKD,35101010,0.0001770302915457378
176471,2023-12-18,2027,TW07EA,TW0005471007,Sonix Tech,TW,TWD,10102010,0.00017665444715285236
177576,2023-12-18,2027,ID5055,ID1000132707,BLUEBIRD GROUP PT,ID,IDR,40501015,0.00017664356302410218
176057,2023-12-18,2027,KR913O,KR7228760005,GENOMICTREE,KR,KRW,20103010,0.00017648027150429517
174940,2023-12-18,2027,IN803G,INE076B01028,SIYARAM SILK MILLS,IN,INR,40204020,0.00017615444502492032
176625,2023-12-18,2027,TW801Y,KYG8676P1037,TANVEX BIOPHARMA,TW,TWD,20103010,0.0001760029704957966
177005,2023-12-18,2027,TR20L7,TREESCR00029,ESCAR FILO KRLM. HZM. ANSI.,TR,TRY,40201040,0.0001759278801814813
177502,2023-12-18,2027,CN1RZQ,US44852D1081,HUYA ADR,CN,USD,10101020,0.0001753202292276872
176699,2023-12-18,2027,TW502W,TW0003708004,SWANCOR HOLDING,TW,TWD,50203010,0.00017531119005129102
176902,2023-12-18,2027,TR20G2,TREERCY00027,ERCIYAS CELIK BORU SANAYI AS,TR,TRY,55102010,0.00017504004614340014
177317,2023-12-18,2027,MY143S,MYL8532OO003,PERTAMA DIGITAL,MY,MYR,10101020,0.0001749565196986238
177091,2023-12-18,2027,BR701A,BRCVCBACNOR1,CVC BRA.OPD.E ACDV. ON,BR,BRL,40501015,0.00017471224180794158
175414,2023-12-18,2027,KR113G,KR7033640004,Nepes Corp,KR,KRW,10102010,0.0001745140647593818
176418,2023-12-18,2027,HK10JL,KYG857AW1047,SUN KING TECHNOLOGY GROUP,CN,HKD,10102015,0.000173803243591322
176844,2023-12-18,2027,447757,TRAIZMDC91G6,IZMIR DEMIR CELIK,TR,TRY,55102010,0.00017300954555541113
176245,2023-12-18,2027,ZA20ZA,ZAE000170049,PPC,ZA,ZAR,50101030,0.00017290251953367634
176757,2023-12-18,2027,TW01RH,TW0001714004,Ho Tung Chemical,TW,TWD,55201000,0.00017281552445879995
175235,2023-12-18,2027,TH00U4,TH0592010Z06,BEC World PCL,TH,THB,40301035,0.00017244749884054168
176879,2023-12-18,2027,TR10ZK,TREGDKM00012,GEDIK YATIRIM VE MENKUL DEGER.,TR,TRY,30202015,0.00017231270155247964
177603,2023-12-18,2027,ID001W,ID1000111800,TIMAH,ID,IDR,55102000,0.00017202870498893156
176648,2023-12-18,2027,TW1392,TW0002314002,MICROELS.TECH.,TW,TWD,15101010,0.00017192036675987802
174866,2023-12-18,2027,IN50CM,INE612J01015,REPCO HOME FINANCE,IN,INR,30201025,0.000171199093135894
174851,2023-12-18,2027,IN805I,INE128A01029,EVEREADY INDS.(INDIA),IN,INR,45201030,0.00017068372233485876
177014,2023-12-18,2027,ET007,TRAKARSN91H7,KARSAN OTOMOTIV,TR,TRY,40101020,0.00017066670795934833
176919,2023-12-18,2027,731405,TRAGSRAY91X9,GALATASARAY,TR,TRY,40501030,0.00017063066430402426
175482,2023-12-18,2027,KR91PA,KR7089010003,CHEMTRONICS,KR,KRW,10102015,0.00017048741851881147
176816,2023-12-18,2027,TR00ZJ,TRASMENS91H3,TURK PRYS.KABLO VE SIST.,TR,TRY,50202010,0.00017012523530695806
175588,2023-12-18,2027,KR07J1,KR7200710002,ADTECHNOLOGY,KR,KRW,10102010,0.00016986313244398896
175079,2023-12-18,2027,IN70FR,INE274G01010,DHANI SERVICES,IN,INR,30202015,0.0001697618621155114
176553,2023-12-18,2027,TW07TP,TW0006120009,Darwin Precisions Corp,TW,TWD,10102015,0.0001692418764572701
176531,2023-12-18,2027,TW18CA,TW0009924001,TAIWAN FU HSING,TW,TWD,50101035,0.0001692042722949396
176420,2023-12-18,2027,CN8E1M,KYG407691040,GREATVIEW ASEPTIC PACK.,CN,HKD,50203030,0.00016907244202573563
176306,2023-12-18,2027,CN4CKZ,KYG8872R1011,3D MEDICINES,CN,HKD,20103015,0.00016903493397127975
176485,2023-12-18,2027,TW11XO,TW0002369006,LINGSEN PRECISION IND.,TW,TWD,10102020,0.00016800397512934292
175304,2023-12-18,2027,TH309M,THA996010007,BA AIRPORT LEASEHOLD REIT,TH,THB,35102070,0.00016795893679929214
177386,2023-12-18,2027,MY21I5,MYL9059OO006,TSH RESOURCES,MY,MYR,45102010,0.0001679048430628768
177407,2023-12-18,2027,MY30M9,MYL5313OO001,RADIUM DEVELOPMENT,MY,MYR,35101010,0.00016770069651355046
175265,2023-12-18,2027,TH603J,TH0467A10Z09,KARMARTS,TH,THB,45201020,0.00016765143803700304
176756,2023-12-18,2027,TW043W,TW0002489002,Amtran,TW,TWD,40203010,0.0001673353539295393
176587,2023-12-18,2027,TW11JA,TW0002832003,TFM Ins,TW,TWD,30302025,0.0001671246783652395
175755,2023-12-18,2027,KR22VA,KR7432320000,KB STAR REIT,KR,KRW,35102030,0.00016667276997842182
174926,2023-12-18,2027,IN614G,INE836B01017,SATIN CREDITCARE NETWORK,IN,INR,30201020,0.0001657984244636266
176660,2023-12-18,2027,TW16B7,TW0001321008,Ocean Plas,TW,TWD,50203015,0.00016556927613438273
176900,2023-12-18,2027,TR12L8,TREPNTA00042,PENTA TEKNOLOJI,TR,TRY,10101010,0.00016547714246579245
177150,2023-12-18,2027,EW054,PLLWBGD00016,BOGDANKA,PL,PLN,60101040,0.00016537364320106323
176413,2023-12-18,2027,HK20Y1,KYG4815A1076,ALL.INTL.EDU.LEASING HOLDINGS,CN,HKD,30201020,0.00016510515638725747
175258,2023-12-18,2027,TH011C,TH0073A10Z05,SINGER THAILAND,TH,THB,40202020,0.0001647416566453935
176691,2023-12-18,2027,TW110R,TW0008039009,Taiflex Sci,TW,TWD,10102015,0.00016455671304664918
175618,2023-12-18,2027,KR08UD,KR7047920004,MEDIFORUM PHARMACEUTICAL,KR,KRW,20103015,0.00016372624639738443
175250,2023-12-18,2027,TH107I,TH8206010002,SERMSANG POWER CORPORATION,TH,THB,65101010,0.0001635826931849755
176253,2023-12-18,2027,ZA105F,ZAE000167391,TRANSACTION CAPITAL,ZA,ZAR,30201020,0.0001624356649079089
176528,2023-12-18,2027,TW12PH,TW0001310001,Twn Styrene Mono,TW,TWD,50203015,0.00016205259263609768
175030,2023-12-18,2027,IN819N,INE083A01026,MOREPEN LABORATORIES,IN,INR,20103015,0.00016204977968190136
176035,2023-12-18,2027,KR16AS,KR7005690003,PHARMICELL,KR,KRW,20103010,0.00016179681552112973
177228,2023-12-18,2027,PL301E,PLZEPAK00012,ZESPOL ELEKTROWNI PAK,PL,PLN,65101015,0.00016152235046685355
173739,2023-12-18,2027,EG20GC,EGS673T1C012,GB CORP,EG,EGP,40101025,0.00016135110737920474
176449,2023-12-18,2027,TW404X,TW0008114000,POSIFLEX TECHNOLOGIES,TW,TWD,10102030,0.00016130237416424507
175201,2023-12-18,2027,TH20P1,TH0815010002,POLYPLEX (THAILAND),TH,THB,50203015,0.00016111523463102035
176717,2023-12-18,2027,TW15RM,TW0003450003,Elite Advanced,TW,TWD,10102010,0.0001611114252725184
175615,2023-12-18,2027,KR30ZD,KR7270520000,G ENONE ENERGY,KR,KRW,60102020,0.00016102346146177802
177602,2023-12-18,2027,ID2041,ID1000105604,GLOBAL MEDIACOM,ID,IDR,40301035,0.0001606373432430276
176632,2023-12-18,2027,TW12YQ,TW0002102001,Federal Corp,TW,TWD,40101015,0.00016062771491156215
173756,2023-12-18,2027,EG00A4,EGS655L1C012,PALM HILLS DEVS.SAE,EG,EGP,35101010,0.0001605066772623213
176970,2023-12-18,2027,TR30OB,TREGKNR00036,GOKNUR GIDA MADDELERI ENJ.IMALATI,TR,TRY,45102030,0.00016021404791537557
175573,2023-12-18,2027,KR17YH,KR7003541000,DAISHIN SECURITIES PF.,KR,KRW,30202015,0.00016009416447292094
177466,2023-12-18,2027,MY404S,MYL5216OO006,DATASONIC GROUP,MY,MYR,10101010,0.0001597590545328826
176246,2023-12-18,2027,ZA20U5,ZAE000203238,SA CORPORATE REAL ESTATE,ZA,ZAR,35102000,0.00015946974058917844
176556,2023-12-18,2027,TW07RN,TW0006115009,I Sheng Electric,TW,TWD,50202010,0.0001587774797561105
177001,2023-12-18,2027,TR30AX,TRESUNT00010,SUN TEKSTIL SANAYI VE TICARET,TR,TRY,40204020,0.00015851855436893253
177030,2023-12-18,2027,TR403R,TRALOGOW91U2,LOGO YAZILIM SANAYI,TR,TRY,10101015,0.00015819159836663753
176832,2023-12-18,2027,TR80D5,TRAPARSN91H6,PARSAN,TR,TRY,40101025,0.0001581168838740014
175130,2023-12-18,2027,IN823I,INE922A01025,BHANSALI ENGR.POLYMERS,IN,INR,55201000,0.0001578370397552081
176578,2023-12-18,2027,TW04F8,TW0002547007,RADIUM LIFE,TW,TWD,35101010,0.000157227176647539
175187,2023-12-18,2027,TH20S4,TH0535010Z05,THORESEN THAI AG.,TH,THB,50206030,0.0001571388256483452
173777,2023-12-18,2027,EG20KG,EGS65571C019,MADINET MASR,EG,EGP,35101010,0.00015705590873235468
176963,2023-12-18,2027,TR20N9,TREHTTB00036,HITIT BILGISAYAR HIZMETLERI,TR,TRY,10101015,0.00015701517350536664
175906,2023-12-18,2027,KR81RB,KR7050890003,SOLID,KR,KRW,15101010,0.00015654547665109865
177368,2023-12-18,2027,MY703U,MYL4456OO009,DAGANG NEXCHANGE,MY,MYR,10101010,0.0001564931004054911
175645,2023-12-18,2027,KR31WB,KR7214680001,DRTECH,KR,KRW,20102010,0.0001556513669377774
176197,2023-12-18,2027,KR09FZ,KR7304100001,SALTLUX,KR,KRW,10101010,0.0001553503428811874
177339,2023-12-18,2027,MY232R,MYL3042OO008,PETRON MALAYSIA REFINING& MKTG,MY,MYR,60101020,0.00015533628529868396
175190,2023-12-18,2027,TH10DO,TH0472B10Z01,SEAMICO CAPITAL,TH,THB,30202015,0.0001551849037843218
176765,2023-12-18,2027,TW1561,TW0006192008,LUMAX INTERNATIONAL,TW,TWD,50202025,0.00015488687370531905
173765,2023-12-18,2027,EG00GA,EGS60101C010,AL BARKA EGYPT BANK,EG,EGP,30101010,0.00015444392905575755
177325,2023-12-18,2027,MY604U,MYL7095OO002,PIE INDUSTRIAL,MY,MYR,50202010,0.00015332951007550924
177145,2023-12-18,2027,532172,PLTIM0000016,TIM,PL,PLN,50202010,0.00015331647756129175
176326,2023-12-18,2027,CN25JP,CNE000000LT3,GUANGDONG PRVL.EXPR.'B',CN,HKD,50206060,0.00015293535594027694
174821,2023-12-18,2027,IN814I,INE978A01027,HERITAGE FOODS,IN,INR,45102020,0.00015274741235152145
173729,2023-12-18,2027,EG7045,EGS729J1C018,CLEOPATRA HOSPITAL,EG,EGP,20101025,0.00015256859705428742
176490,2023-12-18,2027,TW1ATT,TW0002375003,KAIMEI ELECTRONIC,TW,TWD,10102010,0.00015214159748203418
177422,2023-12-18,2027,MY50UJ,MYL5196OO000,BERJAYA FOOD,MY,MYR,40501040,0.00015213838316342044
176995,2023-12-18,2027,TR20BX,TREKYAS00018,KUYAS YATIRIM A S,TR,TRY,35101010,0.00015198407994971886
176824,2023-12-18,2027,TR206S,TRAPKENT91K5,PETROKENT TURIZM,TR,TRY,40501025,0.00015172245107027339
175278,2023-12-18,2027,TH12IV,THA020010007,SABUY TECHNOLOGY,TH,THB,50205015,0.00015125329663835967
175221,2023-12-18,2027,TH10NY,TH9460010001,S HOTELS AND RESORTS,TH,THB,40501025,0.00015109223124926762
176842,2023-12-18,2027,TR20VH,TRAAYENW91L0,AYEN ENERJI,TR,TRY,65101010,0.00015103192672157536
177461,2023-12-18,2027,MY21E1,MYL8877OO002,EKOVEST,MY,MYR,50101010,0.00015041663348953059
177462,2023-12-18,2027,MY00YI,MYQ0151OO009,KELINGTON GROUP,MY,MYR,50101015,0.00015030380499606266
177223,2023-12-18,2027,PL10FQ,PLMOBRK00013,MOBRUK,PL,PLN,50101035,0.00014877259314828017
175283,2023-12-18,2027,TH22Q4,THA504010002,ONE ENTERPRISE,TH,THB,40301010,0.0001486127909650811
176571,2023-12-18,2027,TW15LG,TW0001708006,Sesoda Corp,TW,TWD,55201000,0.00014850909543478338
175263,2023-12-18,2027,TH804M,TH4625010004,MC GROUP,TH,THB,40204020,0.00014846908471604733
