,Date,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency,Weight
120106,2019-03-18,430007,TRAECILC91E0,ECZACIBASI ILAC SINAI,TR,TRY,20103015.0,1.0,0.1971,78595324.0,0.00031109995067375376
119524,2019-03-18,TW1E26,TW0003227005,PIXART IMAGING,TW,TWD,10102010.0,1.0,1.0,392339375.0,0.0003106265279713466
119815,2019-03-18,TW11VM,TW0003030003,Test Research,TW,TWD,10102020.0,1.0,0.7092,298394036.0,0.00031057624661300103
121708,2019-03-18,MX11N8,MX00CR000000,CREDITO REAL SOFOM ENR,MX,MXN,30201020.0,1.0,0.75,276077657.0,0.0003100262516736507
119886,2019-03-18,ID4098,ID1000129208,SILOAM INTL.HOSPS.,ID,IDR,20101010.0,1.0,0.2385,100168519.0,0.0003098070795889805
120044,2019-03-18,BR1115,BRANIMACNOR6,GAEC EDUCACAO ON,BR,BRL,40201010.0,1.0,0.51,197681703.0,0.00030930503025047146
119753,2019-03-18,TW05QK,TW0003010005,WAH LEE INDUS,TW,TWD,50205010.0,1.0,0.8733,351408903.0,0.00030897551017908216
120365,2019-03-18,IN50GQ,INE785M01013,PC JEWELLER,IN,INR,40204030.0,1.0,0.4314,203859381.0,0.00030863133447153176
119920,2019-03-18,MY00P9,MYL3794OO004,LAFARGE MALAYSIA,MY,MYR,50101030.0,1.0,0.2805,127411526.0,0.00030821019350687454
121955,2019-03-18,ZA126I,ZAE000117792,CITY LODGE HOTELS,ZA,ZAR,40501025.0,1.0,0.69,272888549.0,0.00030750230372679423
120216,2019-03-18,TH50T8,TH4101010007,ANANDA DEVELOPMENT,TH,THB,35101010.0,0.9825546,0.4987,179373666.0,0.000307015474135567
119821,2019-03-18,TW60C7,TW0001305001,CHINA GEN.PLASTICS,TW,TWD,55201000.0,1.0,0.6115,228728113.0,0.0003065176606189201
119686,2019-03-18,TW10F5,TW0006153000,Career Tech,TW,TWD,10102015.0,1.0,0.9258,386876572.0,0.0003060169793776492
120089,2019-03-18,550391,TRAKRDMR91G7,KARDEMIR (D),TR,TRY,55102015.0,1.0,1.0,378350158.0,0.0003057542330645546
121899,2019-03-18,PK506K,PK0061701014,SEARLE,PK,PKR,20103015.0,1.0,0.434,159814240.0,0.0003049104101077313
120111,2019-03-18,TR704V,TREMAVI00037,MAVI GIYIM SANAYI VE TICARET,TR,TRY,40401020.0,1.0,0.7282,274603986.0,0.00030474371666731485
119564,2019-03-18,TW05SM,TW0003017000,AVC,TW,TWD,10102030.0,1.0,0.8238,309735862.0,0.00030470722516816513
119946,2019-03-18,MY70A1,MYL7161OO002,KERJAYA PROSPEK GROUP,MY,MYR,50101010.0,1.0,0.2452,93346316.0,0.000303545154606633
120364,2019-03-18,IN811F,INE878B01027,KEI INDUSTRIES,IN,INR,50202010.0,0.7338625,0.6677,224770289.0,0.0003032906657609762
120352,2019-03-18,IN60ZA,INE572A01028,JB CHEMICALS & PHARMS.,IN,INR,20103015.0,0.462963,0.5184,92401161.0,0.00030227266534487806
119827,2019-03-18,TW403W,TW0006230006,CHAUN-CHOUNG TECH.,TW,TWD,10102015.0,1.0,0.9247,325097385.0,0.00030206705293151436
119767,2019-03-18,TW1NGT,KYG684631016,PAIHO SHIH HOLDINGS,TW,TWD,40204020.0,1.0,0.4,157363218.0,0.0003010508660591007
120449,2019-03-18,IN05DN,INE383A01012,India Cements,IN,INR,50101030.0,0.3424539,0.7641,116553173.0,0.0003004624843890083
119525,2019-03-18,TW6094,TW0003413001,FOXSEMICON INTEG.TECH.,TW,TWD,10102010.0,1.0,0.9371,341904214.0,0.00029987334377323403
119766,2019-03-18,TW11RI,TW0006257009,Sigurd,TW,TWD,10102010.0,1.0,0.9449,355654192.0,0.00029976657605126244
119863,2019-03-18,ID5011,ID1000097207,ADHI KARYA PERSERO,ID,IDR,50101010.0,1.0,0.49,188628589.0,0.0002993638438997383
120349,2019-03-18,IN405E,INE455I01029,KAVERI SEED COMPANY,IN,INR,45102010.0,1.0,0.4278,173151312.0,0.00029901152366105496
120272,2019-03-18,IN80O1,INE602A01023,PHILLIPS CARBON BLACK,IN,INR,55201020.0,0.4819277,0.498,105355696.0,0.0002978644838656912
119590,2019-03-18,TW115W,TW0002908001,TEST RITE INTERNATIONAL,TW,TWD,50205010.0,1.0,0.38,142071289.0,0.0002973016669348953
120510,2019-03-18,IN06V6,INE998I01010,MAHA.HOLS.& RSTS.,IN,INR,40501025.0,0.75,0.32,113809449.0,0.0002966875873435125
120431,2019-03-18,IN70KW,INE791I01019,BRIGADE ENTERPRISES,IN,INR,35101010.0,0.384,0.625,116478640.0,0.00029536164975214034
120011,2019-03-18,BR20CG,BRVLIDACNOR5,VALID SOLUCOES,BR,BRL,50205030.0,1.0,1.0,368823171.0,0.0002949711715501648
119896,2019-03-18,ID80AD,ID1000122203,SURYA ESA PERKASA,ID,IDR,60101020.0,1.0,0.3777,141805063.0,0.0002949431677277032
119615,2019-03-18,TW12IA,TW0002850005,Shinkong Ins,TW,TWD,30302025.0,1.0,0.6921,261446430.0,0.0002935527903590073
119884,2019-03-18,ID4054,ID1000113202,BW PLANTATION,ID,IDR,45102010.0,1.0,0.253,90705110.0,0.00029330649242149785
119568,2019-03-18,TW02TK,TW0002328002,Pan Intl Ind,TW,TWD,10102015.0,1.0,0.7921,303720834.0,0.00029293424323347704
120288,2019-03-18,IN80BO,INE285K01026,TECHNO ELEC.& ENGR.CO.,IN,INR,50101015.0,0.7272727,0.33,98823299.0,0.00029235496510227955
119663,2019-03-18,TW05WQ,TW0003035002,Faraday Tech,TW,TWD,10102010.0,1.0,0.862,311180726.0,0.0002921664334755438
119919,2019-03-18,MY249Z,MYL4634OO001,POS MALAYSIA,MY,MYR,50206040.0,1.0,0.3684,137187767.0,0.0002915286757279105
120273,2019-03-18,IN203A,INE548A01028,HIMACHAL FUTR.COMMS.,IN,INR,15101010.0,0.7747036,0.6325,198265585.0,0.00029138727476670005
120191,2019-03-18,TH80AS,TH3925010Z05,JMT NETWORK SERVICES,TH,THB,50205020.0,1.0,0.4776,183375550.0,0.00029117690809267964
119777,2019-03-18,TW16XT,TW0008112004,SUPREME ELECTRONICS,TW,TWD,10102010.0,1.0,1.0,376008136.0,0.00029072997704185404
120275,2019-03-18,IN065G,INE324A01024,JINDAL SAW,IN,INR,55102010.0,0.7881382,0.5022,165386758.0,0.0002895366561401623
119656,2019-03-18,TW0863,TW0006605009,DEPO Auto Parts,TW,TWD,40101025.0,1.0,0.6738,253381801.0,0.0002894117470571034
120169,2019-03-18,TH507M,TH0152A10Z09,SVI,TH,THB,10102015.0,1.0,0.566,193465768.0,0.00028924055023288363
119926,2019-03-18,MY405T,MYL5236OO004,MATRIX CONCEPTS HOLDINGS,MY,MYR,35101010.0,1.0,0.706,259141811.0,0.00028742990964301837
119799,2019-03-18,TW1ODR,TW0005287007,ADDCN TECHNOLOGY,TW,TWD,10101020.0,1.0,0.56,207328032.0,0.00028700718356568564
120139,2019-03-18,TH50KZ,TH0788010005,WORKPOINT ENTERTAINMENT,TH,THB,40301010.0,0.922961,0.5309,163753908.0,0.00028594402191406713
119800,2019-03-18,TW0830,TW0006282007,AcBel Polytech,TW,TWD,50202010.0,1.0,0.7732,275232900.0,0.0002858501191343186
119711,2019-03-18,TW1GPV,TW0008076001,FIRICH ENTERPRISES,TW,TWD,10102030.0,1.0,0.91,313711584.0,0.0002856114240886493
120331,2019-03-18,IN10FL,INE008I01026,Cox & Kings,IN,INR,40501015.0,0.9554998,0.6073,227723931.0,0.00028499402195512213
119718,2019-03-18,TW14IC,TW0006277007,Aten Intl,TW,TWD,10102030.0,1.0,0.8894,341988616.0,0.00028476565698455853
119830,2019-03-18,TW00ZO,TW0001201002,Wei-Chuan Foods,TW,TWD,45102020.0,1.0,0.5983,230850655.0,0.00028469548874456555
119515,2019-03-18,TW1NLY,TW0005234009,DAXIN MATERIALS,TW,TWD,55201020.0,1.0,0.47,169943430.0,0.0002843166923319011
