,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency,Weight,SEDOL
29978,2023-12-18,1927,AE23IB,AEE001901017,EMAAR DEVELOPMENT PJSC,AE,AED,35101010.0,1.0,0.2084,1620600843.0,0.001175541382745655,BDG1977
29979,2023-12-18,1927,AE301S,AEE01110S227,SALIK COMPANY,AE,AED,50206060.0,1.0,0.249,1581397880.0,0.0011471045807213906,BJN5952
29980,2023-12-18,1927,AE20XN,AEN000401010,NATMARINE DREDGING CO,AE,AED,50101010.0,1.0,0.2489,1515194093.0,0.0010990820885394717,6625838
29981,2023-12-18,1927,BR00FH,BRBRFSACNOR8,BRF SA,BR,BRL,45102020.0,1.0,0.4243,2008329894.0,0.0014567898756808154,2036995
29982,2023-12-18,1927,IN10BH,INE811K01011,Prestge Ests,IN,INR,35101010.0,1.0,0.4387,2411615844.0,0.0017493229354731922,B4T3LF9
29983,2023-12-18,1927,AE303U,AEE01134E227,EMIRATES CENTRAL COOLING SYSTEMS,AE,AED,50101025.0,1.0,0.2,925761400.0,0.0006715230594561361,BPYSVC3
29984,2023-12-18,1927,EG8013,EGS39061C014,MISR FRETILIZERS,EG,EGP,55201015.0,1.0,0.1662,645131190.0,0.0004679612591963522,BWSW8F2
29985,2023-12-18,1927,IN104A,INE002L01015,Satluj Jal Vid,IN,INR,65101010.0,1.0,0.1815,800409514.0,0.0005805960862691824,B3Y50F6
29986,2023-12-18,1927,ZA00MV,ZAE000015228,HARMONY GOLD MNG.,ZA,ZAR,55103025.0,0.7448494,0.7524,2068137539.0,0.0015001727740704724,6410562
29987,2023-12-18,1927,MX024P,MX01PI000005,Promotora y Opr,MX,MXN,50101010.0,0.9881024,0.4959,1960725757.0,0.0014222590821944927,2393388
29988,2023-12-18,1927,TW117Y,TW0003036000,WT Microelectron,TW,TWD,10102010.0,1.0,0.5546,2020668029.0,0.0014657396354819724,6290991
29989,2023-12-18,1927,MX11M7,MX01Q0000008,QUALITAS CONTROLADORA,MX,MXN,30302025.0,1.0,0.4947,1933195724.0,0.0014022895176964607,BYMXF65
29990,2023-12-18,1927,IN11IP,INE342J01019,ZF COMMERCIAL VEHICLE CNTRL IN,IN,INR,40101025.0,1.0,0.25,885142068.0,0.0006420588604760268,B3DGKJ4
29991,2023-12-18,1927,IN616I,INE930H01031,KPR MILL,IN,INR,55101020.0,1.0,0.3589,1255335685.0,0.0009105876091136057,BMDP7V5
29992,2023-12-18,1927,IN047G,INE061F01013,Fortis Healthcar,IN,INR,20101010.0,1.0,0.6883,2453330522.0,0.0017795816697375366,B1XC098
29993,2023-12-18,1927,AE22B3,AEA003001012,AIR ARABIA,AE,AED,40501010.0,0.4878831,0.5612,932391402.0,0.000676332289163964,B23DL40
29994,2023-12-18,1927,SA238F,SA121053DR18,SAUDI MOBILE TELECOM,SA,SAR,15102015.0,0.5803018,0.6295,1230394095.0,0.0008924956333361531,B2QG180
29995,2023-12-18,1927,IN50Y8,INE823G01014,JK CEMENT,IN,INR,50101030.0,1.0,0.4455,1627966911.0,0.0011808845354408547,B0CJ800
29996,2023-12-18,1927,MX802T,MX01GC2M0006,GCC,MX,MXN,50101030.0,1.0,0.4912,1907400361.0,0.001383578237358415,2946663
29997,2023-12-18,1927,IN01TZ,INE438A01022,Apollo Tyres,IN,INR,40101015.0,1.0,0.502,1738217206.0,0.0012608572102621872,6168902
29998,2023-12-18,1927,IN0BN3,INE741K01010,CREDITACCESS GRAMEEN,IN,INR,30201020.0,1.0,0.2766,895601013.0,0.0006496455050964263,BYVKG53
29999,2023-12-18,1927,EG20EA,EGS38191C010,ABOU KIR FERTILIZERS,EG,EGP,55201015.0,1.0,0.2244,715703363.0,0.0005191524641066322,6005474
30000,2023-12-18,1927,IN06S3,INE115A01026,LIC Housing,IN,INR,30201025.0,1.0,0.5476,1927265186.0,0.001397987660844381,6101026
30001,2023-12-18,1927,BR02Y2,BREMBRACNOR4,Embraer,BR,BRL,50201010.0,1.0,0.9463,3318100383.0,0.0024068630651210314,B16FPG6
30002,2023-12-18,1927,BR02JN,BRCPLEACNPB9,COPEL - CIA PR DE ENERGIA,BR,BRL,65101010.0,1.0,0.6192,2085043710.0,0.0015124360674780486,2200154
30003,2023-12-18,1927,IN0A1G,INE424H01027,Sun TV network,IN,INR,40301035.0,1.0,0.25,820743398.0,0.0005953457528617905,B128WL3
30004,2023-12-18,1927,AE2280,AED000901010,DUBAI FINANCIAL MARKET,AE,AED,30202015.0,1.0,0.1934,585573426.0,0.00042475961793582163,B1GPBP7
30005,2023-12-18,1927,MX406T,MX01VE0M0003,VESTA,MX,MXN,35101010.0,1.0,1.0,3313467706.0,0.0024035026426271664,B8F6ZF8
30006,2023-12-18,1927,IN50W6,INE387A01021,SUNDRAM FASTENERS,IN,INR,40101025.0,1.0,0.5164,1646709412.0,0.0011944798545083593,6730895
30007,2023-12-18,1927,IN80DQ,INE298J01013,NIPPON LIFE INDIA ASSET MGM,IN,INR,30202010.0,1.0,0.2043,683799266.0,0.0004960100682078344,BF29PR1
30008,2023-12-18,1927,IN811F,INE878B01027,KEI INDUSTRIES,IN,INR,50202010.0,1.0,0.7403,2445387410.0,0.001773819944446503,B1L9PJ6
30009,2023-12-18,1927,IN30KS,INE474Q01031,GLOBAL HEALTH,IN,INR,20101010.0,1.0,0.3318,991372325.0,0.0007191155050795409,BN960L0
30010,2023-12-18,1927,IN18V9,INE732I01013,ANGEL ONE,IN,INR,30202015.0,1.0,0.5173,1752781833.0,0.0012714220090136554,BMCMVV5
30011,2023-12-18,1927,MX504S,MX01OM000018,GRUPO AERO DEL CENTRO 'B',MX,MXN,50206060.0,0.3662669,0.808,1083476870.0,0.0007859257283705696,B1KFX13
30012,2023-12-18,1927,SA23GN,SA1230K1UGH7,ABDULLAH AL OTHAIM MKTS,SA,SAR,45201010.0,0.6151063,0.6633,1288068631.0,0.0009343312303565442,B3BQB93
30013,2023-12-18,1927,IN60U5,INE410P01011,NARAYANA HRUDAYALAYA,IN,INR,20101010.0,1.0,0.3758,1090528712.0,0.0007910409497598405,BD0CSH9
30014,2023-12-18,1927,BR906H,BRALOSACNOR5,ALLOS,BR,BRL,35101010.0,1.0,0.8139,2523305511.0,0.001830339693023763,BMHVKZ4
30015,2023-12-18,1927,IN30EM,INE031B01049,AJANTA PHARMA,IN,INR,20103015.0,1.0,0.3647,1044803285.0,0.000757872923274854,BWFGD74
30016,2023-12-18,1927,QA20MO,QA0007227695,QATAR NAVIGATION,QA,QAR,50206030.0,1.0,0.8625,2668803117.0,0.0019358798435686695,6148205
30017,2023-12-18,1927,KR22S7,KR7403870009,HPSP,KR,KRW,10102020.0,1.0,0.4066,1171345868.0,0.0008496635968627158,BPDWY61
30018,2023-12-18,1927,IN0B9P,INE256A01028,Zee Entrtainment,IN,INR,40301035.0,1.0,0.9488,3078181956.0,0.0022328325253740257,6188535
30019,2023-12-18,1927,IN041A,INE302A01020,Exide Industries,IN,INR,50205010.0,1.0,0.5401,1687972359.0,0.0012244109149431716,B1D3ZC9
30020,2023-12-18,1927,IN025C,INE462A01022,BayerCrop,IN,INR,55201015.0,1.0,0.32,942948727.0,0.0006839902960582596,6716992
30021,2023-12-18,1927,QA20UW,QA000A0KD6J5,BARWA REAL ESTATE,QA,QAR,35101010.0,1.0,0.55,1598821300.0,0.0011597430729987628,B0YTG26
30022,2023-12-18,1927,MX109T,US92837L1098,VISTA ENERGY ADR,MX,USD,60101010.0,1.0,0.9429,2731396665.0,0.001981283562988354,BJ84772
30023,2023-12-18,1927,MX302O,MXP001391012,ALSEA,MX,MXN,40501040.0,1.0,0.6278,1833055748.0,0.0013296506033310701,2563017
30024,2023-12-18,1927,BR10X0,BRGMATACNOR7,GRUPO MATEUS ON,BR,BRL,40401010.0,1.0,0.209,621932559.0,0.000451133580202268,BN7JD67
30025,2023-12-18,1927,MX204P,MX01R0000006,REGIONAL S.A.B. DE C.V.,MX,MXN,30101010.0,1.0,0.4,1224375470.0,0.0008881298804826434,BG1Z6X0
