Date;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Open_Quotation;Index_Settlement_Value;Index_Value_high;Index_Value_low;Index_Close;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Internal_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;NL301C;NL0010558797;BD4TZK8;OCI.AS;;OCI;NL;EUR;EURONEXT(NL);2357;210712004;0.4312;1.0;;;28.8350000;1.0000000;2619919726;2619919726;0.07832;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;NL101A;NL0009739424;B3Y0JD2;TNTE.AS;;TNT EXPRESS;NL;EUR;EURONEXT(NL);2771;548208226;0.8528;1.0;;;5.4200000;1.0000000;2533914905;2533914905;0.07575;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;XXXXX3;FI0009013296;B06YV46;NES1V.HE;;NESTE OIL;FI;EUR;OMX(FI);0537;256403686;0.4990;1.0;;;19.0800000;1.0000000;2441198976;2441198976;0.07298;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;412267;GRS014003008;BBFL4S0;BOPr.AT;;PIRAEUS BANK;GR;EUR;Athens;8355;6101979715;0.3270;1.0;;;1.2200000;1.0000000;2434323788;2434323788;0.07277;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;505160;GRS260333000;5051605;OTEr.AT;;OTE;GR;EUR;Athens;6535;490150389;0.5000;1.0;;;9.8500000;1.0000000;2413990671;2413990671;0.07216;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;407216;IT0000064482;4072168;PMII.MI;;BCA POPOLARE DI MILANO;IT;EUR;Milan;8355;4391784467;0.9298;1.0;;;0.5880000;1.0000000;2401086944;2401086944;0.07178;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;457270;FR0000039299;4572709;BOLL.PA;;BOLLORE;FR;EUR;EURONEXT(FR);2777;27414288;0.2206;1.0;;;397.0000000;1.0000000;2400894024;2400894024;0.07177;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;465975;NL0009432491;5809428;VOPA.AS;;VOPAK;NL;EUR;EURONEXT(NL);2773;127835368;0.4648;1.0;;;40.4000000;1.0000000;2400482312;2400482312;0.07176;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;565431;GRS323003004;BBL58B7;EURBr.AT;;EUROBANK ERGASIAS;GR;EUR;Athens;8355;14707876542;0.6459;1.0;;;0.2490000;1.0000000;2365454547;2365454547;0.07071;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;454721;FR0000130213;4547213;LAGA.PA;;LAGARDERE;FR;EUR;EURONEXT(FR);5557;131133286;0.7787;1.0;;;22.8000000;1.0000000;2328187572;2328187572;0.06960;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;441842;FR0000052292;5253973;HRMS.PA;;HERMES INTERNATIONAL;FR;EUR;EURONEXT(FR);3763;105569412;0.0815;1.0;;;269.2500000;1.0000000;2316601960;2316601960;0.06925;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;EG061;DE000KD88880;B4T92J8;KD8Gn.DE;;KABEL DEUTSCHLAND;DE;EUR;XETRA(DE);5553;88522939;0.2343;1.0;;;111.5500000;1.0000000;2313650184;2313650184;0.06916;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;B0LKSK;BE0003826436;B0LKSK4;TNET.BR;;TELENET GRP HLDG;BE;EUR;EURONEXT(BE);5553;116603877;0.4315;1.0;;;45.9700000;1.0000000;2312960921;2312960921;0.06914;
