,Date,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency,Weight
175240,2023-12-18,TW10F5,TW0006153000,Career Tech,TW,TWD,10102015.0,1.0,0.7604,310754971.0,0.000276735472014103
177246,2023-12-18,TH214H,TH0307010Z09,SINO-THAI ENGR.CON.,TH,THB,50101010.0,0.381453,0.8465,119605358.0,0.0002766715355825777
176607,2023-12-18,MY509Y,MYL5243OO000,VELESTO ENERGY,MY,MYR,60101010.0,1.0,0.4707,189482423.0,0.0002765838379052672
174590,2023-12-18,BR10Z2,BRPETZACNOR2,PET CENTER COM. E PARTICIP. ON,BR,BRL,40401030.0,1.0,0.7353,265887129.0,0.0002761173553711395
174986,2023-12-18,CN1KFZ,US36257Y1091,GAOTU TECHEDU 3 ADR,CN,USD,40201010.0,1.0,1.0,556972615.0,0.00027588271709594943
175234,2023-12-18,TW028Z,TW0002034006,Yeun Chyang,TW,TWD,55102010.0,1.0,0.805,314133958.0,0.0002757276253338298
177273,2023-12-18,TH20FR,TH0671010Z08,MAJOR CINEPLEX GROUP,TH,THB,40301010.0,0.302,0.65,73751985.0,0.00027558618036544917
176828,2023-12-18,CN2D3H,KYG4987A1094,JACOBIO PHARMACEUTICALS GROUP,CN,HKD,20103010.0,1.0,0.5827,221241913.0,0.0002752982558767278
175687,2023-12-18,KR1BE1,KR7299900001,WYSIWYG STUDIOS,KR,KRW,40301010.0,1.0,0.7146,356144721.0,0.0002750973144898932
175220,2023-12-18,TW153Y,TW0004746003,FORMOSA LABORATORIES,TW,TWD,20103015.0,1.0,0.9356,358365825.0,0.00027447411309031
177216,2023-12-18,TH212F,TH0297010Z02,GFPT,TH,THB,45102010.0,0.49,1.0,187836034.0,0.00027447358620146954
176571,2023-12-18,MY21TG,MYL3395OO000,BERJAYA,MY,MYR,40401010.0,1.0,0.9297,336571500.0,0.0002737273271128269
175288,2023-12-18,TW13TM,TW0009927004,Thye Ming Indu,TW,TWD,55102050.0,1.0,0.6169,233137876.0,0.00027343357647741876
174995,2023-12-18,CN2DES,US25445D1019,DINGDONG CAYMAN 2 ADR 2:3,CN,USD,45201010.0,1.0,0.8259,222945501.0,0.0002733161045204029
177227,2023-12-18,TH21CP,TH0380010Y07,THAICOM,TH,THB,15102015.0,0.6795787,0.5886,155329312.0,0.0002732464485636309
174922,2023-12-18,IN026D,INE032A01023,Bombay Dyeing,IN,INR,55101020.0,1.0,0.5631,215276830.0,0.0002729193249135384
175209,2023-12-18,TW11OF,TW0008213000,Taiwan PCB Tech,TW,TWD,10102015.0,1.0,1.0,381280846.0,0.0002727083288518099
175279,2023-12-18,TW60KF,TW0004438007,QUANG VIET ENTERPRISE,TW,TWD,40204020.0,1.0,0.6686,249635790.0,0.0002726491790437054
177376,2023-12-18,ID20EB,ID1000106206,MEDIA NUSNT.CITRA,ID,IDR,40301035.0,1.0,0.5371,196767102.0,0.0002726366242279222
175771,2023-12-18,KR21U8,KR7079370003,ZEUS,KR,KRW,10102020.0,1.0,0.7206,268189102.0,0.0002711364271502024
175222,2023-12-18,TW02QH,TW0002323003,CMC Magnetics,TW,TWD,10102030.0,1.0,0.9206,352423680.0,0.00027101169912870863
174917,2023-12-18,IN125D,INE933K01021,BAJAJ CONSUMER CARE,IN,INR,45201020.0,1.0,0.6066,226862215.0,0.0002701122392240331
176534,2023-12-18,CL00TQ,CL0000001934,Sonda SA,CL,CLP,10101010.0,1.0,0.6223,229928367.0,0.00026899563125332723
177018,2023-12-18,TR603T,TREPOHO00012,POLISAN HOLDING,TR,TRY,55201020.0,1.0,0.2918,96883753.0,0.00026899082699106665
175389,2023-12-18,PL20FR,CY1000031710,ASBISC ENTERPRISES (DI),PL,PLN,10102030.0,1.0,0.6316,251529860.0,0.00026896109190565286
175726,2023-12-18,KR516N,KR7068240001,DAWONSYS,KR,KRW,50202010.0,1.0,0.8517,313792986.0,0.0002689009809582405
176787,2023-12-18,CN635D,CNE100002342,CHINA REINSURANCE (GP.) 'H',CN,HKD,30302020.0,1.0,1.0,381268453.0,0.0002683058002523796
175530,2023-12-18,ZA502G,ZAE000248506,Fortress REIT Ltd,ZA,ZAR,35101010.0,1.0,0.6092,247691616.0,0.0002681941395040432
177251,2023-12-18,TH218L,TH0363010Z02,PRECIOUS SHIPPING,TH,THB,50206030.0,0.5070122,0.5633,113249437.0,0.0002670682920465787
174582,2023-12-18,BR10GJ,BRMYPKACNOR7,IOCHPE MAXION S.A.,BR,BRL,40101025.0,1.0,0.8774,357584046.0,0.000265555962131892
176858,2023-12-18,PH233,KYG720051047,POWERLONG RLST.HOLDINGS,CN,HKD,35101010.0,1.0,0.2741,101901843.0,0.00026459370124532497
177221,2023-12-18,TH20JV,TH0747A10Z01,SC ASSET,TH,THB,35101010.0,1.0,0.4398,165964926.0,0.00026426225285224264
175756,2023-12-18,KR911M,KR7179900006,UTI,KR,KRW,10102015.0,1.0,0.7525,285773289.0,0.00026374184120658573
175405,2023-12-18,PL11S4,PLVRCM000016,VERCOM,PL,PLN,10101015.0,1.0,0.257,113027281.0,0.0002636895367029403
174948,2023-12-18,IN50V5,INE807F01027,SEQUENT SCIENTIFIC,IN,INR,20103015.0,1.0,0.47,166406252.0,0.000263621124758559
176833,2023-12-18,HK20VY,KYG2762W1069,DINGDANG HEALTH TECHNOLOGY GRO,CN,HKD,45201015.0,1.0,0.5116,193672409.0,0.00026330506258023155
176612,2023-12-18,MY203P,MYL5983OO001,MBM RESOURCES,MY,MYR,40101020.0,1.0,0.44,164516046.0,0.0002631900463910666
175237,2023-12-18,TW19ON,TW0009942003,NAK Sealing Tech,TW,TWD,40101025.0,1.0,0.8723,311705178.0,0.00026288500408414684
