,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Free_Float,Mcap_Units_Index_Currency,Weight,SEDOL
29365,2023-12-18,1822,AE23IB,AEE001901017,EMAAR DEVELOPMENT PJSC,AE,AED,35101010.0,1.0,0.2084,1620600843.0,0.0013344541551009374,BDG1977
29366,2023-12-18,1822,AE301S,AEE01110S227,SALIK COMPANY,AE,AED,50206060.0,1.0,0.249,1581397880.0,0.001302173191473413,BJN5952
29367,2023-12-18,1822,AE20XN,AEN000401010,NATMARINE DREDGING CO,AE,AED,50101010.0,1.0,0.2489,1515194093.0,0.0012476588926396395,6625838
29368,2023-12-18,1822,BR00FH,BRBRFSACNOR8,BRF SA,BR,BRL,45102020.0,1.0,0.4243,2008329894.0,0.0016537225581720405,2036995
29369,2023-12-18,1822,AE303U,AEE01134E227,EMIRATES CENTRAL COOLING SYSTEMS,AE,AED,50101025.0,1.0,0.2,925761400.0,0.0007623013107750561,BPYSVC3
29370,2023-12-18,1822,EG8013,EGS39061C014,MISR FRETILIZERS,EG,EGP,55201015.0,1.0,0.1662,645131190.0,0.0005312214915839781,BWSW8F2
29371,2023-12-18,1822,IN104A,INE002L01015,Satluj Jal Vid,IN,INR,65101010.0,1.0,0.1815,800409514.0,0.000659082590480685,B3Y50F6
29372,2023-12-18,1822,ZA00MV,ZAE000015228,HARMONY GOLD MNG.,ZA,ZAR,55103025.0,0.7448494,0.7524,2068137539.0,0.0017029700707361518,6410562
29373,2023-12-18,1822,MX024P,MX01PI000005,Promotora y Opr,MX,MXN,50101010.0,0.9881024,0.4959,1960725757.0,0.001614523801307242,2393388
29374,2023-12-18,1822,TW117Y,TW0003036000,WT Microelectron,TW,TWD,10102010.0,1.0,0.5546,2020668029.0,0.0016638821700148108,6290991
29375,2023-12-18,1822,MX11M7,MX01Q0000008,QUALITAS CONTROLADORA,MX,MXN,30302025.0,1.0,0.4947,1933195724.0,0.0015918546986188166,BYMXF65
29376,2023-12-18,1822,AE22B3,AEA003001012,AIR ARABIA,AE,AED,40501010.0,0.4878831,0.5612,932391402.0,0.0007677606647889968,B23DL40
29377,2023-12-18,1822,SA238F,SA121053DR18,SAUDI MOBILE TELECOM,SA,SAR,15102015.0,0.5803018,0.6295,1230394095.0,0.0010131455377037637,B2QG180
29378,2023-12-18,1822,MX802T,MX01GC2M0006,GCC,MX,MXN,50101030.0,1.0,0.4912,1907400361.0,0.0015706139782487316,2946663
29379,2023-12-18,1822,EG20EA,EGS38191C010,ABOU KIR FERTILIZERS,EG,EGP,55201015.0,1.0,0.2244,715703363.0,0.0005893328580571796,6005474
29380,2023-12-18,1822,BR02Y2,BREMBRACNOR4,Embraer,BR,BRL,50201010.0,1.0,0.9463,3318100383.0,0.0027322291372745893,B16FPG6
