,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight,SEDOL,Capfactor,Mcap_Units_Index_Currency
456,2019-03-18,1330,TW307Z,TW0003682001,ASIA PACIFIC TELECOM,TW,TWD,15102015.0,0.0006546424948331304,B6RN4B2,0.8441193,611984209.0
478,2019-03-18,1330,MX10XH,MX01HE010008,GRUPO HERDEZ,MX,MXN,45102020.0,0.0005060917523392456,2962959,1.0,473113437.0
479,2019-03-18,1330,TW0841,TW0006285000,Wistron Neweb,TW,TWD,15101010.0,0.0007394600879348759,6682598,1.0,691274857.0
480,2019-03-18,1330,IN03X5,INE510A01028,Engineer India,IN,INR,50101015.0,0.0002704421320254404,6374798,0.5002084,252819387.0
481,2019-03-18,1330,BR107A,BRBRPRACNOR9,BR PROPERTIES ON,BR,BRL,35101010.0,0.0003086205078537193,B1FLW42,1.0,288509956.0
482,2019-03-18,1330,ID20EB,ID1000106206,MEDIA NUSNT.CITRA,ID,IDR,40301035.0,0.0001811206224756191,B1Z5HY9,0.4652245,169318310.0
483,2019-03-18,1330,HK14GM,BMG2113J1018,CHINA YOUZAN,CN,HKD,30201030.0,0.0008474611488681331,6699015,1.0,792238275.0
484,2019-03-18,1330,CN8GZM,KYG4404P1019,HENGXING GOLD,CN,HKD,55103025.0,0.0007663650312314835,BMSKVX5,1.0,716426601.0
485,2019-03-18,1330,KR11JW,KR7041510009,S.M. Entertain,KR,KRW,40301010.0,0.0006959825620748817,6243081,1.0,650630445.0
486,2019-03-18,1330,CN8FTF,KYG7306T1058,Q TECHNOLOGY (GROUP),CN,HKD,10102020.0,0.00035550425538392796,BSXNPQ2,1.0,332338631.0
487,2019-03-18,1330,KR70AB,KR7267270007,Hyundai Construction Equipment,KR,KRW,50204020.0,0.000719403087204844,BD4HFS0,1.0,672524825.0
488,2019-03-18,1330,BR10VY,BRQGEPACNOR8,ENAUTA PARTICIPACOES ON,BR,BRL,60101010.0,0.0004555904319183425,B3M5360,1.0,425902920.0
489,2019-03-18,1330,CN1RYP,US68276W1036,ONESMART INTL.ED.GP.ADR 1:40,CN,USD,40201010.0,0.0006146537611630356,BFNLRQ9,1.0,574601250.0
490,2019-03-18,1330,HK90PZ,KYG476341030,IMAX CHINA HOLDING,CN,HKD,40203040.0,0.00030279810205262173,BYVYK42,1.0,283066954.0
491,2019-03-18,1330,CN8FBX,KYG2133W1087,CHINA RESOURCES MEDICAL HLDGS,CN,HKD,20101010.0,0.0006366727589592586,BYNKP98,1.0,595185430.0
492,2019-03-18,1330,HK1A5H,KYG212081064,SOUTHERN ENERGY HOLDINGS GROUP,CN,HKD,60101040.0,0.0003111928838729467,BD9GZS2,1.0,290914709.0
493,2019-03-18,1330,TW12SK,TW0006269004,Flexium Intercon,TW,TWD,10102015.0,0.0009436943190254104,6683416,1.0,882200630.0
494,2019-03-18,1330,CN88U9,KYG2161T1004,CITYCHAMP WCJW.GP.,CN,HKD,50202010.0,0.00030333274376074637,BP1QK56,1.0,283566757.0
477,2019-03-18,1330,PK208J,PK0023901017,PAKISTAN OILFIELDS,PK,PKR,60101010.0,0.0003286972253840989,6677141,1.0,307278420.0
415,2019-03-18,1330,ZA00MV,ZAE000015228,HARMONY GOLD MNG.,ZA,ZAR,55103025.0,0.00071264068679811,6410562,0.7520482,666203081.0
476,2019-03-18,1330,TW018Y,TW0001314003,China Petrochem,TW,TWD,55201020.0,0.0010588222705364984,6206084,1.0,989826531.0
474,2019-03-18,1330,ID20DA,ID1000092406,SUMMARECON AGUNG,ID,IDR,35101010.0,0.0006063660931711618,6538527,1.0,566853629.0
457,2019-03-18,1330,TW402V,TW0001536001,HOTA INDL.MNFG.,TW,TWD,40101025.0,0.0009550613357582109,6246251,1.0,892826941.0
458,2019-03-18,1330,PH406G,PHY2105Y1083,DOUBLEDRAGON PROPERTIES,PH,PHP,35101015.0,0.0003082530192998439,BKX3XF1,1.0,288166414.0
459,2019-03-18,1330,KR81M6,KR7042000000,CAFE24,KR,KRW,10101010.0,0.0007563537552544448,BF062T5,1.0,707067687.0
460,2019-03-18,1330,KR61XF,KR7192080000,DOUBLEU GAMES,KR,KRW,40203040.0,0.0006119899820709293,BYQ1MZ3,1.0,572111050.0
461,2019-03-18,1330,TW03D5,TW0002376001,Gigabyte Tech,TW,TWD,10102020.0,0.0009779830660602814,6129181,1.0,914255029.0
